ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,465,3,14872,Advance,
27007,81,0,2136,Ararat,
27009,88,1,2937,Belews Creek,
27011,248,4,5411,Boonville,
27012,1169,19,28954,Clemmons,
27013,223,4,6495,Cleveland,
27014,27,0,957,Cooleemee,
27016,59,0,1682,Danbury,
27017,507,3,9499,Dobson,
27018,335,3,8221,East Bend,
27019,133,1,4234,Germanton,
27020,312,4,6104,Hamptonville,
27021,585,9,17979,King,
27022,38,1,1512,Lawsonville,
27023,472,2,12775,Lewisville,
27024,108,3,2683,Lowgap,
27025,599,3,11117,Madison,
27027,187,0,4017,Mayodan,
27028,1113,10,28039,Mocksville,
27030,1762,29,37641,Mount Airy,
27040,440,1,13150,Pfafftown,
27041,276,4,8020,Pilot Mountain,
27042,42,1,720,Pine Hall,
27043,229,3,6442,Pinnacle,
27045,461,4,9583,Rural Hall,
27046,74,1,1953,Sandy Ridge,
27047,57,0,1279,Siloam,
27048,390,1,8902,Stoneville,
27050,141,1,4084,Tobaccoville,
27051,283,3,8287,Walkertown,
27052,339,8,10061,Walnut Cove,
27053,61,1,3156,Westfield,
27054,109,1,2608,Woodleaf,
27055,886,7,14521,Yadkinville,
27101,842,25,24321,Winston Salem,
27103,1465,19,36071,Winston Salem,
27104,1188,16,29383,Winston Salem,
27105,2107,19,40186,Winston Salem,
27106,2039,19,51378,Winston Salem,
27107,2458,20,52432,Winston Salem,
27127,1793,14,38510,Winston Salem,
27157,15,0,5,Winston Salem,
27203,1369,25,21876,Asheboro,
27205,1632,22,34549,Asheboro,
27207,149,2,3806,Bear Creek,
27208,69,0,1691,Bennett,
27209,409,23,4151,Biscoe,
27212,245,0,1600,Blanch,
27214,423,1,11747,Browns Summit,
27215,2018,21,44892,Burlington,
27217,2741,56,39111,Burlington,
27229,288,8,4014,Candor,
27231,53,0,2048,Cedar Grove,
27233,95,1,3647,Climax,
27235,177,1,4575,Colfax,
27239,298,5,9629,Denton,
27242,79,0,2668,Eagle Springs,
27243,136,1,4665,Efland,
27244,948,7,16259,Elon,
27248,175,3,4835,Franklinville,
27249,479,3,13355,Gibsonville,
27252,38,1,2264,Goldston,
27253,1657,25,31464,Graham,
27258,295,3,7740,Haw River,
27260,1021,18,25696,High Point,
27262,922,12,24764,High Point,
27263,977,18,22320,High Point,
27265,1711,30,50038,High Point,
27268,226,0,1695,High Point,
27278,790,3,27181,Hillsborough,
27281,125,0,3710,Jackson Springs,
27282,577,7,16597,Jamestown,
27283,109,1,2982,Julian,
27284,2180,32,56201,Kernersville,
27288,994,8,23585,Eden,
27291,54,0,1538,Leasburg,
27292,1552,10,41465,Lexington,
27295,1585,21,39191,Lexington,
27298,348,1,10440,Liberty,
27299,247,0,5254,Linwood,
27301,401,3,10019,Mc Leansville,
27302,1109,0,32302,Mebane,
27305,62,1,1585,Milton,
27306,304,8,5945,Mount Gilead,
27310,276,2,8562,Oak Ridge,
27311,111,0,3220,Pelham,
27312,450,23,22205,Pittsboro,
27313,233,18,7288,Pleasant Garden,
27314,25,1,1138,Prospect Hill,
27315,46,0,2140,Providence,
27316,381,12,7156,Ramseur,
27317,738,8,17851,Randleman,
27320,1316,10,38894,Reidsville,
27325,378,2,7676,Robbins,
27326,129,2,3692,Ruffin,
27330,1847,24,39529,Sanford,
27332,1345,13,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
27341,200,0,5820,Seagrove,
27343,44,0,1840,Semora,
27344,1268,23,19290,Siler City,
27349,203,2,5850,Snow Camp,
27350,251,3,7508,Sophia,
27355,95,0,3196,Staley,
27356,143,2,3513,Star,
27357,372,3,8325,Stokesdale,
27358,502,1,15960,Summerfield,
27360,2100,20,48331,Thomasville,
27370,658,12,14622,Trinity,
27371,389,3,7778,Troy,
27376,307,6,9884,West End,
27377,376,1,9597,Whitsett,
27379,197,3,6057,Yanceyville,
27401,789,12,20221,Greensboro,
27403,623,10,21278,Greensboro,
27405,2137,23,52510,Greensboro,
27406,2255,57,60755,Greensboro,
27407,1937,24,49837,Greensboro,
27408,482,2,17406,Greensboro,
27409,607,7,17953,Greensboro,
27410,1568,12,56968,Greensboro,
27411,29,0,847,Greensboro,
27412,16,0,1886,Greensboro,
27455,989,21,29197,Greensboro,
27498,,,13,Greensboro,Population <500 and Cases <5
27501,811,5,21338,Angier,
27502,868,4,43747,Apex,
27503,75,0,7222,Bahama,
27504,833,8,16320,Benson,
27505,275,5,7308,Broadway,
27507,69,2,2053,Bullock,
27508,85,0,2340,Bunn,
27509,1043,31,6935,Butner,
