ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,78,3,14872,Advance,
27007,20,0,2136,Ararat,
27009,9,0,2937,Belews Creek,
27011,57,0,5411,Boonville,
27012,241,0,28954,Clemmons,
27013,65,2,6495,Cleveland,
27014,7,0,957,Cooleemee,
27016,18,0,1682,Danbury,
27017,182,0,9499,Dobson,
27018,92,2,8221,East Bend,
27019,28,0,4234,Germanton,
27020,93,2,6104,Hamptonville,
27021,114,1,17979,King,
27022,5,0,1512,Lawsonville,
27023,115,1,12775,Lewisville,
27024,17,0,2683,Lowgap,
27025,45,0,11117,Madison,
27027,15,0,4017,Mayodan,
27028,329,2,28039,Mocksville,
27030,445,6,37641,Mount Airy,
27040,85,1,13150,Pfafftown,
27041,68,0,8020,Pilot Mountain,
27042,8,1,720,Pine Hall,
27043,64,1,6442,Pinnacle,
27045,131,2,9583,Rural Hall,
27046,5,0,1953,Sandy Ridge,
27047,7,0,1279,Siloam,
27048,43,0,8902,Stoneville,
27050,26,0,4084,Tobaccoville,
27051,69,0,8287,Walkertown,
27052,60,0,10061,Walnut Cove,
27053,13,0,3156,Westfield,
27054,31,0,2608,Woodleaf,
27055,251,2,14521,Yadkinville,
27101,213,0,24321,Winston Salem,
27103,444,11,36071,Winston Salem,
27104,339,6,29383,Winston Salem,
27105,892,7,40186,Winston Salem,
27106,616,6,51378,Winston Salem,
27107,986,8,52432,Winston Salem,
27127,662,5,38510,Winston Salem,
27157,10,0,5,Winston Salem,
27203,627,16,21876,Asheboro,
27205,543,5,34549,Asheboro,
27207,69,1,3806,Bear Creek,
27208,33,0,1691,Bennett,
27209,177,8,4151,Biscoe,
27212,49,0,1600,Blanch,
27214,101,1,11747,Browns Summit,
27215,493,4,44892,Burlington,
27217,970,34,39111,Burlington,
27229,127,0,4014,Candor,
27231,12,0,2048,Cedar Grove,
27233,15,0,3647,Climax,
27235,28,0,4575,Colfax,
27239,59,3,9629,Denton,
27242,25,0,2668,Eagle Springs,
27243,49,1,4665,Efland,
27244,78,0,16259,Elon,
27248,41,1,4835,Franklinville,
27249,94,0,13355,Gibsonville,
27252,11,1,2264,Goldston,
27253,496,3,31464,Graham,
27258,84,0,7740,Haw River,
27260,357,11,25696,High Point,
27262,269,5,24764,High Point,
27263,213,1,22320,High Point,
27265,416,21,50038,High Point,
27268,1,0,1695,High Point,
27278,221,0,27181,Hillsborough,
27281,34,0,3710,Jackson Springs,
27282,112,2,16597,Jamestown,
27283,25,0,2982,Julian,
27284,496,4,56201,Kernersville,
27288,138,0,23585,Eden,
27291,2,0,1538,Leasburg,
27292,478,4,41465,Lexington,
27295,393,12,39191,Lexington,
27298,114,0,10440,Liberty,
27299,47,0,5254,Linwood,
27301,77,2,10019,Mc Leansville,
27302,304,0,32302,Mebane,
27305,25,1,1585,Milton,
27306,105,2,5945,Mount Gilead,
27310,43,1,8562,Oak Ridge,
