ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,31,3,14872,Advance,
27007,8,0,2136,Ararat,
27009,4,0,2937,Belews Creek,
27011,25,0,5411,Boonville,
27012,76,0,28954,Clemmons,
27013,20,1,6495,Cleveland,
27014,2,0,957,Cooleemee,
27016,3,0,1682,Danbury,
27017,88,0,9499,Dobson,
27018,58,1,8221,East Bend,
27019,12,0,4234,Germanton,
27020,49,2,6104,Hamptonville,
27021,49,1,17979,King,
27022,1,0,1512,Lawsonville,
27023,40,1,12775,Lewisville,
27024,8,0,2683,Lowgap,
27025,19,0,11117,Madison,
27027,3,0,4017,Mayodan,
27028,127,0,28039,Mocksville,
27030,215,2,37641,Mount Airy,
27040,24,0,13150,Pfafftown,
27041,9,0,8020,Pilot Mountain,
27042,3,0,720,Pine Hall,
27043,18,0,6442,Pinnacle,
27045,54,1,9583,Rural Hall,
27046,1,0,1953,Sandy Ridge,
27047,3,0,1279,Siloam,
27048,13,0,8902,Stoneville,
27050,8,0,4084,Tobaccoville,
27051,31,0,8287,Walkertown,
27052,33,0,10061,Walnut Cove,
27053,5,0,3156,Westfield,
27054,6,0,2608,Woodleaf,
27055,137,1,14521,Yadkinville,
27101,111,0,24321,Winston Salem,
27103,219,3,36071,Winston Salem,
27104,173,4,29383,Winston Salem,
27105,516,2,40186,Winston Salem,
27106,330,3,51378,Winston Salem,
27107,555,7,52432,Winston Salem,
27127,330,4,38510,Winston Salem,
27157,,,5,Winston Salem,Population <500 and Cases <5
27203,354,12,21876,Asheboro,
27205,252,2,34549,Asheboro,
27207,35,1,3806,Bear Creek,
27208,12,0,1691,Bennett,
27209,86,4,4151,Biscoe,
27212,47,0,1600,Blanch,
27214,37,1,11747,Browns Summit,
27215,184,3,44892,Burlington,
27217,465,32,39111,Burlington,
27229,50,0,4014,Candor,
27231,3,0,2048,Cedar Grove,
27233,7,0,3647,Climax,
27235,10,0,4575,Colfax,
27239,24,0,9629,Denton,
27242,9,0,2668,Eagle Springs,
27243,15,1,4665,Efland,
27244,23,0,16259,Elon,
27248,25,1,4835,Franklinville,
27249,40,0,13355,Gibsonville,
27252,7,1,2264,Goldston,
27253,144,1,31464,Graham,
27258,27,0,7740,Haw River,
27260,203,7,25696,High Point,
27262,138,3,24764,High Point,
27263,87,1,22320,High Point,
27265,196,16,50038,High Point,
27268,1,0,1695,High Point,
27278,102,0,27181,Hillsborough,
27281,17,0,3710,Jackson Springs,
27282,33,1,16597,Jamestown,
27283,8,0,2982,Julian,
27284,201,4,56201,Kernersville,
27288,61,0,23585,Eden,
27291,1,0,1538,Leasburg,
27292,209,5,41465,Lexington,
27295,177,10,39191,Lexington,
27298,65,0,10440,Liberty,
27299,22,0,5254,Linwood,
27301,32,2,10019,Mc Leansville,
27302,117,0,32302,Mebane,
27305,19,1,1585,Milton,
27306,27,2,5945,Mount Gilead,
27310,20,1,8562,Oak Ridge,
27311,2,0,3220,Pelham,
27312,118,18,22205,Pittsboro,
27313,74,16,7288,Pleasant Garden,
27314,2,0,1138,Prospect Hill,
27315,1,0,2140,Providence,
27316,114,8,7156,Ramseur,
27317,84,3,17851,Randleman,
27320,65,2,38894,Reidsville,
27325,63,0,7676,Robbins,
27326,12,0,3692,Ruffin,
27330,489,6,39529,Sanford,
27332,254,3,33549,Sanford,
27341,22,0,5820,Seagrove,
27343,4,0,1840,Semora,
27344,618,17,19290,Siler City,
27349,11,0,5850,Snow Camp,
27350,13,0,7508,Sophia,
27355,28,0,3196,Staley,
27356,32,1,3513,Star,
27357,36,1,8325,Stokesdale,
27358,54,1,15960,Summerfield,
27360,234,0,48331,Thomasville,
27370,50,0,14622,Trinity,
27371,54,0,7778,Troy,
27376,24,1,9884,West End,
27377,36,0,9597,Whitsett,
27379,14,0,6057,Yanceyville,
27401,100,3,20221,Greensboro,
27403,48,5,21278,Greensboro,
27405,427,8,52510,Greensboro,
27406,262,25,60755,Greensboro,
27407,268,8,49837,Greensboro,
27408,39,0,17406,Greensboro,
27409,61,2,17953,Greensboro,
27410,117,3,56968,Greensboro,
27455,69,2,29197,Greensboro,
27501,73,1,21338,Angier,
