ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,438,3,14872,Advance,
27007,78,0,2136,Ararat,
27009,84,1,2937,Belews Creek,
27011,240,4,5411,Boonville,
27012,1105,18,28954,Clemmons,
27013,212,4,6495,Cleveland,
27014,27,0,957,Cooleemee,
27016,55,0,1682,Danbury,
27017,486,3,9499,Dobson,
27018,305,3,8221,East Bend,
27019,130,1,4234,Germanton,
27020,292,4,6104,Hamptonville,
27021,548,8,17979,King,
27022,37,1,1512,Lawsonville,
27023,444,2,12775,Lewisville,
27024,99,3,2683,Lowgap,
27025,575,3,11117,Madison,
27027,185,0,4017,Mayodan,
27028,1071,10,28039,Mocksville,
27030,1689,28,37641,Mount Airy,
27040,420,1,13150,Pfafftown,
27041,258,4,8020,Pilot Mountain,
27042,39,1,720,Pine Hall,
27043,221,2,6442,Pinnacle,
27045,446,3,9583,Rural Hall,
27046,68,1,1953,Sandy Ridge,
27047,57,0,1279,Siloam,
27048,365,1,8902,Stoneville,
27050,136,1,4084,Tobaccoville,
27051,262,3,8287,Walkertown,
27052,320,8,10061,Walnut Cove,
27053,58,1,3156,Westfield,
27054,96,1,2608,Woodleaf,
27055,833,6,14521,Yadkinville,
27101,783,24,24321,Winston Salem,
27103,1380,19,36071,Winston Salem,
27104,1140,15,29383,Winston Salem,
27105,2038,18,40186,Winston Salem,
27106,1952,16,51378,Winston Salem,
27107,2370,20,52432,Winston Salem,
27127,1716,14,38510,Winston Salem,
27157,14,0,5,Winston Salem,
27203,1323,25,21876,Asheboro,
27205,1574,21,34549,Asheboro,
27207,146,2,3806,Bear Creek,
27208,68,0,1691,Bennett,
27209,401,23,4151,Biscoe,
27212,244,0,1600,Blanch,
27214,405,1,11747,Browns Summit,
27215,1937,21,44892,Burlington,
27217,2649,55,39111,Burlington,
27229,283,8,4014,Candor,
27231,46,0,2048,Cedar Grove,
27233,91,1,3647,Climax,
27235,174,1,4575,Colfax,
27239,288,5,9629,Denton,
27242,79,0,2668,Eagle Springs,
27243,130,1,4665,Efland,
27244,924,7,16259,Elon,
27248,168,3,4835,Franklinville,
27249,459,3,13355,Gibsonville,
27252,36,1,2264,Goldston,
27253,1595,25,31464,Graham,
27258,285,3,7740,Haw River,
27260,980,18,25696,High Point,
27262,887,12,24764,High Point,
27263,931,18,22320,High Point,
27265,1629,30,50038,High Point,
27268,226,0,1695,High Point,
27278,757,3,27181,Hillsborough,
27281,119,0,3710,Jackson Springs,
27282,547,7,16597,Jamestown,
27283,103,1,2982,Julian,
27284,2055,28,56201,Kernersville,
27288,955,8,23585,Eden,
27291,54,0,1538,Leasburg,
27292,1475,10,41465,Lexington,
27295,1501,21,39191,Lexington,
27298,331,1,10440,Liberty,
27299,240,0,5254,Linwood,
27301,380,3,10019,Mc Leansville,
27302,1059,0,32302,Mebane,
27305,60,1,1585,Milton,
27306,290,7,5945,Mount Gilead,
27310,266,2,8562,Oak Ridge,
27311,110,0,3220,Pelham,
27312,433,23,22205,Pittsboro,
27313,222,18,7288,Pleasant Garden,
27314,24,1,1138,Prospect Hill,
27315,41,0,2140,Providence,
27316,372,12,7156,Ramseur,
27317,716,8,17851,Randleman,
27320,1229,10,38894,Reidsville,
27325,355,2,7676,Robbins,
27326,118,2,3692,Ruffin,
27330,1794,24,39529,Sanford,
27332,1293,12,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
27341,190,0,5820,Seagrove,
27343,42,0,1840,Semora,
27344,1247,23,19290,Siler City,
27349,196,1,5850,Snow Camp,
27350,243,3,7508,Sophia,
27355,92,0,3196,Staley,
27356,140,2,3513,Star,
27357,353,3,8325,Stokesdale,
27358,488,1,15960,Summerfield,
27360,2004,20,48331,Thomasville,
27370,626,10,14622,Trinity,
27371,376,3,7778,Troy,
27376,293,6,9884,West End,
27377,360,1,9597,Whitsett,
27379,190,3,6057,Yanceyville,
27401,770,12,20221,Greensboro,
27403,597,10,21278,Greensboro,
27405,2047,23,52510,Greensboro,
27406,2183,58,60755,Greensboro,
27407,1874,24,49837,Greensboro,
27408,469,2,17406,Greensboro,
27409,589,7,17953,Greensboro,
27410,1508,12,56968,Greensboro,
27411,31,0,847,Greensboro,
27412,16,0,1886,Greensboro,
27455,953,20,29197,Greensboro,
27498,,,13,Greensboro,Population <500 and Cases <5
27501,776,5,21338,Angier,
27502,827,4,43747,Apex,
27503,68,0,7222,Bahama,
27504,806,8,16320,Benson,
27505,269,5,7308,Broadway,
27507,67,2,2053,Bullock,
27508,83,0,2340,Bunn,
27509,1021,31,6935,Butner,
27510,429,6,14543,Carrboro,
27511,820,5,34041,Cary,
27513,854,4,49003,Cary,
27514,940,21,32847,Chapel Hill,
27516,1120,12,44117,Chapel Hill,
27517,613,8,28831,Chapel Hill,
27518,421,1,22765,Cary,
27519,969,4,59960,Cary,
27520,1815,35,43958,Clayton,
27521,303,5,7149,Coats,
27522,491,3,13652,Creedmoor,
27523,258,0,12782,Apex,
27524,666,5,13532,Four Oaks,
27525,557,2,15534,Franklinton,
27526,1482,19,54027,Fuquay Varina,
27527,925,1,30234,Clayton,
27529,1921,33,53854,Garner,
27530,1648,43,40212,Goldsboro,
27531,5,0,666,Goldsboro,
27534,1484,36,31819,Goldsboro,
27536,803,33,16459,Henderson,
27537,1119,26,25321,Henderson,
27539,605,3,26567,Apex,
27540,958,3,39075,Holly Springs,
27541,114,1,4044,Hurdle Mills,
27542,374,5,10043,Kenly,
27544,126,1,4291,Kittrell,
27545,1231,22,30327,Knightdale,
27546,935,40,22436,Lillington,
27549,944,28,25224,Louisburg,
27551,49,1,2205,Macon,
27553,313,0,2030,Manson,
27556,14,0,298,Middleburg,
27557,358,2,9214,Middlesex,
27559,55,0,2874,Moncure,
27560,716,4,33691,Morrisville,
27562,70,0,2791,New Hill,
27563,179,2,5312,Norlina,
27565,1155,29,26057,Oxford,
27569,458,0,8984,Princeton,
27571,216,0,7385,Rolesville,
27572,179,1,7316,Rougemont,
27573,368,11,11561,Roxboro,
27574,391,0,15232,Roxboro,
27576,1004,11,20197,Selma,
27577,1420,10,25214,Smithfield,
27581,127,0,3956,Stem,
27583,259,2,7012,Timberlake,
27587,2309,38,74087,Wake Forest,
27589,308,4,8312,Warrenton,
27591,974,5,23448,Wendell,
27592,521,1,17368,Willow Spring,
27596,552,3,18655,Youngsville,
27597,1034,6,25494,Zebulon,
27599,19,0,0,Chapel Hill,
27601,343,2,12139,Raleigh,
27603,1970,8,55479,Raleigh,
27604,2011,34,47645,Raleigh,
27605,193,3,5253,Raleigh,
27606,1385,4,47938,Raleigh,
27607,997,4,30296,Raleigh,
27608,356,1,11603,Raleigh,
27609,1280,14,38631,Raleigh,
27610,3804,48,74203,Raleigh,
27612,1148,14,39208,Raleigh,
27613,1096,8,46521,Raleigh,
27614,943,11,37689,Raleigh,
27615,1342,31,46038,Raleigh,
27616,2242,7,55260,Raleigh,
27617,520,2,19511,Raleigh,
27701,1101,10,26489,Durham,
27703,2756,14,61351,Durham,
27704,2271,23,39369,Durham,
27705,1842,49,48078,Durham,
27706,,,10,Durham,Population <500 and Cases <5
27707,1763,6,47036,Durham,
27708,27,0,4635,Durham,
27709,53,0,4,Durham,
27710,6,0,0,Durham,
27711,,,62,Durham,Population <500 and Cases <5
27712,686,23,22055,Durham,
27713,1417,13,53996,Durham,
27801,934,17,21556,Rocky Mount,
27803,916,12,22337,Rocky Mount,
27804,1588,63,29160,Rocky Mount,
27805,134,1,3769,Aulander,
27806,56,2,2441,Aurora,
27807,416,5,6940,Bailey,
27808,71,1,2481,Bath,
27809,249,3,5254,Battleboro,
27810,113,1,4224,Belhaven,
27812,155,1,2951,Bethel,
27813,21,0,687,Black Creek,
27814,48,1,1801,Blounts Creek,
27816,103,0,2634,Castalia,
27817,289,2,7777,Chocowinity,
27818,60,0,1269,Como,
27820,87,2,3292,Conway,
27821,,,343,Edward,Population <500 and Cases <5
27822,429,4,9119,Elm City,
27823,304,5,7812,Enfield,
