ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,181,3,14872,Advance,
27007,40,0,2136,Ararat,
27009,33,0,2937,Belews Creek,
27011,108,1,5411,Boonville,
27012,550,15,28954,Clemmons,
27013,129,4,6495,Cleveland,
27014,10,0,957,Cooleemee,
27016,23,0,1682,Danbury,
27017,303,1,9499,Dobson,
27018,160,2,8221,East Bend,
27019,56,1,4234,Germanton,
27020,178,2,6104,Hamptonville,
27021,247,1,17979,King,
27022,21,0,1512,Lawsonville,
27023,204,2,12775,Lewisville,
27024,36,1,2683,Lowgap,
27025,345,2,11117,Madison,
27027,82,0,4017,Mayodan,
27028,569,5,28039,Mocksville,
27030,891,14,37641,Mount Airy,
27040,154,1,13150,Pfafftown,
27041,114,1,8020,Pilot Mountain,
27042,19,1,720,Pine Hall,
27043,105,1,6442,Pinnacle,
27045,216,3,9583,Rural Hall,
27046,33,1,1953,Sandy Ridge,
27047,20,0,1279,Siloam,
27048,187,1,8902,Stoneville,
27050,57,1,4084,Tobaccoville,
27051,140,2,8287,Walkertown,
27052,174,4,10061,Walnut Cove,
27053,24,1,3156,Westfield,
27054,58,0,2608,Woodleaf,
27055,440,2,14521,Yadkinville,
27101,400,14,24321,Winston Salem,
27103,773,17,36071,Winston Salem,
27104,574,11,29383,Winston Salem,
27105,1206,9,40186,Winston Salem,
27106,1059,10,51378,Winston Salem,
27107,1394,16,52432,Winston Salem,
27127,960,7,38510,Winston Salem,
27157,12,0,5,Winston Salem,
27203,915,20,21876,Asheboro,
27205,877,12,34549,Asheboro,
27207,115,1,3806,Bear Creek,
27208,47,0,1691,Bennett,
27209,333,22,4151,Biscoe,
27212,197,0,1600,Blanch,
27214,204,1,11747,Browns Summit,
27215,1078,11,44892,Burlington,
27217,1823,46,39111,Burlington,
27229,233,7,4014,Candor,
27231,27,0,2048,Cedar Grove,
27233,40,0,3647,Climax,
27235,89,1,4575,Colfax,
27239,164,4,9629,Denton,
27242,62,0,2668,Eagle Springs,
27243,82,1,4665,Efland,
27244,441,4,16259,Elon,
27248,89,3,4835,Franklinville,
27249,224,2,13355,Gibsonville,
27252,17,1,2264,Goldston,
27253,1088,10,31464,Graham,
27258,180,3,7740,Haw River,
27260,692,16,25696,High Point,
27262,603,6,24764,High Point,
27263,599,10,22320,High Point,
27265,981,25,50038,High Point,
27268,199,0,1695,High Point,
27278,436,1,27181,Hillsborough,
27281,75,0,3710,Jackson Springs,
27282,302,6,16597,Jamestown,
27283,50,1,2982,Julian,
27284,1104,13,56201,Kernersville,
27288,555,7,23585,Eden,
27291,40,0,1538,Leasburg,
27292,882,7,41465,Lexington,
27295,787,16,39191,Lexington,
27298,184,0,10440,Liberty,
27299,123,0,5254,Linwood,
27301,157,2,10019,Mc Leansville,
27302,595,0,32302,Mebane,
27305,51,1,1585,Milton,
27306,192,6,5945,Mount Gilead,
27310,117,1,8562,Oak Ridge,
27311,48,0,3220,Pelham,
27312,286,23,22205,Pittsboro,
27313,142,17,7288,Pleasant Garden,
27314,15,0,1138,Prospect Hill,
27315,24,0,2140,Providence,
27316,260,12,7156,Ramseur,
27317,382,6,17851,Randleman,
27320,632,9,38894,Reidsville,
27325,273,2,7676,Robbins,
27326,61,2,3692,Ruffin,
27330,1307,15,39529,Sanford,
27332,922,5,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
27341,92,0,5820,Seagrove,
27343,22,0,1840,Semora,
27344,1027,22,19290,Siler City,
27349,75,1,5850,Snow Camp,
27350,120,0,7508,Sophia,
27355,68,0,3196,Staley,
27356,95,1,3513,Star,
27357,155,1,8325,Stokesdale,
27358,254,1,15960,Summerfield,
27360,1288,15,48331,Thomasville,
27370,280,1,14622,Trinity,
27371,270,3,7778,Troy,
27376,194,6,9884,West End,
27377,187,0,9597,Whitsett,
27379,126,3,6057,Yanceyville,
27401,462,10,20221,Greensboro,
27403,335,9,21278,Greensboro,
27405,1239,19,52510,Greensboro,
27406,1256,46,60755,Greensboro,
27407,1136,15,49837,Greensboro,
27408,263,1,17406,Greensboro,
27409,322,3,17953,Greensboro,
27410,746,7,56968,Greensboro,
27411,8,0,847,Greensboro,
27412,9,0,1886,Greensboro,
27455,469,11,29197,Greensboro,
27498,,,13,Greensboro,Population <500 and Cases <5
27501,494,2,21338,Angier,
27502,524,4,43747,Apex,
27503,43,0,7222,Bahama,
27504,418,6,16320,Benson,
27505,191,5,7308,Broadway,
27507,43,1,2053,Bullock,
27508,56,0,2340,Bunn,
27509,714,28,6935,Butner,
27510,310,4,14543,Carrboro,
27511,526,3,34041,Cary,
27513,518,4,49003,Cary,
27514,766,21,32847,Chapel Hill,
27516,829,12,44117,Chapel Hill,
27517,404,5,28831,Chapel Hill,
27518,246,1,22765,Cary,
27519,571,4,59960,Cary,
27520,1150,28,43958,Clayton,
27521,175,2,7149,Coats,
27522,292,1,13652,Creedmoor,
27523,170,0,12782,Apex,
27524,456,4,13532,Four Oaks,
27525,316,1,15534,Franklinton,
27526,840,14,54027,Fuquay Varina,
27527,522,1,30234,Clayton,
27529,1183,28,53854,Garner,
27530,1108,26,40212,Goldsboro,
27531,3,0,666,Goldsboro,
27534,979,20,31819,Goldsboro,
27536,511,32,16459,Henderson,
27537,580,13,25321,Henderson,
27539,366,3,26567,Apex,
27540,550,1,39075,Holly Springs,
27541,55,1,4044,Hurdle Mills,
27542,214,3,10043,Kenly,
27544,70,1,4291,Kittrell,
27545,830,22,30327,Knightdale,
27546,675,37,22436,Lillington,
27549,611,27,25224,Louisburg,
27551,27,1,2205,Macon,
27553,45,0,2030,Manson,
27556,10,0,298,Middleburg,
27557,210,2,9214,Middlesex,
27559,38,0,2874,Moncure,
27560,445,3,33691,Morrisville,
27562,36,0,2791,New Hill,
27563,116,1,5312,Norlina,
27565,767,25,26057,Oxford,
27569,272,0,8984,Princeton,
27571,104,0,7385,Rolesville,
27572,78,0,7316,Rougemont,
27573,197,9,11561,Roxboro,
27574,231,0,15232,Roxboro,
27576,730,8,20197,Selma,
27577,904,6,25214,Smithfield,
27581,68,0,3956,Stem,
27583,136,0,7012,Timberlake,
27587,1198,31,74087,Wake Forest,
27589,203,4,8312,Warrenton,
27591,577,4,23448,Wendell,
27592,316,1,17368,Willow Spring,
27596,297,1,18655,Youngsville,
27597,545,6,25494,Zebulon,
27599,15,0,0,Chapel Hill,
27601,199,2,12139,Raleigh,
27603,1255,5,55479,Raleigh,
27604,1361,31,47645,Raleigh,
27605,117,3,5253,Raleigh,
27606,936,2,47938,Raleigh,
27607,723,3,30296,Raleigh,
27608,197,1,11603,Raleigh,
27609,816,13,38631,Raleigh,
27610,2712,46,74203,Raleigh,
27612,654,6,39208,Raleigh,
27613,620,8,46521,Raleigh,
27614,485,8,37689,Raleigh,
27615,758,20,46038,Raleigh,
27616,1365,7,55260,Raleigh,
27617,280,1,19511,Raleigh,
27701,767,6,26489,Durham,
27703,1983,11,61351,Durham,
27704,1745,18,39369,Durham,
27705,1456,46,48078,Durham,
27706,,,10,Durham,Population <500 and Cases <5
27707,1291,5,47036,Durham,
27708,17,0,4635,Durham,
27709,26,0,4,Durham,
27710,,,0,Durham,
27711,,,62,Durham,Population <500 and Cases <5
27712,454,21,22055,Durham,
27713,911,5,53996,Durham,
27801,659,15,21556,Rocky Mount,
27803,625,7,22337,Rocky Mount,
27804,1082,42,29160,Rocky Mount,
27805,99,0,3769,Aulander,
27806,29,1,2441,Aurora,
27807,269,3,6940,Bailey,
27808,43,1,2481,Bath,
27809,174,2,5254,Battleboro,
27810,69,0,4224,Belhaven,
27812,99,0,2951,Bethel,
27813,6,0,687,Black Creek,
27814,35,1,1801,Blounts Creek,
27816,70,0,2634,Castalia,
27817,184,1,7777,Chocowinity,
27818,46,0,1269,Como,
27820,55,2,3292,Conway,
27821,,,343,Edward,Population <500 and Cases <5
27822,269,3,9119,Elm City,
27823,189,2,7812,Enfield,
27824,24,0,1540,Engelhard,
27826,39,2,1245,Fairfield,
27827,7,0,99,Falkland,
27828,197,2,9031,Farmville,
27829,53,1,1872,Fountain,
27830,114,1,4858,Fremont,
27831,95,2,3588,Garysburg,
27832,101,0,2912,Gaston,
27834,1891,15,57505,Greenville,
27837,146,2,6506,Grimesland,
27839,56,1,3702,Halifax,
27840,27,2,535,Hamilton,
27841,,,84,Hassell,Population <500 and Cases <5
27842,13,0,1436,Henrico,
27843,40,0,946,Hobgood,
27844,95,1,3039,Hollister,
27845,32,0,2841,Jackson,
27846,59,1,3069,Jamesville,
27847,26,0,1071,Kelford,
27849,46,2,1483,Lewiston Woodville,
27850,76,1,7413,Littleton,
27851,170,1,5595,Lucama,
27852,69,0,3454,Macclesfield,
27853,17,0,436,Margarettsville,
27855,163,1,6105,Murfreesboro,
27856,533,6,17301,Nashville,
27857,51,2,1601,Oak City,
