ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1198,6,14872,Advance,
27007,210,0,2136,Ararat,
27009,254,1,2937,Belews Creek,
27011,519,7,5411,Boonville,
27012,2618,48,28954,Clemmons,
27013,572,6,6495,Cleveland,
27014,67,1,957,Cooleemee,
27016,139,2,1682,Danbury,
27017,1020,11,9499,Dobson,
27018,666,5,8221,East Bend,
27019,300,1,4234,Germanton,
27020,634,5,6104,Hamptonville,
27021,1621,44,17979,King,
27022,83,2,1512,Lawsonville,
27023,912,3,12775,Lewisville,
27024,265,3,2683,Lowgap,
27025,947,7,11117,Madison,
27027,339,9,4017,Mayodan,
27028,2477,27,28039,Mocksville,
27030,3964,94,37641,Mount Airy,
27040,948,8,13150,Pfafftown,
27041,665,8,8020,Pilot Mountain,
27042,64,2,720,Pine Hall,
27043,482,6,6442,Pinnacle,
27045,931,8,9583,Rural Hall,
27046,144,1,1953,Sandy Ridge,
27047,103,0,1279,Siloam,
27048,641,6,8902,Stoneville,
27050,283,3,4084,Tobaccoville,
27051,639,5,8287,Walkertown,
27052,851,21,10061,Walnut Cove,
27053,177,1,3156,Westfield,
27054,273,4,2608,Woodleaf,
27055,1596,24,14521,Yadkinville,
27101,1676,32,24321,Winston Salem,
27103,2804,38,36071,Winston Salem,
27104,2369,31,29383,Winston Salem,
27105,3667,33,40186,Winston Salem,
27106,4006,49,51378,Winston Salem,
27107,4484,40,52432,Winston Salem,
27127,3594,24,38510,Winston Salem,
27157,43,0,5,Winston Salem,
27203,2666,50,21876,Asheboro,
27205,3525,45,34549,Asheboro,
27207,266,2,3806,Bear Creek,
27208,142,2,1691,Bennett,
27209,691,40,4151,Biscoe,
27212,372,1,1600,Blanch,
27214,927,6,11747,Browns Summit,
27215,4136,66,44892,Burlington,
27217,4819,91,39111,Burlington,
27229,534,17,4014,Candor,
27231,113,0,2048,Cedar Grove,
27233,270,2,3647,Climax,
27235,388,7,4575,Colfax,
27239,783,12,9629,Denton,
27242,175,4,2668,Eagle Springs,
27243,264,3,4665,Efland,
27244,1793,18,16259,Elon,
27248,364,5,4835,Franklinville,
27249,1021,7,13355,Gibsonville,
27252,107,2,2264,Goldston,
27253,3253,42,31464,Graham,
27258,628,8,7740,Haw River,
27260,1989,39,25696,High Point,
27262,1929,55,24764,High Point,
27263,1972,33,22320,High Point,
27265,3965,50,50038,High Point,
27268,283,0,1695,High Point,
27278,1602,19,27181,Hillsborough,
27281,249,0,3710,Jackson Springs,
27282,1306,22,16597,Jamestown,
27283,224,2,2982,Julian,
27284,4710,63,56201,Kernersville,
27288,1728,26,23585,Eden,
27291,122,0,1538,Leasburg,
27292,3471,33,41465,Lexington,
27295,3616,47,39191,Lexington,
27298,761,9,10440,Liberty,
27299,533,4,5254,Linwood,
27301,943,16,10019,Mc Leansville,
27302,2313,12,32302,Mebane,
27305,152,1,1585,Milton,
27306,636,16,5945,Mount Gilead,
27310,587,3,8562,Oak Ridge,
27311,250,1,3220,Pelham,
27312,902,25,22205,Pittsboro,
27313,472,21,7288,Pleasant Garden,
27314,59,1,1138,Prospect Hill,
27315,117,0,2140,Providence,
27316,679,14,7156,Ramseur,
27317,1692,21,17851,Randleman,
27320,2865,23,38894,Reidsville,
27325,722,5,7676,Robbins,
27326,267,2,3692,Ruffin,
27330,3661,48,39529,Sanford,
27332,2622,25,33549,Sanford,
27341,478,3,5820,Seagrove,
27343,121,0,1840,Semora,
27344,1800,30,19290,Siler City,
27349,451,5,5850,Snow Camp,
27350,566,6,7508,Sophia,
27355,212,2,3196,Staley,
27356,333,7,3513,Star,
27357,814,16,8325,Stokesdale,
27358,955,6,15960,Summerfield,
27360,4508,57,48331,Thomasville,
27370,1408,28,14622,Trinity,
27371,841,10,7778,Troy,
