ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,248,3,14872,Advance,
27007,57,0,2136,Ararat,
27009,51,0,2937,Belews Creek,
27011,154,2,5411,Boonville,
27012,712,16,28954,Clemmons,
27013,150,4,6495,Cleveland,
27014,18,0,957,Cooleemee,
27016,36,0,1682,Danbury,
27017,372,3,9499,Dobson,
27018,214,2,8221,East Bend,
27019,74,1,4234,Germanton,
27020,199,3,6104,Hamptonville,
27021,366,3,17979,King,
27022,26,0,1512,Lawsonville,
27023,302,2,12775,Lewisville,
27024,59,2,2683,Lowgap,
27025,424,3,11117,Madison,
27027,114,0,4017,Mayodan,
27028,727,8,28039,Mocksville,
27030,1189,22,37641,Mount Airy,
27040,262,1,13150,Pfafftown,
27041,159,2,8020,Pilot Mountain,
27042,28,1,720,Pine Hall,
27043,149,1,6442,Pinnacle,
27045,286,3,9583,Rural Hall,
27046,43,1,1953,Sandy Ridge,
27047,45,0,1279,Siloam,
27048,253,1,8902,Stoneville,
27050,87,1,4084,Tobaccoville,
27051,187,3,8287,Walkertown,
27052,211,7,10061,Walnut Cove,
27053,38,1,3156,Westfield,
27054,69,0,2608,Woodleaf,
27055,555,2,14521,Yadkinville,
27101,548,19,24321,Winston Salem,
27103,951,17,36071,Winston Salem,
27104,783,13,29383,Winston Salem,
27105,1443,14,40186,Winston Salem,
27106,1369,10,51378,Winston Salem,
27107,1733,18,52432,Winston Salem,
27127,1191,12,38510,Winston Salem,
27157,13,0,5,Winston Salem,
27203,1023,23,21876,Asheboro,
27205,1181,14,34549,Asheboro,
27207,132,2,3806,Bear Creek,
27208,60,0,1691,Bennett,
27209,349,23,4151,Biscoe,
27212,215,0,1600,Blanch,
27214,284,1,11747,Browns Summit,
27215,1371,16,44892,Burlington,
27217,2053,51,39111,Burlington,
27229,253,7,4014,Candor,
27231,30,0,2048,Cedar Grove,
27233,56,1,3647,Climax,
27235,124,1,4575,Colfax,
27239,203,5,9629,Denton,
27242,69,0,2668,Eagle Springs,
27243,95,1,4665,Efland,
27244,714,6,16259,Elon,
27248,111,3,4835,Franklinville,
27249,287,2,13355,Gibsonville,
27252,27,1,2264,Goldston,
27253,1225,17,31464,Graham,
27258,213,3,7740,Haw River,
27260,792,17,25696,High Point,
27262,682,7,24764,High Point,
27263,719,14,22320,High Point,
27265,1214,26,50038,High Point,
27268,211,0,1695,High Point,
27278,562,2,27181,Hillsborough,
27281,88,0,3710,Jackson Springs,
27282,382,7,16597,Jamestown,
27283,64,1,2982,Julian,
27284,1444,24,56201,Kernersville,
27288,741,8,23585,Eden,
27291,45,0,1538,Leasburg,
27292,1048,7,41465,Lexington,
27295,1010,17,39191,Lexington,
27298,222,0,10440,Liberty,
27299,162,0,5254,Linwood,
27301,243,3,10019,Mc Leansville,
27302,723,0,32302,Mebane,
27305,57,1,1585,Milton,
27306,223,6,5945,Mount Gilead,
27310,168,1,8562,Oak Ridge,
27311,66,0,3220,Pelham,
27312,351,23,22205,Pittsboro,
27313,171,17,7288,Pleasant Garden,
27314,19,1,1138,Prospect Hill,
27315,33,0,2140,Providence,
27316,296,12,7156,Ramseur,
27317,511,6,17851,Randleman,
27320,867,9,38894,Reidsville,
27325,288,2,7676,Robbins,
27326,81,2,3692,Ruffin,
27330,1453,19,39529,Sanford,
27332,1055,12,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
27341,138,0,5820,Seagrove,
27343,30,0,1840,Semora,
27344,1131,23,19290,Siler City,
27349,116,1,5850,Snow Camp,
27350,176,2,7508,Sophia,
27355,80,0,3196,Staley,
27356,111,2,3513,Star,
27357,228,1,8325,Stokesdale,
27358,351,1,15960,Summerfield,
27360,1544,18,48331,Thomasville,
27370,380,1,14622,Trinity,
27371,296,3,7778,Troy,
27376,212,6,9884,West End,
27377,248,0,9597,Whitsett,
27379,148,3,6057,Yanceyville,
27401,616,11,20221,Greensboro,
27403,456,9,21278,Greensboro,
27405,1548,21,52510,Greensboro,
27406,1588,47,60755,Greensboro,
27407,1448,15,49837,Greensboro,
27408,355,1,17406,Greensboro,
27409,399,3,17953,Greensboro,
27410,1021,8,56968,Greensboro,
27411,19,0,847,Greensboro,
27412,12,0,1886,Greensboro,
27455,678,12,29197,Greensboro,
27498,,,13,Greensboro,Population <500 and Cases <5
27501,604,5,21338,Angier,
27502,612,4,43747,Apex,
27503,57,0,7222,Bahama,
27504,558,7,16320,Benson,
27505,211,5,7308,Broadway,
27507,52,1,2053,Bullock,
27508,64,0,2340,Bunn,
27509,866,30,6935,Butner,
27510,359,6,14543,Carrboro,
27511,601,3,34041,Cary,
27513,620,4,49003,Cary,
27514,826,21,32847,Chapel Hill,
27516,961,12,44117,Chapel Hill,
27517,475,7,28831,Chapel Hill,
27518,306,1,22765,Cary,
27519,728,4,59960,Cary,
27520,1374,30,43958,Clayton,
27521,218,3,7149,Coats,
27522,367,3,13652,Creedmoor,
27523,196,0,12782,Apex,
27524,512,5,13532,Four Oaks,
27525,384,1,15534,Franklinton,
27526,1025,16,54027,Fuquay Varina,
27527,667,1,30234,Clayton,
27529,1430,30,53854,Garner,
27530,1288,36,40212,Goldsboro,
27531,4,0,666,Goldsboro,
27534,1170,30,31819,Goldsboro,
27536,599,33,16459,Henderson,
27537,741,13,25321,Henderson,
27539,424,3,26567,Apex,
27540,671,2,39075,Holly Springs,
27541,77,1,4044,Hurdle Mills,
27542,269,3,10043,Kenly,
27544,85,1,4291,Kittrell,
27545,961,22,30327,Knightdale,
27546,780,38,22436,Lillington,
27549,734,28,25224,Louisburg,
27551,29,1,2205,Macon,
27553,101,0,2030,Manson,
27556,12,0,298,Middleburg,
27557,257,2,9214,Middlesex,
27559,47,0,2874,Moncure,
27560,568,3,33691,Morrisville,
27562,49,0,2791,New Hill,
27563,138,1,5312,Norlina,
27565,908,25,26057,Oxford,
27569,359,0,8984,Princeton,
27571,136,0,7385,Rolesville,
27572,107,1,7316,Rougemont,
27573,261,9,11561,Roxboro,
27574,274,0,15232,Roxboro,
27576,833,9,20197,Selma,
27577,1077,9,25214,Smithfield,
27581,96,0,3956,Stem,
27583,181,0,7012,Timberlake,
27587,1535,33,74087,Wake Forest,
27589,240,4,8312,Warrenton,
27591,693,4,23448,Wendell,
27592,392,1,17368,Willow Spring,
27596,388,1,18655,Youngsville,
27597,704,6,25494,Zebulon,
27599,16,0,0,Chapel Hill,
27601,240,2,12139,Raleigh,
27603,1526,6,55479,Raleigh,
27604,1609,32,47645,Raleigh,
27605,150,3,5253,Raleigh,
27606,1119,3,47938,Raleigh,
27607,853,3,30296,Raleigh,
27608,241,1,11603,Raleigh,
27609,962,13,38631,Raleigh,
27610,3116,47,74203,Raleigh,
27612,811,7,39208,Raleigh,
27613,793,8,46521,Raleigh,
27614,622,8,37689,Raleigh,
27615,948,20,46038,Raleigh,
27616,1674,7,55260,Raleigh,
27617,365,2,19511,Raleigh,
27701,880,7,26489,Durham,
27703,2315,13,61351,Durham,
27704,1943,20,39369,Durham,
27705,1646,46,48078,Durham,
27706,,,10,Durham,Population <500 and Cases <5
27707,1464,5,47036,Durham,
27708,24,0,4635,Durham,
27709,40,0,4,Durham,
27710,5,0,0,Durham,
27711,,,62,Durham,Population <500 and Cases <5
27712,556,21,22055,Durham,
27713,1107,5,53996,Durham,
27801,774,16,21556,Rocky Mount,
27803,744,9,22337,Rocky Mount,
27804,1296,49,29160,Rocky Mount,
27805,104,1,3769,Aulander,
27806,37,2,2441,Aurora,
27807,338,5,6940,Bailey,
27808,51,1,2481,Bath,
27809,210,3,5254,Battleboro,
27810,86,1,4224,Belhaven,
27812,123,0,2951,Bethel,
27813,14,0,687,Black Creek,
27814,39,1,1801,Blounts Creek,
27816,85,0,2634,Castalia,
27817,218,1,7777,Chocowinity,
27818,54,0,1269,Como,
27820,63,2,3292,Conway,
27821,,,343,Edward,Population <500 and Cases <5
27822,331,3,9119,Elm City,
27823,226,4,7812,Enfield,
27824,25,0,1540,Engelhard,
27826,39,2,1245,Fairfield,
27827,12,0,99,Falkland,
27828,239,4,9031,Farmville,
27829,62,1,1872,Fountain,
27830,137,1,4858,Fremont,
27831,117,2,3588,Garysburg,
27832,135,3,2912,Gaston,
27834,2348,18,57505,Greenville,
27837,164,2,6506,Grimesland,
27839,74,1,3702,Halifax,
27840,35,2,535,Hamilton,
27841,,,84,Hassell,
27842,19,0,1436,Henrico,
27843,48,0,946,Hobgood,
27844,112,1,3039,Hollister,
27845,54,0,2841,Jackson,
27846,78,1,3069,Jamesville,
27847,32,0,1071,Kelford,
27849,53,2,1483,Lewiston Woodville,
27850,113,2,7413,Littleton,
27851,212,2,5595,Lucama,
27852,86,0,3454,Macclesfield,
27853,17,0,436,Margarettsville,
27855,179,1,6105,Murfreesboro,
