ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1860,14,14872,Advance,
27007,293,2,2136,Ararat,
27009,406,5,2937,Belews Creek,
27011,793,7,5411,Boonville,
27012,3822,58,28954,Clemmons,
27013,992,12,6495,Cleveland,
27014,154,5,957,Cooleemee,
27016,261,4,1682,Danbury,
27017,1566,20,9499,Dobson,
27018,1012,10,8221,East Bend,
27019,488,1,4234,Germanton,
27020,1000,10,6104,Hamptonville,
27021,2436,53,17979,King,
27022,145,3,1512,Lawsonville,
27023,1416,6,12775,Lewisville,
27024,413,4,2683,Lowgap,
27025,1372,32,11117,Madison,
27027,460,19,4017,Mayodan,
27028,4018,45,28039,Mocksville,
27030,5985,131,37641,Mount Airy,
27040,1424,13,13150,Pfafftown,
27041,1101,9,8020,Pilot Mountain,
27042,89,2,720,Pine Hall,
27043,788,9,6442,Pinnacle,
27045,1368,12,9583,Rural Hall,
27046,218,2,1953,Sandy Ridge,
27047,163,2,1279,Siloam,
27048,996,12,8902,Stoneville,
27050,497,6,4084,Tobaccoville,
27051,1051,9,8287,Walkertown,
27052,1339,28,10061,Walnut Cove,
27053,314,4,3156,Westfield,
27054,453,5,2608,Woodleaf,
27055,2290,32,14521,Yadkinville,
27101,2507,48,24321,Winston Salem,
27103,4186,47,36071,Winston Salem,
27104,3302,41,29383,Winston Salem,
27105,5607,53,40186,Winston Salem,
27106,5700,65,51378,Winston Salem,
27107,6987,61,52432,Winston Salem,
27127,5338,29,38510,Winston Salem,
27157,51,0,5,Winston Salem,
27203,3504,60,21876,Asheboro,
27205,5015,55,34549,Asheboro,
27207,448,2,3806,Bear Creek,
27208,232,3,1691,Bennett,
27209,869,42,4151,Biscoe,
27212,414,1,1600,Blanch,
27214,1477,16,11747,Browns Summit,
27215,6245,79,44892,Burlington,
27217,6757,108,39111,Burlington,
27229,687,18,4014,Candor,
27231,155,1,2048,Cedar Grove,
27233,449,4,3647,Climax,
27235,576,13,4575,Colfax,
