ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1965,16,14872,Advance,
27007,329,3,2136,Ararat,
27009,428,6,2937,Belews Creek,
27011,839,10,5411,Boonville,
27012,4003,62,28954,Clemmons,
27013,1024,13,6495,Cleveland,
27014,171,5,957,Cooleemee,
27016,278,4,1682,Danbury,
27017,1659,22,9499,Dobson,
27018,1071,10,8221,East Bend,
27019,530,3,4234,Germanton,
27020,1045,11,6104,Hamptonville,
27021,2596,57,17979,King,
27022,169,3,1512,Lawsonville,
27023,1479,8,12775,Lewisville,
27024,439,4,2683,Lowgap,
27025,1472,33,11117,Madison,
27027,498,19,4017,Mayodan,
27028,4309,54,28039,Mocksville,
27030,6410,144,37641,Mount Airy,
27040,1510,13,13150,Pfafftown,
27041,1204,11,8020,Pilot Mountain,
27042,94,2,720,Pine Hall,
27043,866,11,6442,Pinnacle,
27045,1457,12,9583,Rural Hall,
27046,243,5,1953,Sandy Ridge,
27047,176,2,1279,Siloam,
27048,1111,12,8902,Stoneville,
27050,535,7,4084,Tobaccoville,
27051,1140,12,8287,Walkertown,
27052,1442,29,10061,Walnut Cove,
27053,357,5,3156,Westfield,
27054,468,7,2608,Woodleaf,
27055,2406,32,14521,Yadkinville,
27101,2650,50,24321,Winston Salem,
27103,4447,49,36071,Winston Salem,
27104,3456,45,29383,Winston Salem,
27105,5884,58,40186,Winston Salem,
27106,5985,66,51378,Winston Salem,
27107,7336,70,52432,Winston Salem,
27127,5608,36,38510,Winston Salem,
27157,52,0,5,Winston Salem,
27203,3731,61,21876,Asheboro,
27205,5330,58,34549,Asheboro,
27207,473,2,3806,Bear Creek,
27208,241,3,1691,Bennett,
27209,890,43,4151,Biscoe,
27212,422,1,1600,Blanch,
27214,1571,17,11747,Browns Summit,
27215,6623,88,44892,Burlington,
27217,7059,116,39111,Burlington,
27229,720,18,4014,Candor,
27231,171,1,2048,Cedar Grove,
27233,479,5,3647,Climax,
27235,591,14,4575,Colfax,
27239,1394,21,9629,Denton,
27242,299,5,2668,Eagle Springs,
27243,439,4,4665,Efland,
27244,2948,29,16259,Elon,
27248,658,7,4835,Franklinville,
27249,1792,21,13355,Gibsonville,
27252,191,2,2264,Goldston,
27253,5149,64,31464,Graham,
27258,1012,10,7740,Haw River,
27260,3274,52,25696,High Point,
27262,3020,71,24764,High Point,
27263,3090,51,22320,High Point,
27265,6323,70,50038,High Point,
27268,342,0,1695,High Point,
27278,2424,24,27181,Hillsborough,
27281,398,4,3710,Jackson Springs,
27282,1987,28,16597,Jamestown,
27283,426,5,2982,Julian,
27284,7719,106,56201,Kernersville,
27288,3183,64,23585,Eden,
27291,182,1,1538,Leasburg,
27292,6134,63,41465,Lexington,
27295,6307,81,39191,Lexington,
27298,1396,14,10440,Liberty,
27299,975,10,5254,Linwood,
27301,1553,23,10019,Mc Leansville,
27302,4013,27,32302,Mebane,
27305,213,1,1585,Milton,
27306,1012,21,5945,Mount Gilead,
27310,910,5,8562,Oak Ridge,
27311,462,5,3220,Pelham,
27312,1486,26,22205,Pittsboro,
27313,840,26,7288,Pleasant Garden,
27314,112,1,1138,Prospect Hill,
27315,201,1,2140,Providence,
27316,1012,18,7156,Ramseur,
27317,2766,37,17851,Randleman,
27320,5159,60,38894,Reidsville,
27325,1106,15,7676,Robbins,
27326,531,3,3692,Ruffin,
27330,6116,70,39529,Sanford,
27332,4637,40,33549,Sanford,
27341,767,5,5820,Seagrove,
27343,169,0,1840,Semora,
27344,2705,37,19290,Siler City,
27349,874,6,5850,Snow Camp,
27350,993,12,7508,Sophia,
27355,357,2,3196,Staley,
27356,491,8,3513,Star,
27357,1306,23,8325,Stokesdale,
27358,1604,9,15960,Summerfield,
27360,7396,103,48331,Thomasville,
27370,2347,45,14622,Trinity,
27371,1207,17,7778,Troy,
27376,1255,23,9884,West End,
27377,1457,12,9597,Whitsett,
27379,805,25,6057,Yanceyville,
27401,2672,34,20221,Greensboro,
27403,2128,23,21278,Greensboro,
27405,7023,70,52510,Greensboro,
27406,8106,136,60755,Greensboro,
27407,6248,82,49837,Greensboro,
27408,1717,9,17406,Greensboro,
27409,2160,21,17953,Greensboro,
27410,5705,59,56968,Greensboro,
27455,3379,75,29197,Greensboro,
27501,3090,29,21338,Angier,
27502,3776,13,43747,Apex,
27503,315,1,7222,Bahama,
27504,3005,34,16320,Benson,
27505,949,18,7308,Broadway,
27507,211,3,2053,Bullock,
27508,369,1,2340,Bunn,
27509,2086,39,6935,Butner,
27510,1082,8,14543,Carrboro,
27511,2901,29,34041,Cary,
27513,3453,28,49003,Cary,
27514,2424,24,32847,Chapel Hill,
27516,3037,17,44117,Chapel Hill,
27517,1675,17,28831,Chapel Hill,
27518,1706,19,22765,Cary,
27519,3911,11,59960,Cary,
27520,7028,79,43958,Clayton,
27521,1054,13,7149,Coats,
27522,1638,10,13652,Creedmoor,
27523,1168,2,12782,Apex,
27524,2244,32,13532,Four Oaks,
27525,2501,5,15534,Franklinton,
27526,6497,68,54027,Fuquay Varina,
27527,4375,18,30234,Clayton,
27529,7594,85,53854,Garner,
27530,5009,93,40212,Goldsboro,
27531,37,0,666,Goldsboro,
27534,4112,91,31819,Goldsboro,
27536,2644,50,16459,Henderson,
27537,3586,44,25321,Henderson,
27539,2439,10,26567,Apex,
27540,4330,13,39075,Holly Springs,
27541,504,3,4044,Hurdle Mills,
27542,1377,21,10043,Kenly,
27544,556,6,4291,Kittrell,
27545,4727,44,30327,Knightdale,
27546,3409,89,22436,Lillington,
27549,3317,40,25224,Louisburg,
27551,167,3,2205,Macon,
27553,545,1,2030,Manson,
27556,35,0,298,Middleburg,
27557,1257,13,9214,Middlesex,
27559,201,1,2874,Moncure,
27560,2690,16,33691,Morrisville,
27562,364,1,2791,New Hill,
27563,547,10,5312,Norlina,
27565,3488,54,26057,Oxford,
27569,1438,12,8984,Princeton,
27571,1176,2,7385,Rolesville,
27572,640,3,7316,Rougemont,
27573,1722,58,11561,Roxboro,
27574,1710,16,15232,Roxboro,
27576,2986,28,20197,Selma,
27577,4411,61,25214,Smithfield,
27581,458,2,3956,Stem,
27583,908,9,7012,Timberlake,
27587,10257,61,74087,Wake Forest,
27589,986,14,8312,Warrenton,
27591,3823,31,23448,Wendell,
27592,2324,11,17368,Willow Spring,
27596,2772,7,18655,Youngsville,
27597,4528,29,25494,Zebulon,
27601,1327,8,12139,Raleigh,
27603,7238,49,55479,Raleigh,
27604,6264,55,47645,Raleigh,
27605,809,19,5253,Raleigh,
27606,4915,14,47938,Raleigh,
27607,2848,13,30296,Raleigh,
27608,1322,3,11603,Raleigh,
27609,4431,29,38631,Raleigh,
27610,12515,100,74203,Raleigh,
27612,4232,40,39208,Raleigh,
27613,4470,15,46521,Raleigh,
27614,3936,23,37689,Raleigh,
27615,4810,52,46038,Raleigh,
27616,8161,41,55260,Raleigh,
27617,2150,3,19511,Raleigh,
27701,2939,18,26489,Durham,
27703,7556,37,61351,Durham,
27704,5546,42,39369,Durham,
27705,4698,86,48078,Durham,
27707,4979,17,47036,Durham,
