ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,336,3,14872,Advance,
27007,68,0,2136,Ararat,
27009,68,0,2937,Belews Creek,
27011,199,2,5411,Boonville,
27012,889,17,28954,Clemmons,
27013,178,4,6495,Cleveland,
27014,22,0,957,Cooleemee,
27016,48,0,1682,Danbury,
27017,426,3,9499,Dobson,
27018,258,2,8221,East Bend,
27019,108,1,4234,Germanton,
27020,235,4,6104,Hamptonville,
27021,451,5,17979,King,
27022,31,0,1512,Lawsonville,
27023,367,2,12775,Lewisville,
27024,74,2,2683,Lowgap,
27025,513,3,11117,Madison,
27027,147,0,4017,Mayodan,
27028,888,10,28039,Mocksville,
27030,1426,23,37641,Mount Airy,
27040,340,1,13150,Pfafftown,
27041,196,4,8020,Pilot Mountain,
27042,31,1,720,Pine Hall,
27043,187,1,6442,Pinnacle,
27045,357,3,9583,Rural Hall,
27046,56,1,1953,Sandy Ridge,
27047,51,0,1279,Siloam,
27048,311,1,8902,Stoneville,
27050,116,1,4084,Tobaccoville,
27051,211,3,8287,Walkertown,
27052,261,7,10061,Walnut Cove,
27053,48,1,3156,Westfield,
27054,78,0,2608,Woodleaf,
27055,693,3,14521,Yadkinville,
27101,684,22,24321,Winston Salem,
27103,1135,17,36071,Winston Salem,
27104,971,15,29383,Winston Salem,
27105,1704,16,40186,Winston Salem,
27106,1648,13,51378,Winston Salem,
27107,2031,20,52432,Winston Salem,
27127,1408,13,38510,Winston Salem,
27157,15,0,5,Winston Salem,
27203,1152,24,21876,Asheboro,
27205,1365,17,34549,Asheboro,
27207,143,2,3806,Bear Creek,
27208,64,0,1691,Bennett,
27209,370,23,4151,Biscoe,
27212,223,0,1600,Blanch,
27214,338,1,11747,Browns Summit,
27215,1611,18,44892,Burlington,
27217,2359,51,39111,Burlington,
27229,267,7,4014,Candor,
27231,41,0,2048,Cedar Grove,
27233,75,1,3647,Climax,
27235,150,1,4575,Colfax,
27239,246,5,9629,Denton,
27242,72,0,2668,Eagle Springs,
27243,113,1,4665,Efland,
27244,840,6,16259,Elon,
27248,133,3,4835,Franklinville,
27249,370,3,13355,Gibsonville,
27252,34,1,2264,Goldston,
27253,1388,17,31464,Graham,
27258,254,3,7740,Haw River,
27260,877,17,25696,High Point,
27262,774,9,24764,High Point,
27263,799,16,22320,High Point,
27265,1404,27,50038,High Point,
27268,223,0,1695,High Point,
27278,641,3,27181,Hillsborough,
27281,91,0,3710,Jackson Springs,
27282,468,7,16597,Jamestown,
27283,84,1,2982,Julian,
27284,1709,27,56201,Kernersville,
27288,873,8,23585,Eden,
27291,50,0,1538,Leasburg,
27292,1232,8,41465,Lexington,
27295,1238,17,39191,Lexington,
27298,263,0,10440,Liberty,
27299,201,0,5254,Linwood,
27301,296,3,10019,Mc Leansville,
27302,892,0,32302,Mebane,
27305,60,1,1585,Milton,
27306,245,6,5945,Mount Gilead,
27310,217,2,8562,Oak Ridge,
27311,88,0,3220,Pelham,
27312,389,23,22205,Pittsboro,
27313,193,18,7288,Pleasant Garden,
27314,22,1,1138,Prospect Hill,
27315,38,0,2140,Providence,
27316,327,12,7156,Ramseur,
27317,582,7,17851,Randleman,
27320,1044,9,38894,Reidsville,
27325,312,2,7676,Robbins,
27326,104,2,3692,Ruffin,
27330,1584,20,39529,Sanford,
27332,1153,12,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
27341,161,0,5820,Seagrove,
27343,36,0,1840,Semora,
27344,1198,23,19290,Siler City,
27349,162,1,5850,Snow Camp,
27350,224,2,7508,Sophia,
27355,86,0,3196,Staley,
27356,128,2,3513,Star,
27357,291,1,8325,Stokesdale,
27358,424,1,15960,Summerfield,
27360,1730,19,48331,Thomasville,
27370,485,4,14622,Trinity,
27371,327,3,7778,Troy,
27376,234,6,9884,West End,
27377,302,0,9597,Whitsett,
27379,167,3,6057,Yanceyville,
27401,695,11,20221,Greensboro,
27403,529,9,21278,Greensboro,
27405,1756,22,52510,Greensboro,
27406,1866,51,60755,Greensboro,
27407,1656,18,49837,Greensboro,
27408,410,1,17406,Greensboro,
27409,487,3,17953,Greensboro,
27410,1249,9,56968,Greensboro,
27411,27,0,847,Greensboro,
27412,14,0,1886,Greensboro,
27455,832,17,29197,Greensboro,
27498,,,13,Greensboro,Population <500 and Cases <5
27501,672,5,21338,Angier,
27502,708,4,43747,Apex,
27503,58,0,7222,Bahama,
27504,688,7,16320,Benson,
27505,237,5,7308,Broadway,
27507,60,1,2053,Bullock,
27508,71,0,2340,Bunn,
27509,894,30,6935,Butner,
27510,392,6,14543,Carrboro,
27511,706,4,34041,Cary,
27513,715,4,49003,Cary,
27514,868,21,32847,Chapel Hill,
27516,1035,12,44117,Chapel Hill,
27517,545,7,28831,Chapel Hill,
27518,353,1,22765,Cary,
27519,832,4,59960,Cary,
27520,1558,31,43958,Clayton,
27521,260,3,7149,Coats,
27522,414,3,13652,Creedmoor,
27523,218,0,12782,Apex,
27524,581,5,13532,Four Oaks,
27525,463,1,15534,Franklinton,
27526,1185,16,54027,Fuquay Varina,
27527,777,1,30234,Clayton,
27529,1626,31,53854,Garner,
27530,1436,39,40212,Goldsboro,
27531,4,0,666,Goldsboro,
27534,1305,32,31819,Goldsboro,
27536,708,33,16459,Henderson,
27537,923,20,25321,Henderson,
27539,507,3,26567,Apex,
27540,796,2,39075,Holly Springs,
27541,89,1,4044,Hurdle Mills,
27542,314,3,10043,Kenly,
27544,105,1,4291,Kittrell,
27545,1059,22,30327,Knightdale,
27546,858,38,22436,Lillington,
27549,827,28,25224,Louisburg,
