ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1209,7,14872,Advance,
27007,210,0,2136,Ararat,
27009,263,1,2937,Belews Creek,
27011,522,7,5411,Boonville,
27012,2640,48,28954,Clemmons,
27013,580,6,6495,Cleveland,
27014,71,1,957,Cooleemee,
27016,145,2,1682,Danbury,
27017,1030,11,9499,Dobson,
27018,673,5,8221,East Bend,
27019,304,1,4234,Germanton,
27020,640,5,6104,Hamptonville,
27021,1640,44,17979,King,
27022,83,2,1512,Lawsonville,
27023,923,3,12775,Lewisville,
27024,268,3,2683,Lowgap,
27025,961,7,11117,Madison,
27027,341,16,4017,Mayodan,
27028,2538,27,28039,Mocksville,
27030,4021,94,37641,Mount Airy,
27040,962,8,13150,Pfafftown,
27041,672,8,8020,Pilot Mountain,
27042,64,2,720,Pine Hall,
27043,485,6,6442,Pinnacle,
27045,944,8,9583,Rural Hall,
27046,145,1,1953,Sandy Ridge,
27047,103,0,1279,Siloam,
27048,647,6,8902,Stoneville,
27050,290,3,4084,Tobaccoville,
27051,643,5,8287,Walkertown,
27052,865,22,10061,Walnut Cove,
27053,181,2,3156,Westfield,
27054,281,4,2608,Woodleaf,
27055,1605,24,14521,Yadkinville,
27101,1697,32,24321,Winston Salem,
27103,2842,38,36071,Winston Salem,
27104,2399,31,29383,Winston Salem,
27105,3708,35,40186,Winston Salem,
27106,4061,50,51378,Winston Salem,
27107,4556,40,52432,Winston Salem,
27127,3640,24,38510,Winston Salem,
27157,44,0,5,Winston Salem,
27203,2698,51,21876,Asheboro,
27205,3586,45,34549,Asheboro,
27207,268,2,3806,Bear Creek,
27208,141,2,1691,Bennett,
27209,694,40,4151,Biscoe,
27212,373,1,1600,Blanch,
27214,951,6,11747,Browns Summit,
27215,4223,64,44892,Burlington,
27217,4904,95,39111,Burlington,
27229,536,17,4014,Candor,
27231,114,0,2048,Cedar Grove,
27233,273,2,3647,Climax,
27235,399,11,4575,Colfax,
27239,799,12,9629,Denton,
27242,178,4,2668,Eagle Springs,
27243,266,3,4665,Efland,
27244,1874,18,16259,Elon,
27248,372,5,4835,Franklinville,
27249,1033,7,13355,Gibsonville,
27252,110,2,2264,Goldston,
27253,3311,42,31464,Graham,
27258,643,8,7740,Haw River,
27260,2045,40,25696,High Point,
27262,1973,57,24764,High Point,
27263,1999,35,22320,High Point,
27265,4053,50,50038,High Point,
27268,300,0,1695,High Point,
27278,1639,19,27181,Hillsborough,
27281,250,0,3710,Jackson Springs,
27282,1327,22,16597,Jamestown,
27283,229,2,2982,Julian,
27284,4776,63,56201,Kernersville,
27288,1743,27,23585,Eden,
27291,123,0,1538,Leasburg,
27292,3522,33,41465,Lexington,
27295,3686,47,39191,Lexington,
27298,771,9,10440,Liberty,
27299,539,4,5254,Linwood,
27301,963,16,10019,Mc Leansville,
27302,2370,12,32302,Mebane,
27305,154,1,1585,Milton,
27306,642,16,5945,Mount Gilead,
27310,596,3,8562,Oak Ridge,
27311,255,1,3220,Pelham,
27312,923,25,22205,Pittsboro,
27313,483,21,7288,Pleasant Garden,
27314,60,1,1138,Prospect Hill,
27315,117,0,2140,Providence,
27316,687,14,7156,Ramseur,
27317,1720,22,17851,Randleman,
27320,2904,25,38894,Reidsville,
27325,727,5,7676,Robbins,
27326,272,2,3692,Ruffin,
27330,3721,49,39529,Sanford,
27332,2668,26,33549,Sanford,
27341,482,3,5820,Seagrove,
27343,127,0,1840,Semora,
27344,1825,33,19290,Siler City,
27349,472,5,5850,Snow Camp,
27350,578,6,7508,Sophia,
27355,218,2,3196,Staley,
27356,336,7,3513,Star,
27357,833,16,8325,Stokesdale,
27358,973,6,15960,Summerfield,
27360,4614,57,48331,Thomasville,
27370,1449,29,14622,Trinity,
27371,843,11,7778,Troy,
27376,776,14,9884,West End,
27377,826,5,9597,Whitsett,
27379,551,20,6057,Yanceyville,
27401,1757,22,20221,Greensboro,
27403,1311,17,21278,Greensboro,
27405,4233,42,52510,Greensboro,
27406,4877,101,60755,Greensboro,
27407,4049,54,49837,Greensboro,
27408,1159,6,17406,Greensboro,
27409,1332,14,17953,Greensboro,
27410,3734,39,56968,Greensboro,
27455,2234,54,29197,Greensboro,
27501,1719,17,21338,Angier,
27502,2304,9,43747,Apex,
27503,178,0,7222,Bahama,
27504,1776,19,16320,Benson,
27505,559,7,7308,Broadway,
27507,154,2,2053,Bullock,
27508,291,1,2340,Bunn,
27509,1636,37,6935,Butner,
27510,800,8,14543,Carrboro,
27511,1961,23,34041,Cary,
27513,2226,24,49003,Cary,
27514,1589,24,32847,Chapel Hill,
27516,2122,17,44117,Chapel Hill,
27517,1155,16,28831,Chapel Hill,
27518,1099,16,22765,Cary,
27519,2453,8,59960,Cary,
27520,4343,57,43958,Clayton,
27521,676,9,7149,Coats,
27522,1040,5,13652,Creedmoor,
27523,673,1,12782,Apex,
27524,1362,15,13532,Four Oaks,
27525,1420,3,15534,Franklinton,
27526,3717,47,54027,Fuquay Varina,
27527,2418,8,30234,Clayton,
27529,4605,63,53854,Garner,
27530,3045,73,40212,Goldsboro,
27531,11,0,666,Goldsboro,
27534,2633,69,31819,Goldsboro,
27536,1790,46,16459,Henderson,
27537,2443,36,25321,Henderson,
27539,1373,6,26567,Apex,
27540,2489,7,39075,Holly Springs,
27541,292,1,4044,Hurdle Mills,
27542,837,13,10043,Kenly,
27544,390,4,4291,Kittrell,
27545,2957,37,30327,Knightdale,
27546,2089,73,22436,Lillington,
27549,2126,33,25224,Louisburg,
27551,115,3,2205,Macon,
27553,483,0,2030,Manson,
27556,20,0,298,Middleburg,
27557,727,3,9214,Middlesex,
27559,131,1,2874,Moncure,
27560,1697,11,33691,Morrisville,
27562,234,0,2791,New Hill,
27563,365,6,5312,Norlina,
27565,2416,40,26057,Oxford,
27569,932,6,8984,Princeton,
27571,694,1,7385,Rolesville,
27572,401,3,7316,Rougemont,
27573,1108,51,11561,Roxboro,
27574,1062,9,15232,Roxboro,
27576,1902,22,20197,Selma,
27577,2869,41,25214,Smithfield,
27581,286,2,3956,Stem,
27583,567,6,7012,Timberlake,
27587,6140,48,74087,Wake Forest,
27589,667,6,8312,Warrenton,
27591,2255,24,23448,Wendell,
27592,1304,6,17368,Willow Spring,
27596,1603,5,18655,Youngsville,
27597,2528,20,25494,Zebulon,
27601,855,7,12139,Raleigh,
27603,4417,21,55479,Raleigh,
27604,4101,45,47645,Raleigh,
27605,587,18,5253,Raleigh,
27606,3166,12,47938,Raleigh,
27607,1996,9,30296,Raleigh,
27608,880,3,11603,Raleigh,
27609,2976,26,38631,Raleigh,
27610,7969,74,74203,Raleigh,
27612,2728,37,39208,Raleigh,
27613,2744,12,46521,Raleigh,
27614,2439,21,37689,Raleigh,
27615,3082,49,46038,Raleigh,
27616,5231,28,55260,Raleigh,
27617,1327,4,19511,Raleigh,
27701,2066,15,26489,Durham,
27703,5068,26,61351,Durham,
27704,3892,36,39369,Durham,
27705,3284,74,48078,Durham,
27707,3263,16,47036,Durham,
27708,226,0,4635,Durham,
27709,140,0,4,Durham,
27710,6,0,0,Durham,
27712,1321,28,22055,Durham,
27713,3071,26,53996,Durham,
27801,1887,21,21556,Rocky Mount,
27803,1933,23,22337,Rocky Mount,
27804,3078,81,29160,Rocky Mount,
27805,215,2,3769,Aulander,
27806,161,3,2441,Aurora,
27807,851,10,6940,Bailey,
27808,193,3,2481,Bath,
27809,481,8,5254,Battleboro,
27812,252,1,2951,Bethel,
27813,64,0,687,Black Creek,
27814,118,2,1801,Blounts Creek,
27816,251,3,2634,Castalia,
27817,617,5,7777,Chocowinity,
27818,110,1,1269,Como,
27820,196,4,3292,Conway,
27822,909,12,9119,Elm City,
27823,739,9,7812,Enfield,
27827,21,0,99,Falkland,
27828,805,8,9031,Farmville,
27829,179,1,1872,Fountain,
27830,320,6,4858,Fremont,
27831,322,5,3588,Garysburg,
27832,321,7,2912,Gaston,
27834,5795,31,57505,Greenville,
27837,604,3,6506,Grimesland,
27839,254,4,3702,Halifax,
27840,55,3,535,Hamilton,
27842,72,0,1436,Henrico,
27843,120,1,946,Hobgood,
27844,269,5,3039,Hollister,
27845,204,2,2841,Jackson,
27846,285,3,3069,Jamesville,
27847,54,0,1071,Kelford,
27849,102,2,1483,Lewiston Woodville,
27850,438,6,7413,Littleton,
27851,501,5,5595,Lucama,
27852,234,3,3454,Macclesfield,
27853,31,1,436,Margarettsville,
27855,444,6,6105,Murfreesboro,
27856,2272,30,17301,Nashville,
27857,121,5,1601,Oak City,
27858,5728,18,58170,Greenville,
27860,168,2,2062,Pantego,
27862,44,0,945,Pendleton,
27863,963,18,12670,Pikeville,
27864,511,6,4823,Pinetops,
27865,209,5,2003,Pinetown,
27866,72,1,672,Pleasant Hill,
27869,271,14,2167,Rich Square,
27870,2817,59,26633,Roanoke Rapids,
27871,370,5,4466,Robersonville,
27874,375,9,4766,Scotland Neck,
27876,113,2,1290,Seaboard,
27880,386,0,3280,Sims,
27882,853,9,7927,Spring Hope,
27883,326,3,4361,Stantonsburg,
27884,167,1,1545,Stokes,
27885,302,4,859,Swanquarter,
27886,2086,70,21595,Tarboro,
27888,245,0,2803,Walstonburg,
27889,2852,64,27543,Washington,
27890,242,14,2398,Weldon,
27891,474,7,5011,Whitakers,
27892,1376,22,14363,Williamston,
27893,4549,102,40647,Wilson,
27896,2266,33,21212,Wilson,
27897,121,1,2467,Woodland,
27909,3095,79,40958,Elizabeth City,
27910,1183,49,11609,Ahoskie,
27915,28,0,758,Avon,
27916,48,0,554,Aydlett,
27917,112,6,1084,Barco,
27922,74,4,1107,Cofield,
27924,267,3,3509,Colerain,
27925,306,6,4164,Columbia,
27926,88,1,1965,Corapeake,
27927,24,0,613,Corolla,
27928,134,4,1888,Creswell,
27929,110,1,1949,Currituck,
27932,1220,21,12644,Edenton,
27935,100,3,1674,Eure,
27937,233,1,4253,Gates,
27938,123,7,1430,Gatesville,
27942,53,1,936,Harrellsville,
27944,823,7,12230,Hertford,
27946,74,0,1089,Hobbsville,
27948,685,0,12518,Kill Devil Hills,
27949,368,2,7235,Kitty Hawk,
27950,57,0,2183,Knotts Island,
27957,100,6,1419,Merry Hill,
27958,681,6,12061,Moyock,
27959,183,1,2451,Nags Head,
27962,626,20,7439,Plymouth,
27966,48,0,1473,Powells Point,
27968,15,0,413,Rodanthe,
27970,263,7,3214,Roper,
27976,231,1,3561,South Mills,
27979,87,0,1813,Sunbury,
27982,,,0,Waves,Population <500 and Cases <5
27983,927,27,10633,Windsor,
27986,164,3,2650,Winton,
28001,3150,79,28360,Albemarle,
28006,118,1,1136,Alexis,
28012,2661,21,24276,Belmont,
28016,1462,24,14526,Bessemer City,
28018,542,19,5943,Bostic,
