ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,341,3,14872,Advance,
27007,68,0,2136,Ararat,
27009,68,0,2937,Belews Creek,
27011,203,2,5411,Boonville,
27012,893,17,28954,Clemmons,
27013,181,4,6495,Cleveland,
27014,22,0,957,Cooleemee,
27016,49,0,1682,Danbury,
27017,435,3,9499,Dobson,
27018,260,2,8221,East Bend,
27019,109,1,4234,Germanton,
27020,236,4,6104,Hamptonville,
27021,457,5,17979,King,
27022,31,0,1512,Lawsonville,
27023,370,2,12775,Lewisville,
27024,75,2,2683,Lowgap,
27025,514,3,11117,Madison,
27027,150,0,4017,Mayodan,
27028,898,10,28039,Mocksville,
27030,1436,23,37641,Mount Airy,
27040,343,1,13150,Pfafftown,
27041,199,4,8020,Pilot Mountain,
27042,31,1,720,Pine Hall,
27043,188,2,6442,Pinnacle,
27045,359,3,9583,Rural Hall,
27046,56,1,1953,Sandy Ridge,
27047,52,0,1279,Siloam,
27048,312,1,8902,Stoneville,
27050,116,1,4084,Tobaccoville,
27051,212,3,8287,Walkertown,
27052,262,7,10061,Walnut Cove,
27053,48,1,3156,Westfield,
27054,79,0,2608,Woodleaf,
27055,696,3,14521,Yadkinville,
27101,686,22,24321,Winston Salem,
27103,1141,17,36071,Winston Salem,
27104,992,15,29383,Winston Salem,
27105,1718,16,40186,Winston Salem,
27106,1663,13,51378,Winston Salem,
27107,2049,20,52432,Winston Salem,
27127,1423,13,38510,Winston Salem,
27157,15,0,5,Winston Salem,
27203,1160,25,21876,Asheboro,
27205,1386,18,34549,Asheboro,
27207,145,2,3806,Bear Creek,
27208,64,0,1691,Bennett,
27209,371,23,4151,Biscoe,
27212,223,0,1600,Blanch,
27214,342,1,11747,Browns Summit,
27215,1628,18,44892,Burlington,
27217,2370,52,39111,Burlington,
27229,268,7,4014,Candor,
27231,41,0,2048,Cedar Grove,
27233,77,1,3647,Climax,
27235,152,1,4575,Colfax,
27239,248,5,9629,Denton,
27242,72,0,2668,Eagle Springs,
