ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1239,7,14872,Advance,
27007,212,0,2136,Ararat,
27009,272,1,2937,Belews Creek,
27011,528,7,5411,Boonville,
27012,2686,49,28954,Clemmons,
27013,595,7,6495,Cleveland,
27014,74,1,957,Cooleemee,
27016,146,2,1682,Danbury,
27017,1054,11,9499,Dobson,
27018,687,5,8221,East Bend,
27019,316,1,4234,Germanton,
27020,661,5,6104,Hamptonville,
27021,1661,44,17979,King,
27022,88,2,1512,Lawsonville,
27023,962,3,12775,Lewisville,
27024,272,3,2683,Lowgap,
27025,976,8,11117,Madison,
27027,347,16,4017,Mayodan,
27028,2621,28,28039,Mocksville,
27030,4161,95,37641,Mount Airy,
27040,983,8,13150,Pfafftown,
27041,695,8,8020,Pilot Mountain,
27042,66,2,720,Pine Hall,
27043,489,6,6442,Pinnacle,
27045,981,8,9583,Rural Hall,
27046,148,1,1953,Sandy Ridge,
27047,105,0,1279,Siloam,
27048,659,6,8902,Stoneville,
27050,301,3,4084,Tobaccoville,
27051,674,5,8287,Walkertown,
27052,915,22,10061,Walnut Cove,
27053,185,2,3156,Westfield,
27054,289,4,2608,Woodleaf,
27055,1639,24,14521,Yadkinville,
27101,1751,32,24321,Winston Salem,
27103,2936,39,36071,Winston Salem,
27104,2457,32,29383,Winston Salem,
27105,3832,35,40186,Winston Salem,
27106,4198,50,51378,Winston Salem,
27107,4716,41,52432,Winston Salem,
27127,3762,24,38510,Winston Salem,
27157,45,0,5,Winston Salem,
27203,2748,51,21876,Asheboro,
27205,3664,47,34549,Asheboro,
27207,277,2,3806,Bear Creek,
27208,146,2,1691,Bennett,
27209,696,40,4151,Biscoe,
27212,379,1,1600,Blanch,
27214,993,7,11747,Browns Summit,
27215,4356,70,44892,Burlington,
27217,5007,101,39111,Burlington,
27229,541,17,4014,Candor,
27231,121,0,2048,Cedar Grove,
27233,285,4,3647,Climax,
27235,417,11,4575,Colfax,
27239,823,13,9629,Denton,
27242,180,3,2668,Eagle Springs,
27243,284,2,4665,Efland,
27244,1936,22,16259,Elon,
27248,381,5,4835,Franklinville,
27249,1077,7,13355,Gibsonville,
27252,112,2,2264,Goldston,
27253,3409,45,31464,Graham,
27258,656,8,7740,Haw River,
27260,2110,40,25696,High Point,
27262,2035,60,24764,High Point,
27263,2078,35,22320,High Point,
27265,4241,52,50038,High Point,
27268,307,0,1695,High Point,
27278,1673,19,27181,Hillsborough,
27281,254,0,3710,Jackson Springs,
27282,1378,22,16597,Jamestown,
27283,241,3,2982,Julian,
27284,4955,67,56201,Kernersville,
27288,1775,27,23585,Eden,
27291,127,0,1538,Leasburg,
27292,3634,34,41465,Lexington,
27295,3784,49,39191,Lexington,
27298,804,9,10440,Liberty,
27299,545,4,5254,Linwood,
27301,1016,17,10019,Mc Leansville,
27302,2476,15,32302,Mebane,
27305,154,1,1585,Milton,
27306,675,16,5945,Mount Gilead,
27310,622,3,8562,Oak Ridge,
27311,257,1,3220,Pelham,
27312,948,25,22205,Pittsboro,
27313,511,21,7288,Pleasant Garden,
27314,62,1,1138,Prospect Hill,
27315,118,0,2140,Providence,
27316,701,15,7156,Ramseur,
27317,1784,23,17851,Randleman,
27320,2986,33,38894,Reidsville,
27325,733,5,7676,Robbins,
27326,282,2,3692,Ruffin,
27330,3794,50,39529,Sanford,
27332,2747,26,33549,Sanford,
27341,489,3,5820,Seagrove,
27343,128,0,1840,Semora,
27344,1867,35,19290,Siler City,
27349,500,5,5850,Snow Camp,
27350,605,8,7508,Sophia,
27355,219,2,3196,Staley,
27356,333,8,3513,Star,
27357,867,17,8325,Stokesdale,
27358,1011,6,15960,Summerfield,
27360,4766,60,48331,Thomasville,
27370,1515,29,14622,Trinity,
27371,853,12,7778,Troy,
27376,786,14,9884,West End,
27377,863,7,9597,Whitsett,
27379,566,20,6057,Yanceyville,
27401,1839,25,20221,Greensboro,
27403,1415,17,21278,Greensboro,
27405,4442,45,52510,Greensboro,
27406,5128,105,60755,Greensboro,
27407,4253,62,49837,Greensboro,
27408,1216,6,17406,Greensboro,
27409,1396,14,17953,Greensboro,
27410,3909,45,56968,Greensboro,
27455,2327,64,29197,Greensboro,
27501,1810,17,21338,Angier,
27502,2415,9,43747,Apex,
27503,181,0,7222,Bahama,
27504,1862,20,16320,Benson,
27505,570,7,7308,Broadway,
27507,158,2,2053,Bullock,
27508,294,1,2340,Bunn,
27509,1660,37,6935,Butner,
27510,819,8,14543,Carrboro,
27511,2043,24,34041,Cary,
27513,2336,24,49003,Cary,
27514,1655,24,32847,Chapel Hill,
27516,2181,17,44117,Chapel Hill,
27517,1189,16,28831,Chapel Hill,
27518,1146,16,22765,Cary,
27519,2566,8,59960,Cary,
27520,4495,58,43958,Clayton,
27521,688,9,7149,Coats,
27522,1103,6,13652,Creedmoor,
27523,737,1,12782,Apex,
27524,1400,15,13532,Four Oaks,
27525,1494,4,15534,Franklinton,
27526,3861,49,54027,Fuquay Varina,
27527,2544,8,30234,Clayton,
27529,4811,65,53854,Garner,
27530,3116,74,40212,Goldsboro,
27531,11,0,666,Goldsboro,
27534,2697,71,31819,Goldsboro,
27536,1854,46,16459,Henderson,
27537,2510,36,25321,Henderson,
27539,1460,6,26567,Apex,
27540,2616,7,39075,Holly Springs,
27541,301,1,4044,Hurdle Mills,
27542,856,13,10043,Kenly,
27544,406,4,4291,Kittrell,
27545,3112,38,30327,Knightdale,
27546,2145,74,22436,Lillington,
