ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,56,3,14872,Advance,
27007,16,0,2136,Ararat,
27009,7,0,2937,Belews Creek,
27011,42,0,5411,Boonville,
27012,203,0,28954,Clemmons,
27013,47,2,6495,Cleveland,
27014,2,0,957,Cooleemee,
27016,4,0,1682,Danbury,
27017,146,0,9499,Dobson,
27018,80,2,8221,East Bend,
27019,23,0,4234,Germanton,
27020,74,2,6104,Hamptonville,
27021,89,1,17979,King,
27022,3,0,1512,Lawsonville,
27023,94,1,12775,Lewisville,
27024,10,0,2683,Lowgap,
27025,29,0,11117,Madison,
27027,9,0,4017,Mayodan,
27028,218,0,28039,Mocksville,
27030,313,3,37641,Mount Airy,
27040,57,0,13150,Pfafftown,
27041,43,0,8020,Pilot Mountain,
27042,5,0,720,Pine Hall,
27043,42,0,6442,Pinnacle,
27045,90,1,9583,Rural Hall,
27046,2,0,1953,Sandy Ridge,
27047,6,0,1279,Siloam,
27048,32,0,8902,Stoneville,
27050,20,0,4084,Tobaccoville,
27051,55,0,8287,Walkertown,
27052,46,0,10061,Walnut Cove,
27053,9,0,3156,Westfield,
27054,30,0,2608,Woodleaf,
27055,184,2,14521,Yadkinville,
27101,166,0,24321,Winston Salem,
27103,344,9,36071,Winston Salem,
27104,290,4,29383,Winston Salem,
27105,728,5,40186,Winston Salem,
27106,503,4,51378,Winston Salem,
27107,832,7,52432,Winston Salem,
27127,545,5,38510,Winston Salem,
27157,9,0,5,Winston Salem,
27203,514,15,21876,Asheboro,
27205,446,4,34549,Asheboro,
27207,52,1,3806,Bear Creek,
27208,17,0,1691,Bennett,
27209,135,6,4151,Biscoe,
27212,47,0,1600,Blanch,
27214,71,1,11747,Browns Summit,
27215,348,4,44892,Burlington,
27217,734,34,39111,Burlington,
27229,97,0,4014,Candor,
27231,5,0,2048,Cedar Grove,
27233,10,0,3647,Climax,
27235,21,0,4575,Colfax,
27239,44,2,9629,Denton,
27242,14,0,2668,Eagle Springs,
27243,39,1,4665,Efland,
27244,48,0,16259,Elon,
27248,33,1,4835,Franklinville,
27249,67,0,13355,Gibsonville,
27252,10,1,2264,Goldston,
27253,284,1,31464,Graham,
27258,58,0,7740,Haw River,
27260,314,11,25696,High Point,
27262,217,5,24764,High Point,
27263,170,1,22320,High Point,
27265,325,20,50038,High Point,
27268,1,0,1695,High Point,
27278,186,0,27181,Hillsborough,
27281,27,0,3710,Jackson Springs,
27282,69,2,16597,Jamestown,
27283,17,0,2982,Julian,
27284,369,4,56201,Kernersville,
27288,103,0,23585,Eden,
27291,1,0,1538,Leasburg,
27292,412,4,41465,Lexington,
27295,330,11,39191,Lexington,
27298,86,0,10440,Liberty,
27299,39,0,5254,Linwood,
27301,56,2,10019,Mc Leansville,
27302,236,0,32302,Mebane,
27305,25,1,1585,Milton,
27306,53,2,5945,Mount Gilead,
27310,30,1,8562,Oak Ridge,
27311,8,0,3220,Pelham,
27312,140,19,22205,Pittsboro,
27313,92,16,7288,Pleasant Garden,
27314,5,0,1138,Prospect Hill,
27315,5,0,2140,Providence,
27316,144,10,7156,Ramseur,
27317,169,3,17851,Randleman,
27320,146,3,38894,Reidsville,
27325,105,0,7676,Robbins,
27326,22,1,3692,Ruffin,
27330,646,7,39529,Sanford,
27332,392,3,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
27341,38,0,5820,Seagrove,
27343,4,0,1840,Semora,
27344,720,21,19290,Siler City,
27349,19,0,5850,Snow Camp,
27350,34,0,7508,Sophia,
27355,34,0,3196,Staley,
27356,43,1,3513,Star,
27357,53,1,8325,Stokesdale,
27358,111,1,15960,Summerfield,
27360,401,0,48331,Thomasville,
27370,89,0,14622,Trinity,
27371,107,1,7778,Troy,
27376,81,1,9884,West End,
27377,62,0,9597,Whitsett,
27379,30,0,6057,Yanceyville,
27401,172,3,20221,Greensboro,
27403,94,5,21278,Greensboro,
27405,601,10,52510,Greensboro,
27406,472,33,60755,Greensboro,
27407,473,9,49837,Greensboro,
27408,96,0,17406,Greensboro,
27409,131,2,17953,Greensboro,
27410,234,3,56968,Greensboro,
27411,0,0,847,Greensboro,
27412,0,0,1886,Greensboro,
27455,152,6,29197,Greensboro,
27498,,,13,Greensboro,Population <500 and Cases <5
27501,179,1,21338,Angier,
27502,211,3,43747,Apex,
27503,24,0,7222,Bahama,
27504,174,1,16320,Benson,
27505,92,3,7308,Broadway,
27507,11,1,2053,Bullock,
27508,11,0,2340,Bunn,
27509,563,26,6935,Butner,
27510,134,2,14543,Carrboro,
27511,228,3,34041,Cary,
27513,195,1,49003,Cary,
27514,209,17,32847,Chapel Hill,
27516,239,5,44117,Chapel Hill,
27517,177,0,28831,Chapel Hill,
27518,88,0,22765,Cary,
27519,213,2,59960,Cary,
27520,530,24,43958,Clayton,
27521,46,0,7149,Coats,
27522,154,0,13652,Creedmoor,
27523,58,0,12782,Apex,
27524,190,1,13532,Four Oaks,
27525,106,0,15534,Franklinton,
27526,257,6,54027,Fuquay Varina,
27527,190,0,30234,Clayton,
