ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,551,3,14872,Advance,
27007,97,0,2136,Ararat,
27009,105,1,2937,Belews Creek,
27011,266,4,5411,Boonville,
27012,1379,21,28954,Clemmons,
27013,255,5,6495,Cleveland,
27014,33,0,957,Cooleemee,
27016,78,0,1682,Danbury,
27017,577,4,9499,Dobson,
27018,390,3,8221,East Bend,
27019,145,1,4234,Germanton,
27020,341,4,6104,Hamptonville,
27021,693,9,17979,King,
27022,46,1,1512,Lawsonville,
27023,537,2,12775,Lewisville,
27024,125,3,2683,Lowgap,
27025,641,3,11117,Madison,
27027,222,0,4017,Mayodan,
27028,1244,10,28039,Mocksville,
27030,2035,31,37641,Mount Airy,
27040,506,2,13150,Pfafftown,
27041,304,4,8020,Pilot Mountain,
27042,46,1,720,Pine Hall,
27043,268,3,6442,Pinnacle,
27045,499,4,9583,Rural Hall,
27046,81,1,1953,Sandy Ridge,
27047,58,0,1279,Siloam,
27048,424,2,8902,Stoneville,
27050,158,1,4084,Tobaccoville,
27051,333,3,8287,Walkertown,
27052,394,8,10061,Walnut Cove,
27053,71,1,3156,Westfield,
27054,115,1,2608,Woodleaf,
27055,967,10,14521,Yadkinville,
27101,940,27,24321,Winston Salem,
27103,1618,20,36071,Winston Salem,
27104,1321,19,29383,Winston Salem,
27105,2325,18,40186,Winston Salem,
27106,2232,21,51378,Winston Salem,
27107,2737,22,52432,Winston Salem,
27127,2037,16,38510,Winston Salem,
27157,17,0,5,Winston Salem,
27203,1501,25,21876,Asheboro,
27205,1797,22,34549,Asheboro,
27207,160,2,3806,Bear Creek,
27208,74,0,1691,Bennett,
27209,435,24,4151,Biscoe,
27212,257,0,1600,Blanch,
27214,456,1,11747,Browns Summit,
27215,2249,22,44892,Burlington,
27217,2964,57,39111,Burlington,
27229,309,8,4014,Candor,
27231,58,0,2048,Cedar Grove,
27233,103,2,3647,Climax,
27235,199,1,4575,Colfax,
27239,340,5,9629,Denton,
27242,81,0,2668,Eagle Springs,
27243,150,1,4665,Efland,
27244,994,7,16259,Elon,
27248,196,3,4835,Franklinville,
27249,532,3,13355,Gibsonville,
27252,40,1,2264,Goldston,
27253,1824,25,31464,Graham,
27258,328,3,7740,Haw River,
27260,1135,21,25696,High Point,
27262,1036,13,24764,High Point,
27263,1105,19,22320,High Point,
27265,1910,30,50038,High Point,
27268,228,0,1695,High Point,
27278,843,3,27181,Hillsborough,
27281,134,0,3710,Jackson Springs,
27282,638,7,16597,Jamestown,
27283,130,1,2982,Julian,
27284,2480,37,56201,Kernersville,
27288,1049,8,23585,Eden,
27291,57,0,1538,Leasburg,
27292,1810,14,41465,Lexington,
27295,1806,26,39191,Lexington,
27298,385,1,10440,Liberty,
27299,266,0,5254,Linwood,
27301,469,3,10019,Mc Leansville,
27302,1215,1,32302,Mebane,
27305,67,1,1585,Milton,
27306,360,8,5945,Mount Gilead,
27310,302,2,8562,Oak Ridge,
27311,115,0,3220,Pelham,
27312,491,23,22205,Pittsboro,
27313,259,18,7288,Pleasant Garden,
27314,25,1,1138,Prospect Hill,
27315,52,0,2140,Providence,
27316,416,13,7156,Ramseur,
27317,815,9,17851,Randleman,
27320,1452,11,38894,Reidsville,
27325,426,2,7676,Robbins,
27326,144,2,3692,Ruffin,
27330,2020,24,39529,Sanford,
27332,1500,15,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
