ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1678,11,14872,Advance,
27007,264,1,2136,Ararat,
27009,370,4,2937,Belews Creek,
27011,698,7,5411,Boonville,
27012,3515,54,28954,Clemmons,
27013,896,11,6495,Cleveland,
27014,135,4,957,Cooleemee,
27016,199,3,1682,Danbury,
27017,1414,18,9499,Dobson,
27018,908,7,8221,East Bend,
27019,431,1,4234,Germanton,
27020,906,8,6104,Hamptonville,
27021,2237,48,17979,King,
27022,119,2,1512,Lawsonville,
27023,1293,5,12775,Lewisville,
27024,370,3,2683,Lowgap,
27025,1217,31,11117,Madison,
27027,405,19,4017,Mayodan,
27028,3514,38,28039,Mocksville,
27030,5323,114,37641,Mount Airy,
27040,1302,11,13150,Pfafftown,
27041,922,8,8020,Pilot Mountain,
27042,83,2,720,Pine Hall,
27043,683,7,6442,Pinnacle,
27045,1252,9,9583,Rural Hall,
27046,183,1,1953,Sandy Ridge,
27047,147,2,1279,Siloam,
27048,884,12,8902,Stoneville,
27050,446,5,4084,Tobaccoville,
27051,919,8,8287,Walkertown,
27052,1211,24,10061,Walnut Cove,
27053,266,2,3156,Westfield,
27054,411,5,2608,Woodleaf,
27055,2094,29,14521,Yadkinville,
27101,2290,44,24321,Winston Salem,
27103,3838,45,36071,Winston Salem,
27104,3053,41,29383,Winston Salem,
27105,5084,47,40186,Winston Salem,
27106,5216,61,51378,Winston Salem,
27107,6294,56,52432,Winston Salem,
27127,4890,29,38510,Winston Salem,
27157,49,0,5,Winston Salem,
27203,3199,60,21876,Asheboro,
27205,4539,53,34549,Asheboro,
27207,406,2,3806,Bear Creek,
27208,208,2,1691,Bennett,
27209,804,42,4151,Biscoe,
27212,405,1,1600,Blanch,
27214,1342,14,11747,Browns Summit,
27215,5593,79,44892,Burlington,
27217,6131,108,39111,Burlington,
27229,646,18,4014,Candor,
27231,143,0,2048,Cedar Grove,
27233,387,4,3647,Climax,
27235,532,13,4575,Colfax,
27239,1190,17,9629,Denton,
27242,265,5,2668,Eagle Springs,
27243,368,2,4665,Efland,
27244,2558,27,16259,Elon,
27248,528,6,4835,Franklinville,
27249,1463,13,13355,Gibsonville,
27252,166,2,2264,Goldston,
27253,4433,56,31464,Graham,
27258,855,8,7740,Haw River,
27260,2735,46,25696,High Point,
27262,2580,65,24764,High Point,
27263,2587,42,22320,High Point,
27265,5470,60,50038,High Point,
27268,326,0,1695,High Point,
27278,2092,19,27181,Hillsborough,
27281,334,3,3710,Jackson Springs,
27282,1716,26,16597,Jamestown,
27283,325,5,2982,Julian,
27284,6515,84,56201,Kernersville,
27288,2570,64,23585,Eden,
27291,159,0,1538,Leasburg,
27292,5251,44,41465,Lexington,
27295,5347,64,39191,Lexington,
27298,1126,12,10440,Liberty,
27299,808,6,5254,Linwood,
27301,1321,21,10019,Mc Leansville,
27302,3421,23,32302,Mebane,
27305,185,1,1585,Milton,
27306,894,20,5945,Mount Gilead,
27310,778,4,8562,Oak Ridge,
27311,356,1,3220,Pelham,
27312,1282,26,22205,Pittsboro,
27313,684,24,7288,Pleasant Garden,
27314,86,1,1138,Prospect Hill,
27315,160,0,2140,Providence,
