ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1869,15,14872,Advance,
27007,295,2,2136,Ararat,
27009,407,5,2937,Belews Creek,
27011,797,7,5411,Boonville,
27012,3833,59,28954,Clemmons,
27013,996,12,6495,Cleveland,
27014,159,5,957,Cooleemee,
27016,264,4,1682,Danbury,
27017,1577,21,9499,Dobson,
27018,1018,10,8221,East Bend,
27019,493,2,4234,Germanton,
27020,1006,11,6104,Hamptonville,
27021,2440,53,17979,King,
27022,147,3,1512,Lawsonville,
27023,1424,6,12775,Lewisville,
27024,415,4,2683,Lowgap,
27025,1377,32,11117,Madison,
27027,461,19,4017,Mayodan,
27028,4045,45,28039,Mocksville,
27030,6016,132,37641,Mount Airy,
27040,1432,13,13150,Pfafftown,
27041,1112,9,8020,Pilot Mountain,
27042,90,2,720,Pine Hall,
27043,797,9,6442,Pinnacle,
27045,1375,12,9583,Rural Hall,
27046,219,2,1953,Sandy Ridge,
27047,164,2,1279,Siloam,
27048,1002,12,8902,Stoneville,
27050,498,6,4084,Tobaccoville,
27051,1056,9,8287,Walkertown,
27052,1343,28,10061,Walnut Cove,
27053,317,4,3156,Westfield,
27054,456,5,2608,Woodleaf,
27055,2296,32,14521,Yadkinville,
27101,2517,48,24321,Winston Salem,
27103,4212,48,36071,Winston Salem,
27104,3307,42,29383,Winston Salem,
27105,5632,54,40186,Winston Salem,
27106,5723,65,51378,Winston Salem,
27107,7019,63,52432,Winston Salem,
27127,5361,29,38510,Winston Salem,
27157,51,0,5,Winston Salem,
27203,3518,60,21876,Asheboro,
27205,5040,56,34549,Asheboro,
27207,450,2,3806,Bear Creek,
27208,233,3,1691,Bennett,
27209,870,42,4151,Biscoe,
27212,416,1,1600,Blanch,
27214,1486,16,11747,Browns Summit,
27215,6279,79,44892,Burlington,
27217,6780,108,39111,Burlington,
27229,688,18,4014,Candor,
27231,156,1,2048,Cedar Grove,
27233,451,4,3647,Climax,
27235,579,13,4575,Colfax,
27239,1324,20,9629,Denton,
27242,285,5,2668,Eagle Springs,
27243,417,4,4665,Efland,
27244,2850,27,16259,Elon,
27248,620,6,4835,Franklinville,
27249,1708,19,13355,Gibsonville,
27252,183,2,2264,Goldston,
27253,4916,58,31464,Graham,
27258,961,8,7740,Haw River,
27260,3112,49,25696,High Point,
27262,2884,67,24764,High Point,
27263,2950,47,22320,High Point,
27265,6036,67,50038,High Point,
27268,337,0,1695,High Point,
27278,2278,23,27181,Hillsborough,
27281,370,4,3710,Jackson Springs,
27282,1876,27,16597,Jamestown,
27283,400,5,2982,Julian,
27284,7324,99,56201,Kernersville,
27288,2876,64,23585,Eden,
27291,174,1,1538,Leasburg,
27292,5920,58,41465,Lexington,
27295,6027,76,39191,Lexington,
27298,1316,13,10440,Liberty,
27299,941,10,5254,Linwood,
27301,1473,22,10019,Mc Leansville,
27302,3813,25,32302,Mebane,
27305,205,1,1585,Milton,
27306,978,21,5945,Mount Gilead,
27310,868,4,8562,Oak Ridge,
27311,429,4,3220,Pelham,
27312,1400,26,22205,Pittsboro,
27313,805,26,7288,Pleasant Garden,
27314,109,1,1138,Prospect Hill,
27315,196,1,2140,Providence,
27316,979,17,7156,Ramseur,
27317,2614,34,17851,Randleman,
27320,4808,59,38894,Reidsville,
27325,1073,13,7676,Robbins,
27326,485,2,3692,Ruffin,
27330,5881,65,39529,Sanford,
27332,4441,36,33549,Sanford,
27341,708,4,5820,Seagrove,
27343,166,0,1840,Semora,
27344,2608,37,19290,Siler City,
27349,815,6,5850,Snow Camp,
27350,920,11,7508,Sophia,
