ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,36,3,14872,Advance,
27007,12,0,2136,Ararat,
27009,5,0,2937,Belews Creek,
27011,32,0,5411,Boonville,
27012,129,0,28954,Clemmons,
27013,27,1,6495,Cleveland,
27014,3,0,957,Cooleemee,
27016,4,0,1682,Danbury,
27017,108,0,9499,Dobson,
27018,70,1,8221,East Bend,
27019,19,0,4234,Germanton,
27020,55,2,6104,Hamptonville,
27021,53,1,17979,King,
27022,1,0,1512,Lawsonville,
27023,56,1,12775,Lewisville,
27024,9,0,2683,Lowgap,
27025,22,0,11117,Madison,
27027,4,0,4017,Mayodan,
27028,166,0,28039,Mocksville,
27030,241,2,37641,Mount Airy,
27040,28,0,13150,Pfafftown,
27041,12,0,8020,Pilot Mountain,
27042,3,0,720,Pine Hall,
27043,22,0,6442,Pinnacle,
27045,66,1,9583,Rural Hall,
27046,2,0,1953,Sandy Ridge,
27047,4,0,1279,Siloam,
27048,20,0,8902,Stoneville,
27050,9,0,4084,Tobaccoville,
27051,41,0,8287,Walkertown,
27052,40,0,10061,Walnut Cove,
27053,5,0,3156,Westfield,
27054,13,0,2608,Woodleaf,
27055,153,1,14521,Yadkinville,
27101,130,0,24321,Winston Salem,
27103,266,8,36071,Winston Salem,
27104,214,4,29383,Winston Salem,
27105,575,4,40186,Winston Salem,
27106,394,3,51378,Winston Salem,
27107,658,7,52432,Winston Salem,
27127,404,5,38510,Winston Salem,
27157,,,5,Winston Salem,Population <500 and Cases <5
27203,390,14,21876,Asheboro,
27205,298,2,34549,Asheboro,
27207,41,1,3806,Bear Creek,
27208,13,0,1691,Bennett,
27209,98,4,4151,Biscoe,
27212,47,0,1600,Blanch,
27214,44,1,11747,Browns Summit,
27215,245,3,44892,Burlington,
27217,532,33,39111,Burlington,
27229,68,0,4014,Candor,
27231,4,0,2048,Cedar Grove,
27233,8,0,3647,Climax,
27235,12,0,4575,Colfax,
27239,29,0,9629,Denton,
27242,9,0,2668,Eagle Springs,
27243,27,1,4665,Efland,
27244,30,0,16259,Elon,
27248,29,1,4835,Franklinville,
27249,51,0,13355,Gibsonville,
27252,8,1,2264,Goldston,
27253,186,1,31464,Graham,
27258,34,0,7740,Haw River,
27260,247,7,25696,High Point,
27262,167,4,24764,High Point,
27263,109,1,22320,High Point,
27265,240,19,50038,High Point,
27268,1,0,1695,High Point,
27278,131,0,27181,Hillsborough,
27281,21,0,3710,Jackson Springs,
27282,44,1,16597,Jamestown,
27283,10,0,2982,Julian,
27284,246,4,56201,Kernersville,
27288,80,0,23585,Eden,
27291,1,0,1538,Leasburg,
27292,292,5,41465,Lexington,
27295,235,10,39191,Lexington,
27298,67,0,10440,Liberty,
27299,28,0,5254,Linwood,
27301,38,2,10019,Mc Leansville,
27302,160,0,32302,Mebane,
27305,20,1,1585,Milton,
27306,37,2,5945,Mount Gilead,
27310,23,1,8562,Oak Ridge,
27311,4,0,3220,Pelham,
27312,126,18,22205,Pittsboro,
27313,76,16,7288,Pleasant Garden,
27314,4,0,1138,Prospect Hill,
27315,2,0,2140,Providence,
27316,119,9,7156,Ramseur,
27317,109,3,17851,Randleman,
27320,93,2,38894,Reidsville,
27325,81,0,7676,Robbins,
27326,17,0,3692,Ruffin,
27330,546,7,39529,Sanford,
27332,328,3,33549,Sanford,
27341,28,0,5820,Seagrove,
27343,4,0,1840,Semora,
27344,662,19,19290,Siler City,
27349,11,0,5850,Snow Camp,
27350,17,0,7508,Sophia,
27355,29,0,3196,Staley,
27356,33,1,3513,Star,
27357,38,1,8325,Stokesdale,
27358,74,1,15960,Summerfield,
27360,287,0,48331,Thomasville,
27370,57,0,14622,Trinity,
27371,78,0,7778,Troy,
27376,40,1,9884,West End,
27377,51,0,9597,Whitsett,
27379,19,0,6057,Yanceyville,
27401,113,3,20221,Greensboro,
27403,63,5,21278,Greensboro,
27405,489,9,52510,Greensboro,
27406,314,30,60755,Greensboro,
27407,322,8,49837,Greensboro,
27408,53,0,17406,Greensboro,
27409,71,2,17953,Greensboro,
27410,151,3,56968,Greensboro,
27455,89,3,29197,Greensboro,
27501,105,1,21338,Angier,
27502,153,1,43747,Apex,
27503,21,0,7222,Bahama,
27504,125,1,16320,Benson,
27505,76,2,7308,Broadway,
27507,11,0,2053,Bullock,
27508,5,0,2340,Bunn,
27509,467,23,6935,Butner,
27510,73,2,14543,Carrboro,
27511,142,2,34041,Cary,
27513,144,1,49003,Cary,
27514,144,16,32847,Chapel Hill,
27516,125,3,44117,Chapel Hill,
27517,110,0,28831,Chapel Hill,
27518,54,0,22765,Cary,
27519,137,2,59960,Cary,
27520,361,21,43958,Clayton,
27521,32,0,7149,Coats,
27522,116,0,13652,Creedmoor,
27523,36,0,12782,Apex,
27524,137,0,13532,Four Oaks,
27525,63,0,15534,Franklinton,
27526,129,0,54027,Fuquay Varina,
27527,121,0,30234,Clayton,
27529,348,4,53854,Garner,
27530,292,6,40212,Goldsboro,
27531,2,0,666,Goldsboro,
27534,267,2,31819,Goldsboro,
27536,279,30,16459,Henderson,
27537,210,5,25321,Henderson,
27539,72,1,26567,Apex,
27540,88,1,39075,Holly Springs,
27541,4,0,4044,Hurdle Mills,
27542,49,3,10043,Kenly,
27544,16,0,4291,Kittrell,
27545,290,15,30327,Knightdale,
27546,142,21,22436,Lillington,
27549,193,21,25224,Louisburg,
27551,11,1,2205,Macon,
27553,11,0,2030,Manson,
27556,5,0,298,Middleburg,
27557,53,0,9214,Middlesex,
27559,9,0,2874,Moncure,
27560,96,1,33691,Morrisville,
27562,12,0,2791,New Hill,
27563,55,1,5312,Norlina,
27565,198,2,26057,Oxford,
27569,75,0,8984,Princeton,
27571,14,0,7385,Rolesville,
27572,17,0,7316,Rougemont,
27573,50,1,11561,Roxboro,
27574,34,0,15232,Roxboro,
27576,242,3,20197,Selma,
27577,282,1,25214,Smithfield,
27581,18,0,3956,Stem,
27583,19,0,7012,Timberlake,
27587,256,6,74087,Wake Forest,
27589,63,3,8312,Warrenton,
27591,170,0,23448,Wendell,
27592,79,1,17368,Willow Spring,
27596,68,0,18655,Youngsville,
27597,166,1,25494,Zebulon,
27601,55,0,12139,Raleigh,
27603,333,0,55479,Raleigh,
27604,498,2,47645,Raleigh,
27605,22,1,5253,Raleigh,
27606,206,2,47938,Raleigh,
27607,70,0,30296,Raleigh,
27608,24,1,11603,Raleigh,
27609,241,3,38631,Raleigh,
27610,891,10,74203,Raleigh,
27612,133,2,39208,Raleigh,
27613,119,0,46521,Raleigh,
27614,83,0,37689,Raleigh,
27615,173,0,46038,Raleigh,
27616,427,2,55260,Raleigh,
27617,76,0,19511,Raleigh,
27701,353,3,26489,Durham,
27703,801,4,61351,Durham,
27704,799,12,39369,Durham,
27705,686,32,48078,Durham,
27707,534,2,47036,Durham,
27708,1,0,4635,Durham,
27709,10,0,4,Durham,
27710,,,0,Durham,Population <500 and Cases <5
27712,191,18,22055,Durham,
27713,309,4,53996,Durham,
27801,79,3,21556,Rocky Mount,
27803,68,3,22337,Rocky Mount,
27804,153,0,29160,Rocky Mount,
27805,15,0,3769,Aulander,
27806,3,0,2441,Aurora,
27807,74,0,6940,Bailey,
27808,9,0,2481,Bath,
27809,37,1,5254,Battleboro,
