ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,116,3,14872,Advance,
27007,31,0,2136,Ararat,
27009,13,0,2937,Belews Creek,
27011,75,0,5411,Boonville,
27012,413,11,28954,Clemmons,
27013,92,3,6495,Cleveland,
27014,7,0,957,Cooleemee,
27016,20,0,1682,Danbury,
27017,203,1,9499,Dobson,
27018,116,2,8221,East Bend,
27019,38,0,4234,Germanton,
27020,137,2,6104,Hamptonville,
27021,156,1,17979,King,
27022,13,0,1512,Lawsonville,
27023,155,1,12775,Lewisville,
27024,26,1,2683,Lowgap,
27025,248,2,11117,Madison,
27027,48,0,4017,Mayodan,
27028,414,3,28039,Mocksville,
27030,629,11,37641,Mount Airy,
27040,127,1,13150,Pfafftown,
27041,83,0,8020,Pilot Mountain,
27042,12,1,720,Pine Hall,
27043,85,1,6442,Pinnacle,
27045,169,3,9583,Rural Hall,
27046,16,0,1953,Sandy Ridge,
27047,9,0,1279,Siloam,
27048,89,0,8902,Stoneville,
27050,35,0,4084,Tobaccoville,
27051,104,1,8287,Walkertown,
27052,92,0,10061,Walnut Cove,
27053,21,0,3156,Westfield,
27054,43,0,2608,Woodleaf,
27055,309,2,14521,Yadkinville,
27101,310,11,24321,Winston Salem,
27103,607,14,36071,Winston Salem,
27104,438,11,29383,Winston Salem,
27105,1049,9,40186,Winston Salem,
27106,842,7,51378,Winston Salem,
27107,1194,14,52432,Winston Salem,
27127,801,6,38510,Winston Salem,
27157,10,0,5,Winston Salem,
27203,737,19,21876,Asheboro,
27205,645,10,34549,Asheboro,
27207,87,1,3806,Bear Creek,
27208,38,0,1691,Bennett,
27209,321,17,4151,Biscoe,
27212,77,0,1600,Blanch,
27214,128,1,11747,Browns Summit,
27215,790,8,44892,Burlington,
27217,1416,37,39111,Burlington,
27229,214,3,4014,Candor,
27231,17,0,2048,Cedar Grove,
27233,19,0,3647,Climax,
27235,59,0,4575,Colfax,
27239,103,3,9629,Denton,
27242,41,0,2668,Eagle Springs,
27243,65,1,4665,Efland,
27244,194,2,16259,Elon,
27248,61,2,4835,Franklinville,
27249,152,2,13355,Gibsonville,
27252,12,1,2264,Goldston,
27253,869,4,31464,Graham,
27258,158,2,7740,Haw River,
