ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1253,7,14872,Advance,
27007,213,0,2136,Ararat,
27009,279,1,2937,Belews Creek,
27011,539,7,5411,Boonville,
27012,2714,49,28954,Clemmons,
27013,605,7,6495,Cleveland,
27014,76,1,957,Cooleemee,
27016,147,2,1682,Danbury,
27017,1059,12,9499,Dobson,
27018,687,5,8221,East Bend,
27019,324,1,4234,Germanton,
27020,664,5,6104,Hamptonville,
27021,1685,44,17979,King,
27022,92,2,1512,Lawsonville,
27023,980,3,12775,Lewisville,
27024,274,3,2683,Lowgap,
27025,979,15,11117,Madison,
27027,348,18,4017,Mayodan,
27028,2664,28,28039,Mocksville,
27030,4217,96,37641,Mount Airy,
27040,992,9,13150,Pfafftown,
27041,700,8,8020,Pilot Mountain,
27042,66,2,720,Pine Hall,
27043,496,6,6442,Pinnacle,
27045,997,8,9583,Rural Hall,
27046,148,1,1953,Sandy Ridge,
27047,108,0,1279,Siloam,
27048,668,6,8902,Stoneville,
27050,306,3,4084,Tobaccoville,
27051,684,5,8287,Walkertown,
27052,937,23,10061,Walnut Cove,
27053,187,2,3156,Westfield,
27054,298,4,2608,Woodleaf,
27055,1669,24,14521,Yadkinville,
27101,1771,32,24321,Winston Salem,
27103,2981,39,36071,Winston Salem,
27104,2492,32,29383,Winston Salem,
27105,3906,36,40186,Winston Salem,
27106,4252,52,51378,Winston Salem,
27107,4778,41,52432,Winston Salem,
27127,3821,24,38510,Winston Salem,
27157,48,0,5,Winston Salem,
27203,2767,51,21876,Asheboro,
27205,3688,47,34549,Asheboro,
27207,279,2,3806,Bear Creek,
27208,146,2,1691,Bennett,
27209,703,40,4151,Biscoe,
27212,381,1,1600,Blanch,
27214,1008,9,11747,Browns Summit,
27215,4415,70,44892,Burlington,
27217,5061,101,39111,Burlington,
27229,538,17,4014,Candor,
27231,122,0,2048,Cedar Grove,
27233,287,4,3647,Climax,
27235,421,11,4575,Colfax,
27239,838,13,9629,Denton,
27242,182,3,2668,Eagle Springs,
27243,293,2,4665,Efland,
27244,1956,23,16259,Elon,
27248,381,5,4835,Franklinville,
27249,1092,7,13355,Gibsonville,
27252,112,2,2264,Goldston,
27253,3474,45,31464,Graham,
27258,668,8,7740,Haw River,
27260,2147,41,25696,High Point,
27262,2085,60,24764,High Point,
27263,2102,34,22320,High Point,
27265,4332,55,50038,High Point,
27268,307,0,1695,High Point,
27278,1685,19,27181,Hillsborough,
27281,256,0,3710,Jackson Springs,
27282,1407,22,16597,Jamestown,
27283,243,3,2982,Julian,
27284,5028,67,56201,Kernersville,
27288,1789,28,23585,Eden,
27291,129,0,1538,Leasburg,
27292,3694,34,41465,Lexington,
27295,3833,49,39191,Lexington,
27298,830,9,10440,Liberty,
27299,556,4,5254,Linwood,
27301,1025,17,10019,Mc Leansville,
27302,2547,15,32302,Mebane,
27305,157,1,1585,Milton,
27306,681,16,5945,Mount Gilead,
27310,630,4,8562,Oak Ridge,
27311,258,1,3220,Pelham,
27312,959,25,22205,Pittsboro,
27313,517,21,7288,Pleasant Garden,
27314,66,1,1138,Prospect Hill,
27315,119,0,2140,Providence,
27316,706,15,7156,Ramseur,
27317,1797,23,17851,Randleman,
27320,3045,36,38894,Reidsville,
27325,737,5,7676,Robbins,
27326,304,2,3692,Ruffin,
27330,3862,50,39529,Sanford,
27332,2789,26,33549,Sanford,
27341,490,3,5820,Seagrove,
27343,130,0,1840,Semora,
27344,1879,35,19290,Siler City,
27349,507,5,5850,Snow Camp,
27350,609,8,7508,Sophia,
27355,220,2,3196,Staley,
27356,333,8,3513,Star,
27357,875,17,8325,Stokesdale,
27358,1028,6,15960,Summerfield,
27360,4866,60,48331,Thomasville,
27370,1534,29,14622,Trinity,
27371,861,12,7778,Troy,
27376,809,14,9884,West End,
27377,882,7,9597,Whitsett,
27379,569,20,6057,Yanceyville,
27401,1877,26,20221,Greensboro,
27403,1442,18,21278,Greensboro,
27405,4528,46,52510,Greensboro,
27406,5242,111,60755,Greensboro,
27407,4339,68,49837,Greensboro,
27408,1229,7,17406,Greensboro,
27409,1431,14,17953,Greensboro,
27410,3962,47,56968,Greensboro,
27455,2380,64,29197,Greensboro,
27501,1854,17,21338,Angier,
27502,2450,9,43747,Apex,
27503,182,0,7222,Bahama,
27504,1918,20,16320,Benson,
27505,581,8,7308,Broadway,
27507,162,2,2053,Bullock,
27508,299,1,2340,Bunn,
27509,1672,37,6935,Butner,
27510,826,8,14543,Carrboro,
27511,2068,26,34041,Cary,
27513,2369,24,49003,Cary,
27514,1679,24,32847,Chapel Hill,
27516,2199,17,44117,Chapel Hill,
27517,1198,16,28831,Chapel Hill,
27518,1161,16,22765,Cary,
27519,2614,9,59960,Cary,
27520,4562,58,43958,Clayton,
27521,700,9,7149,Coats,
27522,1129,6,13652,Creedmoor,
27523,755,1,12782,Apex,
27524,1443,16,13532,Four Oaks,
27525,1526,4,15534,Franklinton,
27526,3941,49,54027,Fuquay Varina,
27527,2599,8,30234,Clayton,
27529,4894,66,53854,Garner,
27530,3176,76,40212,Goldsboro,
27531,14,0,666,Goldsboro,
27534,2729,73,31819,Goldsboro,
27536,1875,47,16459,Henderson,
27537,2539,36,25321,Henderson,
27539,1485,6,26567,Apex,
27540,2646,7,39075,Holly Springs,
27541,303,1,4044,Hurdle Mills,
27542,866,13,10043,Kenly,
27544,411,4,4291,Kittrell,
27545,3177,38,30327,Knightdale,
27546,2169,74,22436,Lillington,
27549,2333,34,25224,Louisburg,
27551,122,3,2205,Macon,
27553,486,0,2030,Manson,
27556,21,0,298,Middleburg,
27557,793,4,9214,Middlesex,
27559,133,1,2874,Moncure,
27560,1843,12,33691,Morrisville,
27562,247,0,2791,New Hill,
27563,378,6,5312,Norlina,
27565,2473,40,26057,Oxford,
27569,975,6,8984,Princeton,
27571,739,1,7385,Rolesville,
27572,422,3,7316,Rougemont,
27573,1142,51,11561,Roxboro,
27574,1095,9,15232,Roxboro,
27576,2015,22,20197,Selma,
27577,3012,43,25214,Smithfield,
27581,301,2,3956,Stem,
27583,582,6,7012,Timberlake,
27587,6519,48,74087,Wake Forest,
27589,701,7,8312,Warrenton,
27591,2390,25,23448,Wendell,
27592,1396,6,17368,Willow Spring,
27596,1706,5,18655,Youngsville,
27597,2718,20,25494,Zebulon,
27601,899,7,12139,Raleigh,
27603,4740,35,55479,Raleigh,
27604,4334,46,47645,Raleigh,
27605,629,18,5253,Raleigh,
27606,3424,12,47938,Raleigh,
27607,2119,9,30296,Raleigh,
27608,923,3,11603,Raleigh,
27609,3131,27,38631,Raleigh,
27610,8506,76,74203,Raleigh,
27612,2882,37,39208,Raleigh,
27613,2908,12,46521,Raleigh,
27614,2567,21,37689,Raleigh,
27615,3270,49,46038,Raleigh,
27616,5574,30,55260,Raleigh,
27617,1448,4,19511,Raleigh,
27701,2136,15,26489,Durham,
27703,5375,28,61351,Durham,
27704,4087,36,39369,Durham,
27705,3416,74,48078,Durham,
27707,3476,17,47036,Durham,
27708,284,0,4635,Durham,
27709,151,0,4,Durham,
27710,7,0,0,Durham,
27712,1390,28,22055,Durham,
27713,3258,26,53996,Durham,
27801,2061,25,21556,Rocky Mount,
27803,2082,25,22337,Rocky Mount,
27804,3251,82,29160,Rocky Mount,
27805,225,2,3769,Aulander,
27806,161,3,2441,Aurora,
27807,900,11,6940,Bailey,
27808,198,4,2481,Bath,
27809,504,9,5254,Battleboro,
27812,254,1,2951,Bethel,
27813,76,0,687,Black Creek,
27814,120,2,1801,Blounts Creek,
27816,267,3,2634,Castalia,
27817,630,5,7777,Chocowinity,
27818,110,1,1269,Como,
27820,205,5,3292,Conway,
27822,961,14,9119,Elm City,
27823,784,9,7812,Enfield,
27827,22,0,99,Falkland,
27828,837,8,9031,Farmville,
27829,189,1,1872,Fountain,
27830,330,7,4858,Fremont,
27831,337,7,3588,Garysburg,
27832,326,7,2912,Gaston,
27834,6121,31,57505,Greenville,
27837,632,3,6506,Grimesland,
27839,263,4,3702,Halifax,
27840,56,3,535,Hamilton,
27842,79,0,1436,Henrico,
27843,124,1,946,Hobgood,
27844,278,7,3039,Hollister,
27845,201,12,2841,Jackson,
27846,295,3,3069,Jamesville,
27847,54,0,1071,Kelford,
27849,106,2,1483,Lewiston Woodville,
27850,465,6,7413,Littleton,
27851,535,6,5595,Lucama,
27852,251,3,3454,Macclesfield,
27853,34,1,436,Margarettsville,
27855,470,6,6105,Murfreesboro,
27856,2360,30,17301,Nashville,
27857,126,5,1601,Oak City,
27858,6061,18,58170,Greenville,
27860,170,2,2062,Pantego,
27862,46,0,945,Pendleton,
27863,986,19,12670,Pikeville,
27864,530,7,4823,Pinetops,
27865,211,3,2003,Pinetown,
27866,72,1,672,Pleasant Hill,
27869,277,17,2167,Rich Square,
27870,2927,59,26633,Roanoke Rapids,
27871,382,6,4466,Robersonville,
27874,437,11,4766,Scotland Neck,
27876,115,4,1290,Seaboard,
27880,399,0,3280,Sims,
27882,893,10,7927,Spring Hope,
27883,342,3,4361,Stantonsburg,
27884,171,1,1545,Stokes,
27885,305,4,859,Swanquarter,
27886,2201,71,21595,Tarboro,
27888,270,0,2803,Walstonburg,
27889,2904,69,27543,Washington,
27890,243,14,2398,Weldon,
27891,495,8,5011,Whitakers,
27892,1404,22,14363,Williamston,
27893,4781,110,40647,Wilson,
27896,2370,33,21212,Wilson,
27897,125,1,2467,Woodland,
27909,3199,80,40958,Elizabeth City,
27910,1213,49,11609,Ahoskie,
27915,32,0,758,Avon,
27916,51,0,554,Aydlett,
27917,114,6,1084,Barco,
27922,74,4,1107,Cofield,
27924,279,3,3509,Colerain,
27925,317,6,4164,Columbia,
27926,90,1,1965,Corapeake,
27927,26,0,613,Corolla,
27928,138,4,1888,Creswell,
27929,113,1,1949,Currituck,
27932,1272,21,12644,Edenton,
27935,106,3,1674,Eure,
27937,245,2,4253,Gates,
27938,125,7,1430,Gatesville,
27942,55,1,936,Harrellsville,
27944,864,7,12230,Hertford,
27946,75,0,1089,Hobbsville,
27948,713,1,12518,Kill Devil Hills,
27949,380,3,7235,Kitty Hawk,
27950,58,0,2183,Knotts Island,
27957,100,6,1419,Merry Hill,
27958,712,7,12061,Moyock,
27959,196,1,2451,Nags Head,
27962,645,20,7439,Plymouth,
27966,48,0,1473,Powells Point,
27968,14,0,413,Rodanthe,
27970,270,7,3214,Roper,
27976,236,1,3561,South Mills,
27979,89,0,1813,Sunbury,
27982,5,0,0,Waves,
27983,946,27,10633,Windsor,
27986,169,3,2650,Winton,
28001,3294,94,28360,Albemarle,
28006,127,1,1136,Alexis,
28012,2788,24,24276,Belmont,
28016,1506,24,14526,Bessemer City,
28018,561,19,5943,Bostic,
28020,240,1,2464,Casar,
28021,1432,34,13436,Cherryville,
28023,1667,17,14843,China Grove,
28025,5816,74,55325,Concord,
28027,7176,76,74072,Concord,
28031,2835,25,31049,Cornelius,
28032,383,1,3249,Cramerton,
28033,406,4,3362,Crouse,
28034,2418,32,17859,Dallas,
28036,1653,15,18554,Davidson,
28037,2588,8,23834,Denver,
28039,47,4,428,East Spencer,
28040,735,10,8270,Ellenboro,
28043,2416,73,21472,Forest City,
28052,4179,84,36823,Gastonia,
28054,4532,79,40184,Gastonia,
28056,4018,43,35595,Gastonia,
28071,331,4,3198,Gold Hill,
28073,554,10,5606,Grover,
28075,1884,14,19174,Harrisburg,
28078,5849,50,66079,Huntersville,
28079,3939,29,39813,Indian Trail,
28080,831,6,8157,Iron Station,
28081,2906,39,28249,Kannapolis,
28083,2738,40,25877,Kannapolis,
28086,3250,67,26988,Kings Mountain,
28088,424,1,3059,Landis,
28090,717,14,8506,Lawndale,
28091,184,1,2353,Lilesville,
28092,4669,53,40052,Lincolnton,
28097,786,3,6124,Locust,
28098,404,2,4010,Lowell,
28103,1236,24,11346,Marshville,
28104,2797,10,32469,Matthews,
28105,3791,71,45346,Matthews,
28107,942,8,8210,Midland,
28110,6219,67,55536,Monroe,
28112,3147,48,28060,Monroe,
28114,771,6,9034,Mooresboro,
28115,3833,27,41536,Mooresville,
28117,4492,20,47608,Mooresville,
28119,290,8,3034,Morven,
28120,2571,40,24318,Mount Holly,
28124,661,9,7015,Mount Pleasant,
28125,276,1,2657,Mount Ulla,
28127,1116,10,7631,New London,
28128,791,9,8098,Norwood,
28129,645,8,6031,Oakboro,
28133,275,4,2713,Peachland,
28134,1285,20,11817,Pineville,
28135,525,6,5968,Polkton,
28137,327,4,3843,Richfield,
28138,1147,19,11659,Rockwell,
28139,2098,79,20134,Rutherfordton,
28144,2893,67,25846,Salisbury,
28146,3206,51,30382,Salisbury,
28147,3440,81,26204,Salisbury,
28150,3287,88,29296,Shelby,
28152,2734,41,26078,Shelby,
28159,413,16,3126,Spencer,
28160,527,11,4015,Spindale,
28163,552,3,5814,Stanfield,
28164,1625,40,15447,Stanley,
28166,1014,19,9868,Troutman,
28167,221,3,2418,Union Mills,
28168,1204,14,10437,Vale,
28170,1198,35,12494,Wadesboro,
28173,5511,30,63837,Waxhaw,
28174,1194,5,9287,Wingate,
28202,2012,1,16755,Charlotte,
28203,2334,5,19070,Charlotte,
28204,1086,6,8738,Charlotte,
28205,4935,61,51821,Charlotte,
28206,1637,9,15244,Charlotte,
