ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,126,3,14872,Advance,
27007,32,0,2136,Ararat,
27009,16,0,2937,Belews Creek,
27011,80,1,5411,Boonville,
27012,437,12,28954,Clemmons,
27013,108,3,6495,Cleveland,
27014,7,0,957,Cooleemee,
27016,22,0,1682,Danbury,
27017,211,1,9499,Dobson,
27018,119,2,8221,East Bend,
27019,40,0,4234,Germanton,
27020,142,2,6104,Hamptonville,
27021,168,1,17979,King,
27022,13,0,1512,Lawsonville,
27023,159,1,12775,Lewisville,
27024,26,1,2683,Lowgap,
27025,267,2,11117,Madison,
27027,57,0,4017,Mayodan,
27028,437,3,28039,Mocksville,
27030,663,12,37641,Mount Airy,
27040,132,1,13150,Pfafftown,
27041,87,0,8020,Pilot Mountain,
27042,15,1,720,Pine Hall,
27043,88,1,6442,Pinnacle,
27045,173,3,9583,Rural Hall,
27046,18,0,1953,Sandy Ridge,
27047,9,0,1279,Siloam,
27048,105,0,8902,Stoneville,
27050,36,0,4084,Tobaccoville,
27051,107,1,8287,Walkertown,
27052,105,0,10061,Walnut Cove,
27053,22,0,3156,Westfield,
27054,45,0,2608,Woodleaf,
27055,321,2,14521,Yadkinville,
27101,322,12,24321,Winston Salem,
27103,618,17,36071,Winston Salem,
27104,455,11,29383,Winston Salem,
27105,1054,9,40186,Winston Salem,
27106,862,9,51378,Winston Salem,
27107,1218,15,52432,Winston Salem,
27127,819,6,38510,Winston Salem,
27157,10,0,5,Winston Salem,
27203,770,19,21876,Asheboro,
27205,685,12,34549,Asheboro,
27207,98,1,3806,Bear Creek,
27208,42,0,1691,Bennett,
27209,326,19,4151,Biscoe,
27212,95,0,1600,Blanch,
27214,141,1,11747,Browns Summit,
27215,837,8,44892,Burlington,
27217,1458,37,39111,Burlington,
27229,220,5,4014,Candor,
27231,18,0,2048,Cedar Grove,
27233,20,0,3647,Climax,
27235,62,0,4575,Colfax,
27239,110,3,9629,Denton,
27242,54,0,2668,Eagle Springs,
27243,66,1,4665,Efland,
27244,219,2,16259,Elon,
27248,64,2,4835,Franklinville,
27249,166,2,13355,Gibsonville,
27252,14,1,2264,Goldston,
27253,895,4,31464,Graham,
27258,161,2,7740,Haw River,
27260,591,14,25696,High Point,
