ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1908,15,14872,Advance,
27007,302,2,2136,Ararat,
27009,413,5,2937,Belews Creek,
27011,817,7,5411,Boonville,
27012,3897,60,28954,Clemmons,
27013,1003,12,6495,Cleveland,
27014,161,5,957,Cooleemee,
27016,272,4,1682,Danbury,
27017,1611,21,9499,Dobson,
27018,1044,10,8221,East Bend,
27019,502,2,4234,Germanton,
27020,1017,11,6104,Hamptonville,
27021,2479,54,17979,King,
27022,151,3,1512,Lawsonville,
27023,1444,8,12775,Lewisville,
27024,420,4,2683,Lowgap,
27025,1408,32,11117,Madison,
27027,472,19,4017,Mayodan,
27028,4161,47,28039,Mocksville,
27030,6128,132,37641,Mount Airy,
27040,1467,13,13150,Pfafftown,
27041,1145,10,8020,Pilot Mountain,
27042,90,2,720,Pine Hall,
27043,824,9,6442,Pinnacle,
27045,1400,12,9583,Rural Hall,
27046,226,3,1953,Sandy Ridge,
27047,170,2,1279,Siloam,
27048,1023,12,8902,Stoneville,
27050,515,6,4084,Tobaccoville,
27051,1082,10,8287,Walkertown,
27052,1368,28,10061,Walnut Cove,
27053,330,4,3156,Westfield,
27054,462,6,2608,Woodleaf,
27055,2326,32,14521,Yadkinville,
27101,2557,48,24321,Winston Salem,
27103,4286,48,36071,Winston Salem,
27104,3359,43,29383,Winston Salem,
27105,5728,55,40186,Winston Salem,
27106,5810,66,51378,Winston Salem,
27107,7129,63,52432,Winston Salem,
27127,5439,32,38510,Winston Salem,
27157,51,0,5,Winston Salem,
27203,3586,61,21876,Asheboro,
27205,5135,56,34549,Asheboro,
27207,457,2,3806,Bear Creek,
27208,237,3,1691,Bennett,
27209,875,43,4151,Biscoe,
27212,419,1,1600,Blanch,
27214,1513,17,11747,Browns Summit,
27215,6407,82,44892,Burlington,
27217,6891,110,39111,Burlington,
27229,693,18,4014,Candor,
27231,159,1,2048,Cedar Grove,
27233,458,4,3647,Climax,
27235,584,14,4575,Colfax,
27239,1338,20,9629,Denton,
27242,292,5,2668,Eagle Springs,
27243,431,4,4665,Efland,
27244,2896,29,16259,Elon,
27248,636,6,4835,Franklinville,
27249,1744,19,13355,Gibsonville,
27252,187,2,2264,Goldston,
27253,5000,61,31464,Graham,
27258,982,8,7740,Haw River,
27260,3172,51,25696,High Point,
27262,2929,67,24764,High Point,
27263,2996,50,22320,High Point,
27265,6134,68,50038,High Point,
27268,337,0,1695,High Point,
27278,2326,23,27181,Hillsborough,
27281,375,4,3710,Jackson Springs,
27282,1919,28,16597,Jamestown,
27283,412,5,2982,Julian,
27284,7452,101,56201,Kernersville,
27288,2945,64,23585,Eden,
27291,179,1,1538,Leasburg,
27292,5993,61,41465,Lexington,
27295,6118,77,39191,Lexington,
27298,1343,13,10440,Liberty,
27299,952,10,5254,Linwood,
27301,1499,22,10019,Mc Leansville,
27302,3890,26,32302,Mebane,
27305,207,1,1585,Milton,
27306,988,21,5945,Mount Gilead,
27310,880,4,8562,Oak Ridge,
27311,440,5,3220,Pelham,
27312,1420,26,22205,Pittsboro,
27313,816,26,7288,Pleasant Garden,
27314,112,1,1138,Prospect Hill,
27315,198,1,2140,Providence,
27316,985,17,7156,Ramseur,
27317,2671,34,17851,Randleman,
27320,4936,59,38894,Reidsville,
27325,1083,15,7676,Robbins,
27326,501,2,3692,Ruffin,
27330,5996,66,39529,Sanford,
27332,4498,37,33549,Sanford,
27341,727,5,5820,Seagrove,
27343,169,0,1840,Semora,
27344,2636,37,19290,Siler City,
27349,829,6,5850,Snow Camp,
27350,949,11,7508,Sophia,
27355,342,2,3196,Staley,
27356,470,8,3513,Star,
27357,1233,22,8325,Stokesdale,
27358,1539,8,15960,Summerfield,
27360,7219,94,48331,Thomasville,
27370,2259,42,14622,Trinity,
27371,1160,17,7778,Troy,
27376,1226,23,9884,West End,
27377,1406,12,9597,Whitsett,
27379,785,25,6057,Yanceyville,
27401,2602,32,20221,Greensboro,
27403,2052,23,21278,Greensboro,
27405,6790,66,52510,Greensboro,
27406,7821,127,60755,Greensboro,
27407,6033,79,49837,Greensboro,
27408,1668,9,17406,Greensboro,
27409,2101,20,17953,Greensboro,
27410,5478,58,56968,Greensboro,
27455,3282,71,29197,Greensboro,
27501,2992,29,21338,Angier,
27502,3634,12,43747,Apex,
27503,304,1,7222,Bahama,
27504,2922,34,16320,Benson,
27505,924,16,7308,Broadway,
27507,203,3,2053,Bullock,
27508,364,1,2340,Bunn,
27509,2065,39,6935,Butner,
27510,1060,8,14543,Carrboro,
27511,2810,29,34041,Cary,
27513,3353,25,49003,Cary,
27514,2384,24,32847,Chapel Hill,
27516,2971,17,44117,Chapel Hill,
27517,1620,17,28831,Chapel Hill,
27518,1637,19,22765,Cary,
27519,3718,11,59960,Cary,
27520,6853,78,43958,Clayton,
27521,1029,12,7149,Coats,
27522,1571,10,13652,Creedmoor,
27523,1136,2,12782,Apex,
27524,2184,32,13532,Four Oaks,
27525,2398,5,15534,Franklinton,
27526,6316,68,54027,Fuquay Varina,
27527,4218,17,30234,Clayton,
27529,7427,83,53854,Garner,
27530,4636,91,40212,Goldsboro,
27531,21,0,666,Goldsboro,
27534,3855,89,31819,Goldsboro,
27536,2537,50,16459,Henderson,
27537,3412,41,25321,Henderson,
27539,2373,10,26567,Apex,
27540,4168,13,39075,Holly Springs,
