ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1268,7,14872,Advance,
27007,215,0,2136,Ararat,
27009,287,1,2937,Belews Creek,
27011,542,7,5411,Boonville,
27012,2763,49,28954,Clemmons,
27013,620,7,6495,Cleveland,
27014,80,1,957,Cooleemee,
27016,155,2,1682,Danbury,
27017,1072,13,9499,Dobson,
27018,703,5,8221,East Bend,
27019,333,1,4234,Germanton,
27020,677,5,6104,Hamptonville,
27021,1736,45,17979,King,
27022,97,2,1512,Lawsonville,
27023,999,3,12775,Lewisville,
27024,282,3,2683,Lowgap,
27025,998,16,11117,Madison,
27027,352,18,4017,Mayodan,
27028,2717,28,28039,Mocksville,
27030,4306,98,37641,Mount Airy,
27040,1001,9,13150,Pfafftown,
27041,708,8,8020,Pilot Mountain,
27042,69,2,720,Pine Hall,
27043,508,6,6442,Pinnacle,
27045,1020,8,9583,Rural Hall,
27046,150,1,1953,Sandy Ridge,
27047,111,0,1279,Siloam,
27048,690,8,8902,Stoneville,
27050,310,4,4084,Tobaccoville,
27051,695,5,8287,Walkertown,
27052,959,22,10061,Walnut Cove,
27053,195,2,3156,Westfield,
27054,300,5,2608,Woodleaf,
27055,1709,26,14521,Yadkinville,
27101,1789,33,24321,Winston Salem,
27103,3015,39,36071,Winston Salem,
27104,2512,32,29383,Winston Salem,
27105,3991,36,40186,Winston Salem,
27106,4334,53,51378,Winston Salem,
27107,4906,41,52432,Winston Salem,
27127,3884,24,38510,Winston Salem,
27157,46,0,5,Winston Salem,
27203,2806,52,21876,Asheboro,
27205,3733,47,34549,Asheboro,
27207,283,2,3806,Bear Creek,
27208,146,2,1691,Bennett,
27209,706,40,4151,Biscoe,
27212,381,1,1600,Blanch,
27214,1048,11,11747,Browns Summit,
27215,4535,73,44892,Burlington,
27217,5186,101,39111,Burlington,
27229,549,17,4014,Candor,
27231,123,0,2048,Cedar Grove,
27233,290,4,3647,Climax,
27235,429,11,4575,Colfax,
27239,859,13,9629,Denton,
27242,184,3,2668,Eagle Springs,
27243,294,2,4665,Efland,
27244,2017,25,16259,Elon,
27248,381,5,4835,Franklinville,
27249,1115,8,13355,Gibsonville,
27252,112,2,2264,Goldston,
27253,3558,49,31464,Graham,
27258,685,8,7740,Haw River,
27260,2187,41,25696,High Point,
27262,2132,60,24764,High Point,
27263,2122,36,22320,High Point,
27265,4414,55,50038,High Point,
27268,308,0,1695,High Point,
27278,1698,19,27181,Hillsborough,
27281,258,0,3710,Jackson Springs,
27282,1433,22,16597,Jamestown,
27283,249,4,2982,Julian,
27284,5130,67,56201,Kernersville,
27288,1871,29,23585,Eden,
27291,131,0,1538,Leasburg,
27292,3778,34,41465,Lexington,
27295,3918,50,39191,Lexington,
27298,850,9,10440,Liberty,
27299,573,4,5254,Linwood,
27301,1049,16,10019,Mc Leansville,
27302,2646,18,32302,Mebane,
27305,157,1,1585,Milton,
27306,690,16,5945,Mount Gilead,
27310,649,4,8562,Oak Ridge,
27311,259,1,3220,Pelham,
27312,970,25,22205,Pittsboro,
27313,528,21,7288,Pleasant Garden,
27314,67,1,1138,Prospect Hill,
27315,122,0,2140,Providence,
27316,714,15,7156,Ramseur,
27317,1819,23,17851,Randleman,
27320,3177,36,38894,Reidsville,
27325,743,6,7676,Robbins,
27326,316,2,3692,Ruffin,
27330,3930,52,39529,Sanford,
27332,2855,26,33549,Sanford,
27341,493,3,5820,Seagrove,
27343,133,0,1840,Semora,
27344,1902,36,19290,Siler City,
27349,524,5,5850,Snow Camp,
27350,620,8,7508,Sophia,
27355,225,2,3196,Staley,
27356,333,8,3513,Star,
27357,887,17,8325,Stokesdale,
27358,1050,7,15960,Summerfield,
27360,5017,62,48331,Thomasville,
27370,1567,29,14622,Trinity,
27371,869,12,7778,Troy,
27376,815,15,9884,West End,
27377,904,7,9597,Whitsett,
27379,581,21,6057,Yanceyville,
27401,1939,25,20221,Greensboro,
27403,1478,18,21278,Greensboro,
27405,4697,47,52510,Greensboro,
27406,5390,110,60755,Greensboro,
27407,4457,69,49837,Greensboro,
27408,1252,8,17406,Greensboro,
27409,1463,14,17953,Greensboro,
27410,4040,49,56968,Greensboro,
27455,2467,65,29197,Greensboro,
27501,1911,17,21338,Angier,
27502,2486,9,43747,Apex,
27503,187,0,7222,Bahama,
27504,1963,22,16320,Benson,
27505,595,9,7308,Broadway,
27507,164,2,2053,Bullock,
27508,307,1,2340,Bunn,
27509,1681,38,6935,Butner,
27510,837,8,14543,Carrboro,
27511,2104,27,34041,Cary,
27513,2425,24,49003,Cary,
27514,1687,24,32847,Chapel Hill,
27516,2215,17,44117,Chapel Hill,
27517,1208,16,28831,Chapel Hill,
27518,1172,19,22765,Cary,
27519,2675,9,59960,Cary,
27520,4674,59,43958,Clayton,
27521,717,9,7149,Coats,
27522,1151,7,13652,Creedmoor,
27523,765,1,12782,Apex,
27524,1465,17,13532,Four Oaks,
27525,1581,3,15534,Franklinton,
27526,4043,49,54027,Fuquay Varina,
27527,2691,9,30234,Clayton,
27529,5007,64,53854,Garner,
27530,3267,76,40212,Goldsboro,
27531,15,0,666,Goldsboro,
27534,2774,75,31819,Goldsboro,
27536,1885,47,16459,Henderson,
27537,2574,36,25321,Henderson,
27539,1526,6,26567,Apex,
27540,2700,7,39075,Holly Springs,
27541,306,1,4044,Hurdle Mills,
27542,881,13,10043,Kenly,
27544,414,4,4291,Kittrell,
27545,3276,38,30327,Knightdale,
27546,2201,74,22436,Lillington,
27549,2378,33,25224,Louisburg,
27551,124,3,2205,Macon,
27553,485,0,2030,Manson,
27556,23,0,298,Middleburg,
27557,816,5,9214,Middlesex,
27559,133,1,2874,Moncure,
27560,1886,12,33691,Morrisville,
27562,252,0,2791,New Hill,
27563,383,6,5312,Norlina,
27565,2494,40,26057,Oxford,
27569,987,6,8984,Princeton,
27571,755,1,7385,Rolesville,
27572,431,3,7316,Rougemont,
27573,1170,52,11561,Roxboro,
27574,1114,10,15232,Roxboro,
27576,2035,22,20197,Selma,
27577,3055,46,25214,Smithfield,
27581,311,2,3956,Stem,
27583,592,6,7012,Timberlake,
27587,6652,49,74087,Wake Forest,
27589,705,7,8312,Warrenton,
27591,2469,25,23448,Wendell,
27592,1427,7,17368,Willow Spring,
27596,1768,6,18655,Youngsville,
27597,2800,21,25494,Zebulon,
27601,925,7,12139,Raleigh,
27603,4836,36,55479,Raleigh,
27604,4438,46,47645,Raleigh,
27605,629,18,5253,Raleigh,
27606,3500,11,47938,Raleigh,
27607,2152,12,30296,Raleigh,
27608,949,3,11603,Raleigh,
27609,3188,27,38631,Raleigh,
27610,8788,78,74203,Raleigh,
27612,2928,38,39208,Raleigh,
27613,2986,12,46521,Raleigh,
27614,2610,21,37689,Raleigh,
27615,3317,49,46038,Raleigh,
27616,5734,29,55260,Raleigh,
27617,1483,4,19511,Raleigh,
27701,2156,15,26489,Durham,
27703,5506,30,61351,Durham,
27704,4180,36,39369,Durham,
27705,3483,75,48078,Durham,
27707,3532,17,47036,Durham,
27708,285,0,4635,Durham,
27709,153,0,4,Durham,
27710,7,0,0,Durham,
27712,1412,28,22055,Durham,
27713,3330,27,53996,Durham,
27801,2100,25,21556,Rocky Mount,
27803,2134,27,22337,Rocky Mount,
27804,3313,85,29160,Rocky Mount,
27805,232,2,3769,Aulander,
27806,163,3,2441,Aurora,
27807,913,11,6940,Bailey,
27808,198,4,2481,Bath,
27809,521,9,5254,Battleboro,
27812,261,1,2951,Bethel,
27813,78,0,687,Black Creek,
27814,120,2,1801,Blounts Creek,
27816,271,3,2634,Castalia,
27817,640,5,7777,Chocowinity,
27818,111,1,1269,Como,
27820,206,5,3292,Conway,
27822,970,14,9119,Elm City,
27823,805,9,7812,Enfield,
27827,24,0,99,Falkland,
27828,868,8,9031,Farmville,
