ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1155,6,14872,Advance,
27007,204,0,2136,Ararat,
27009,252,1,2937,Belews Creek,
27011,509,7,5411,Boonville,
27012,2565,48,28954,Clemmons,
27013,547,6,6495,Cleveland,
27014,66,1,957,Cooleemee,
27016,138,2,1682,Danbury,
27017,982,9,9499,Dobson,
27018,650,4,8221,East Bend,
27019,296,1,4234,Germanton,
27020,622,5,6104,Hamptonville,
27021,1593,43,17979,King,
27022,81,2,1512,Lawsonville,
27023,902,3,12775,Lewisville,
27024,263,3,2683,Lowgap,
27025,935,7,11117,Madison,
27027,339,7,4017,Mayodan,
27028,2392,27,28039,Mocksville,
27030,3903,85,37641,Mount Airy,
27040,930,7,13150,Pfafftown,
27041,656,6,8020,Pilot Mountain,
27042,63,2,720,Pine Hall,
27043,477,5,6442,Pinnacle,
27045,915,7,9583,Rural Hall,
27046,142,1,1953,Sandy Ridge,
27047,103,0,1279,Siloam,
27048,631,5,8902,Stoneville,
27050,277,3,4084,Tobaccoville,
27051,632,5,8287,Walkertown,
27052,844,21,10061,Walnut Cove,
27053,176,1,3156,Westfield,
27054,258,4,2608,Woodleaf,
27055,1561,24,14521,Yadkinville,
27101,1634,32,24321,Winston Salem,
27103,2765,38,36071,Winston Salem,
27104,2328,31,29383,Winston Salem,
27105,3614,33,40186,Winston Salem,
27106,3947,49,51378,Winston Salem,
27107,4401,40,52432,Winston Salem,
27127,3536,24,38510,Winston Salem,
27157,41,0,5,Winston Salem,
27203,2601,48,21876,Asheboro,
27205,3439,44,34549,Asheboro,
27207,259,2,3806,Bear Creek,
27208,138,1,1691,Bennett,
27209,679,40,4151,Biscoe,
27212,372,1,1600,Blanch,
27214,899,6,11747,Browns Summit,
27215,3979,62,44892,Burlington,
27217,4701,88,39111,Burlington,
27229,524,17,4014,Candor,
27231,111,0,2048,Cedar Grove,
27233,259,2,3647,Climax,
27235,383,7,4575,Colfax,
27239,770,12,9629,Denton,
27242,168,4,2668,Eagle Springs,
27243,250,3,4665,Efland,
27244,1731,18,16259,Elon,
27248,358,5,4835,Franklinville,
27249,997,7,13355,Gibsonville,
27252,104,2,2264,Goldston,
27253,3159,42,31464,Graham,
27258,616,8,7740,Haw River,
27260,1943,37,25696,High Point,
