ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,2507,18,14872,Advance,
27007,441,3,2136,Ararat,
27009,532,7,2937,Belews Creek,
27011,1121,13,5411,Boonville,
27012,5300,71,28954,Clemmons,
27013,1239,13,6495,Cleveland,
27014,208,6,957,Cooleemee,
27016,379,4,1682,Danbury,
27017,2044,25,9499,Dobson,
27018,1536,11,8221,East Bend,
27019,653,5,4234,Germanton,
27020,1305,11,6104,Hamptonville,
27021,3478,61,17979,King,
27022,227,3,1512,Lawsonville,
27023,2031,8,12775,Lewisville,
27024,538,5,2683,Lowgap,
27025,1866,37,11117,Madison,
27027,634,19,4017,Mayodan,
27028,5393,57,28039,Mocksville,
27030,8055,161,37641,Mount Airy,
27040,2032,15,13150,Pfafftown,
27041,1484,12,8020,Pilot Mountain,
27042,109,2,720,Pine Hall,
27043,1163,13,6442,Pinnacle,
27045,1946,16,9583,Rural Hall,
27046,318,5,1953,Sandy Ridge,
27047,237,2,1279,Siloam,
27048,1447,19,8902,Stoneville,
27050,691,8,4084,Tobaccoville,
27051,1474,14,8287,Walkertown,
27052,1808,30,10061,Walnut Cove,
27053,492,5,3156,Westfield,
27054,559,11,2608,Woodleaf,
27055,3238,44,14521,Yadkinville,
27101,3426,53,24321,Winston Salem,
27103,5976,52,36071,Winston Salem,
27104,4723,48,29383,Winston Salem,
27105,7636,61,40186,Winston Salem,
27106,7764,72,51378,Winston Salem,
27107,9419,83,52432,Winston Salem,
27127,7252,38,38510,Winston Salem,
27157,208,1,5,Winston Salem,
27203,4473,63,21876,Asheboro,
27205,6303,62,34549,Asheboro,
27207,605,2,3806,Bear Creek,
27208,285,4,1691,Bennett,
27209,996,44,4151,Biscoe,
27212,458,1,1600,Blanch,
27214,1950,17,11747,Browns Summit,
27215,8568,100,44892,Burlington,
27217,8849,121,39111,Burlington,
27229,813,18,4014,Candor,
27231,251,1,2048,Cedar Grove,
27233,605,8,3647,Climax,
27235,733,15,4575,Colfax,
27239,1738,25,9629,Denton,
27242,365,5,2668,Eagle Springs,
27243,611,4,4665,Efland,
27244,3587,30,16259,Elon,
27248,778,8,4835,Franklinville,
27249,2345,22,13355,Gibsonville,
27252,257,3,2264,Goldston,
27253,6709,74,31464,Graham,
27258,1323,11,7740,Haw River,
27260,3992,58,25696,High Point,
27262,3654,73,24764,High Point,
27263,3751,59,22320,High Point,
27265,7946,85,50038,High Point,
27268,349,0,1695,High Point,
27278,3299,25,27181,Hillsborough,
27281,502,5,3710,Jackson Springs,
27282,2518,30,16597,Jamestown,
27283,524,5,2982,Julian,
27284,9956,120,56201,Kernersville,
27288,4144,74,23585,Eden,
27291,246,1,1538,Leasburg,
27292,7823,75,41465,Lexington,
27295,8036,85,39191,Lexington,
27298,1754,16,10440,Liberty,
27299,1196,11,5254,Linwood,
27301,1976,24,10019,Mc Leansville,
27302,5490,30,32302,Mebane,
27305,252,1,1585,Milton,
27306,1209,22,5945,Mount Gilead,
27310,1272,5,8562,Oak Ridge,
27311,562,6,3220,Pelham,
27312,2175,28,22205,Pittsboro,
27313,1049,28,7288,Pleasant Garden,
27314,140,1,1138,Prospect Hill,
27315,251,1,2140,Providence,
27316,1228,19,7156,Ramseur,
27317,3411,41,17851,Randleman,
27320,6577,71,38894,Reidsville,
27325,1256,16,7676,Robbins,
27326,638,3,3692,Ruffin,
27330,7548,76,39529,Sanford,
27332,5668,49,33549,Sanford,
27341,919,6,5820,Seagrove,
27343,222,0,1840,Semora,
27344,3312,41,19290,Siler City,
27349,1115,7,5850,Snow Camp,
27350,1218,13,7508,Sophia,
27355,432,2,3196,Staley,
27356,550,8,3513,Star,
27357,1702,24,8325,Stokesdale,
27358,2081,10,15960,Summerfield,
27360,9098,115,48331,Thomasville,
27370,2873,50,14622,Trinity,
27371,1429,18,7778,Troy,
27376,1592,24,9884,West End,
27377,1961,13,9597,Whitsett,
27379,969,25,6057,Yanceyville,
27401,3425,37,20221,Greensboro,
27403,2651,26,21278,Greensboro,
27405,8892,73,52510,Greensboro,
27406,10280,145,60755,Greensboro,
27407,7953,90,49837,Greensboro,
27408,2290,9,17406,Greensboro,
27409,2843,22,17953,Greensboro,
27410,7275,63,56968,Greensboro,
27455,4322,77,29197,Greensboro,
27501,4068,31,21338,Angier,
27502,5631,14,43747,Apex,
27503,476,1,7222,Bahama,
27504,3798,35,16320,Benson,
27505,1162,18,7308,Broadway,
27507,251,3,2053,Bullock,
27508,478,1,2340,Bunn,
27509,2410,39,6935,Butner,
27510,1505,8,14543,Carrboro,
27511,4187,29,34041,Cary,
27513,5295,29,49003,Cary,
27514,3213,24,32847,Chapel Hill,
27516,4153,19,44117,Chapel Hill,
27517,2518,18,28831,Chapel Hill,
27518,2567,19,22765,Cary,
27519,6273,11,59960,Cary,
27520,9455,81,43958,Clayton,
27521,1293,15,7149,Coats,
27522,2234,10,13652,Creedmoor,
27523,1889,2,12782,Apex,
27524,2791,34,13532,Four Oaks,
27525,3489,7,15534,Franklinton,
27526,9645,69,54027,Fuquay Varina,
27527,6138,20,30234,Clayton,
27529,10684,91,53854,Garner,
27530,6367,105,40212,Goldsboro,
27531,54,0,666,Goldsboro,
27534,5224,97,31819,Goldsboro,
27536,3593,50,16459,Henderson,
27537,4667,47,25321,Henderson,
27539,3746,12,26567,Apex,
27540,6772,14,39075,Holly Springs,
27541,638,3,4044,Hurdle Mills,
27542,1685,23,10043,Kenly,
27544,680,6,4291,Kittrell,
27545,7064,45,30327,Knightdale,
27546,4143,91,22436,Lillington,
27549,4390,40,25224,Louisburg,
27551,224,3,2205,Macon,
27553,628,1,2030,Manson,
27556,43,0,298,Middleburg,
27557,1709,12,9214,Middlesex,
27559,294,1,2874,Moncure,
27560,4313,16,33691,Morrisville,
27562,573,1,2791,New Hill,
27563,736,11,5312,Norlina,
27565,4476,59,26057,Oxford,
27569,1704,12,8984,Princeton,
27571,1790,3,7385,Rolesville,
27572,888,3,7316,Rougemont,
27573,2216,60,11561,Roxboro,
27574,2192,21,15232,Roxboro,
27576,3676,33,20197,Selma,
27577,5483,64,25214,Smithfield,
27581,604,2,3956,Stem,
27583,1202,10,7012,Timberlake,
27587,15995,66,74087,Wake Forest,
27589,1279,15,8312,Warrenton,
27591,5509,37,23448,Wendell,
27592,3182,13,17368,Willow Spring,
27596,3974,8,18655,Youngsville,
27597,6560,32,25494,Zebulon,
27601,2054,8,12139,Raleigh,
27603,10343,53,55479,Raleigh,
27604,9078,56,47645,Raleigh,
27605,1138,19,5253,Raleigh,
27606,7262,16,47938,Raleigh,
27607,4044,13,30296,Raleigh,
27608,1959,3,11603,Raleigh,
27609,6603,32,38631,Raleigh,
27610,18168,104,74203,Raleigh,
27612,6385,42,39208,Raleigh,
27613,6929,15,46521,Raleigh,
27614,6007,25,37689,Raleigh,
27615,7119,53,46038,Raleigh,
27616,12498,41,55260,Raleigh,
27617,3354,3,19511,Raleigh,
27701,4055,19,26489,Durham,
27703,10630,40,61351,Durham,
27704,7651,44,39369,Durham,
27705,6744,87,48078,Durham,
27707,6816,18,47036,Durham,
27708,493,0,4635,Durham,
27709,317,0,4,Durham,
27710,15,0,0,Durham,
27712,2863,34,22055,Durham,
27713,6909,31,53996,Durham,
27801,4058,30,21556,Rocky Mount,
27803,3964,40,22337,Rocky Mount,
27804,5919,99,29160,Rocky Mount,
27805,447,5,3769,Aulander,
27806,282,4,2441,Aurora,
27807,1551,17,6940,Bailey,
27808,362,7,2481,Bath,
27809,865,11,5254,Battleboro,
27812,464,2,2951,Bethel,
27813,142,0,687,Black Creek,
27814,242,3,1801,Blounts Creek,
27816,415,4,2634,Castalia,
27817,1379,13,7777,Chocowinity,
27818,179,1,1269,Como,
27820,375,7,3292,Conway,
27822,1680,21,9119,Elm City,
27823,1490,13,7812,Enfield,
27827,47,0,99,Falkland,
27828,1727,11,9031,Farmville,
27829,337,1,1872,Fountain,
27830,644,12,4858,Fremont,
27831,670,10,3588,Garysburg,
27832,561,8,2912,Gaston,
27834,12129,58,57505,Greenville,
27837,1222,4,6506,Grimesland,
27839,556,5,3702,Halifax,
27840,89,4,535,Hamilton,
27842,128,0,1436,Henrico,
27843,203,3,946,Hobgood,
27844,645,7,3039,Hollister,
27845,308,11,2841,Jackson,
27846,589,7,3069,Jamesville,
27847,108,0,1071,Kelford,
27849,215,3,1483,Lewiston Woodville,
27850,899,7,7413,Littleton,
27851,959,12,5595,Lucama,
27852,515,4,3454,Macclesfield,
27853,69,1,436,Margarettsville,
27855,879,7,6105,Murfreesboro,
27856,3810,44,17301,Nashville,
27857,244,10,1601,Oak City,
27858,11150,27,58170,Greenville,
27860,361,6,2062,Pantego,
27862,91,0,945,Pendleton,
27863,2121,33,12670,Pikeville,
27864,945,9,4823,Pinetops,
27865,378,9,2003,Pinetown,
27866,150,2,672,Pleasant Hill,
27869,448,17,2167,Rich Square,
27870,5705,83,26633,Roanoke Rapids,
27871,731,12,4466,Robersonville,
27874,786,14,4766,Scotland Neck,
27876,204,4,1290,Seaboard,
27880,629,2,3280,Sims,
27882,1606,15,7927,Spring Hope,
27883,630,11,4361,Stantonsburg,
27884,281,1,1545,Stokes,
27885,349,5,859,Swanquarter,
27886,4168,76,21595,Tarboro,
27888,482,2,2803,Walstonburg,
27889,5580,90,27543,Washington,
27890,459,19,2398,Weldon,
27891,932,11,5011,Whitakers,
27892,2737,43,14363,Williamston,
27893,8065,147,40647,Wilson,
27896,4114,48,21212,Wilson,
27897,233,1,2467,Woodland,
27909,6339,110,40958,Elizabeth City,
27910,2089,58,11609,Ahoskie,
27915,121,1,758,Avon,
27916,134,1,554,Aydlett,
27917,170,7,1084,Barco,
27922,136,4,1107,Cofield,
27924,511,6,3509,Colerain,
27925,640,7,4164,Columbia,
27926,168,1,1965,Corapeake,
27927,119,0,613,Corolla,
27928,293,5,1888,Creswell,
27929,195,2,1949,Currituck,
27932,2601,41,12644,Edenton,
27935,202,3,1674,Eure,
27937,442,6,4253,Gates,
27938,228,9,1430,Gatesville,
27942,98,1,936,Harrellsville,
27944,1859,13,12230,Hertford,
27946,149,0,1089,Hobbsville,
27948,1835,5,12518,Kill Devil Hills,
27949,1091,4,7235,Kitty Hawk,
27950,154,0,2183,Knotts Island,
27957,227,8,1419,Merry Hill,
27958,1633,12,12061,Moyock,
27959,438,1,2451,Nags Head,
27962,1268,26,7439,Plymouth,
27966,159,0,1473,Powells Point,
27968,60,0,413,Rodanthe,
27970,523,8,3214,Roper,
27976,485,2,3561,South Mills,
27979,166,0,1813,Sunbury,
27982,12,0,0,Waves,
27983,1643,32,10633,Windsor,
27986,236,4,2650,Winton,
28001,6234,141,28360,Albemarle,
28006,262,3,1136,Alexis,
28012,5276,44,24276,Belmont,
28016,2986,38,14526,Bessemer City,
28018,1082,34,5943,Bostic,
28020,483,5,2464,Casar,
28021,2963,53,13436,Cherryville,
28023,3223,44,14843,China Grove,
28025,11189,115,55325,Concord,
28027,13921,112,74072,Concord,
28031,5201,32,31049,Cornelius,
28032,659,3,3249,Cramerton,
28033,748,7,3362,Crouse,
28034,4529,49,17859,Dallas,
28036,3032,20,18554,Davidson,
28037,4983,15,23834,Denver,
28039,87,4,428,East Spencer,
28040,1448,27,8270,Ellenboro,
28043,4285,124,21472,Forest City,
28052,8125,129,36823,Gastonia,
28054,8666,125,40184,Gastonia,
28056,7420,79,35595,Gastonia,
28071,660,8,3198,Gold Hill,
28073,1195,15,5606,Grover,
28075,3651,23,19174,Harrisburg,
28078,11616,78,66079,Huntersville,
28079,7624,50,39813,Indian Trail,
