ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1940,16,14872,Advance,
27007,322,3,2136,Ararat,
27009,422,5,2937,Belews Creek,
27011,835,9,5411,Boonville,
27012,3971,62,28954,Clemmons,
27013,1017,13,6495,Cleveland,
27014,171,5,957,Cooleemee,
27016,275,4,1682,Danbury,
27017,1650,21,9499,Dobson,
27018,1065,10,8221,East Bend,
27019,524,2,4234,Germanton,
27020,1035,11,6104,Hamptonville,
27021,2539,56,17979,King,
27022,165,3,1512,Lawsonville,
27023,1470,8,12775,Lewisville,
27024,437,4,2683,Lowgap,
27025,1448,32,11117,Madison,
27027,494,19,4017,Mayodan,
27028,4249,53,28039,Mocksville,
27030,6325,137,37641,Mount Airy,
27040,1497,13,13150,Pfafftown,
27041,1196,11,8020,Pilot Mountain,
27042,91,2,720,Pine Hall,
27043,860,9,6442,Pinnacle,
27045,1434,12,9583,Rural Hall,
27046,236,5,1953,Sandy Ridge,
27047,173,2,1279,Siloam,
27048,1078,12,8902,Stoneville,
27050,529,7,4084,Tobaccoville,
27051,1122,12,8287,Walkertown,
27052,1419,28,10061,Walnut Cove,
27053,351,4,3156,Westfield,
27054,469,7,2608,Woodleaf,
27055,2381,32,14521,Yadkinville,
27101,2631,48,24321,Winston Salem,
27103,4368,49,36071,Winston Salem,
27104,3420,44,29383,Winston Salem,
27105,5834,57,40186,Winston Salem,
27106,5906,66,51378,Winston Salem,
27107,7283,68,52432,Winston Salem,
27127,5557,35,38510,Winston Salem,
27157,51,0,5,Winston Salem,
27203,3696,61,21876,Asheboro,
27205,5254,57,34549,Asheboro,
27207,471,2,3806,Bear Creek,
27208,241,3,1691,Bennett,
27209,882,43,4151,Biscoe,
27212,422,1,1600,Blanch,
27214,1554,17,11747,Browns Summit,
27215,6554,87,44892,Burlington,
27217,7014,114,39111,Burlington,
27229,715,18,4014,Candor,
27231,166,1,2048,Cedar Grove,
27233,472,4,3647,Climax,
27235,589,14,4575,Colfax,
27239,1370,21,9629,Denton,
27242,296,5,2668,Eagle Springs,
27243,437,4,4665,Efland,
27244,2928,29,16259,Elon,
27248,648,7,4835,Franklinville,
27249,1773,19,13355,Gibsonville,
27252,191,2,2264,Goldston,
27253,5101,62,31464,Graham,
27258,1001,10,7740,Haw River,
27260,3238,52,25696,High Point,
27262,2988,68,24764,High Point,
27263,3056,50,22320,High Point,
27265,6275,68,50038,High Point,
27268,338,0,1695,High Point,
27278,2393,24,27181,Hillsborough,
27281,386,4,3710,Jackson Springs,
27282,1966,28,16597,Jamestown,
27283,421,5,2982,Julian,
27284,7637,105,56201,Kernersville,
27288,3129,64,23585,Eden,
27291,180,1,1538,Leasburg,
27292,6084,63,41465,Lexington,
27295,6248,80,39191,Lexington,
27298,1377,13,10440,Liberty,
27299,967,10,5254,Linwood,
27301,1533,22,10019,Mc Leansville,
27302,3985,27,32302,Mebane,
27305,213,1,1585,Milton,
27306,1004,21,5945,Mount Gilead,
27310,894,5,8562,Oak Ridge,
27311,456,5,3220,Pelham,
27312,1462,26,22205,Pittsboro,
27313,836,26,7288,Pleasant Garden,
27314,112,1,1138,Prospect Hill,
27315,201,1,2140,Providence,
27316,1000,18,7156,Ramseur,
27317,2736,35,17851,Randleman,
27320,5094,59,38894,Reidsville,
27325,1102,15,7676,Robbins,
27326,518,3,3692,Ruffin,
27330,6075,70,39529,Sanford,
27332,4597,39,33549,Sanford,
27341,758,5,5820,Seagrove,
27343,168,0,1840,Semora,
27344,2687,37,19290,Siler City,
27349,849,6,5850,Snow Camp,
27350,982,12,7508,Sophia,
27355,352,2,3196,Staley,
27356,487,8,3513,Star,
27357,1273,22,8325,Stokesdale,
27358,1575,9,15960,Summerfield,
27360,7347,101,48331,Thomasville,
27370,2325,44,14622,Trinity,
