ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,733,3,14872,Advance,
27007,139,0,2136,Ararat,
27009,157,1,2937,Belews Creek,
27011,361,4,5411,Boonville,
27012,1787,27,28954,Clemmons,
27013,352,5,6495,Cleveland,
27014,45,0,957,Cooleemee,
27016,95,0,1682,Danbury,
27017,725,4,9499,Dobson,
27018,487,4,8221,East Bend,
27019,198,1,4234,Germanton,
27020,473,4,6104,Hamptonville,
27021,954,23,17979,King,
27022,62,1,1512,Lawsonville,
27023,666,2,12775,Lewisville,
27024,181,3,2683,Lowgap,
27025,752,3,11117,Madison,
27027,272,1,4017,Mayodan,
27028,1643,11,28039,Mocksville,
27030,2635,54,37641,Mount Airy,
27040,627,3,13150,Pfafftown,
27041,422,5,8020,Pilot Mountain,
27042,54,1,720,Pine Hall,
27043,344,5,6442,Pinnacle,
27045,613,5,9583,Rural Hall,
27046,100,1,1953,Sandy Ridge,
27047,74,0,1279,Siloam,
27048,491,2,8902,Stoneville,
27050,197,2,4084,Tobaccoville,
27051,463,4,8287,Walkertown,
27052,526,10,10061,Walnut Cove,
27053,104,1,3156,Westfield,
27054,168,2,2608,Woodleaf,
27055,1182,12,14521,Yadkinville,
27101,1149,28,24321,Winston Salem,
27103,1983,20,36071,Winston Salem,
27104,1620,23,29383,Winston Salem,
27105,2688,22,40186,Winston Salem,
27106,2709,22,51378,Winston Salem,
27107,3318,26,52432,Winston Salem,
27127,2527,18,38510,Winston Salem,
27157,18,0,5,Winston Salem,
27203,1785,30,21876,Asheboro,
27205,2289,30,34549,Asheboro,
27207,182,2,3806,Bear Creek,
27208,100,0,1691,Bennett,
27209,521,24,4151,Biscoe,
27212,287,1,1600,Blanch,
27214,585,1,11747,Browns Summit,
27215,2831,25,44892,Burlington,
27217,3584,59,39111,Burlington,
27229,387,8,4014,Candor,
27231,68,0,2048,Cedar Grove,
27233,159,2,3647,Climax,
27235,264,2,4575,Colfax,
27239,490,5,9629,Denton,
27242,103,0,2668,Eagle Springs,
27243,185,2,4665,Efland,
27244,1124,8,16259,Elon,
27248,238,4,4835,Franklinville,
27249,682,4,13355,Gibsonville,
27252,55,1,2264,Goldston,
27253,2299,26,31464,Graham,
27258,428,3,7740,Haw River,
27260,1365,25,25696,High Point,
27262,1299,24,24764,High Point,
27263,1380,24,22320,High Point,
27265,2500,32,50038,High Point,
27268,228,0,1695,High Point,
27278,1079,3,27181,Hillsborough,
27281,167,0,3710,Jackson Springs,
27282,822,10,16597,Jamestown,
27283,154,1,2982,Julian,
27284,3175,41,56201,Kernersville,
27288,1304,11,23585,Eden,
27291,77,0,1538,Leasburg,
27292,2385,19,41465,Lexington,
27295,2407,28,39191,Lexington,
27298,485,4,10440,Liberty,
27299,359,1,5254,Linwood,
27301,609,5,10019,Mc Leansville,
27302,1556,2,32302,Mebane,
27305,94,1,1585,Milton,
27306,456,8,5945,Mount Gilead,
27310,396,2,8562,Oak Ridge,
27311,156,0,3220,Pelham,
27312,604,23,22205,Pittsboro,
27313,323,18,7288,Pleasant Garden,
27314,38,1,1138,Prospect Hill,
27315,70,0,2140,Providence,
27316,487,13,7156,Ramseur,
27317,1077,14,17851,Randleman,
27320,1927,13,38894,Reidsville,
27325,506,2,7676,Robbins,
27326,185,2,3692,Ruffin,
27330,2545,26,39529,Sanford,
27332,1853,17,33549,Sanford,
27340,,1,,Saxapahaw,Population <500 and Cases <5
27341,287,0,5820,Seagrove,
27343,68,0,1840,Semora,
27344,1427,25,19290,Siler City,
27349,291,2,5850,Snow Camp,
27350,337,4,7508,Sophia,
27355,146,0,3196,Staley,
27356,204,2,3513,Star,
27357,518,4,8325,Stokesdale,
27358,654,1,15960,Summerfield,
27360,3090,31,48331,Thomasville,
27370,939,22,14622,Trinity,
27371,564,6,7778,Troy,
27376,497,6,9884,West End,
27377,518,2,9597,Whitsett,
27379,306,4,6057,Yanceyville,
27401,1031,12,20221,Greensboro,
27403,852,11,21278,Greensboro,
27405,2845,27,52510,Greensboro,
27406,3149,65,60755,Greensboro,
27407,2609,29,49837,Greensboro,
27408,735,2,17406,Greensboro,
27409,854,9,17953,Greensboro,
27410,2302,17,56968,Greensboro,
27411,31,0,847,Greensboro,
27412,17,0,1886,Greensboro,
27455,1406,24,29197,Greensboro,
0,,0,,Greensboro,Population <500 and Cases <5
27501,1087,9,21338,Angier,
27502,1327,4,43747,Apex,
27503,109,0,7222,Bahama,
27504,1141,10,16320,Benson,
27505,369,5,7308,Broadway,
27507,88,2,2053,Bullock,
27508,115,0,2340,Bunn,
27509,1248,33,6935,Butner,
27510,561,6,14543,Carrboro,
27511,1199,6,34041,Cary,
27513,1321,4,49003,Cary,
27514,1106,21,32847,Chapel Hill,
27516,1404,13,44117,Chapel Hill,
27517,837,9,28831,Chapel Hill,
27518,638,1,22765,Cary,
27519,1481,4,59960,Cary,
27520,2674,41,43958,Clayton,
27521,451,6,7149,Coats,
27522,735,3,13652,Creedmoor,
27523,407,0,12782,Apex,
27524,967,8,13532,Four Oaks,
27525,860,2,15534,Franklinton,
27526,2127,23,54027,Fuquay Varina,
27527,1472,4,30234,Clayton,
27529,2843,39,53854,Garner,
27530,2164,50,40212,Goldsboro,
27531,6,0,666,Goldsboro,
27534,1896,46,31819,Goldsboro,
27536,1150,38,16459,Henderson,
27537,1605,29,25321,Henderson,
27539,875,5,26567,Apex,
27540,1394,3,39075,Holly Springs,
