ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,2165,18,14872,Advance,
27007,370,3,2136,Ararat,
27009,479,6,2937,Belews Creek,
27011,929,10,5411,Boonville,
27012,4344,67,28954,Clemmons,
27013,1108,13,6495,Cleveland,
27014,191,6,957,Cooleemee,
27016,315,4,1682,Danbury,
27017,1820,23,9499,Dobson,
27018,1251,11,8221,East Bend,
27019,578,5,4234,Germanton,
27020,1155,11,6104,Hamptonville,
27021,2951,59,17979,King,
27022,187,3,1512,Lawsonville,
27023,1637,8,12775,Lewisville,
27024,468,5,2683,Lowgap,
27025,1650,36,11117,Madison,
27027,554,19,4017,Mayodan,
27028,4745,57,28039,Mocksville,
27030,7122,154,37641,Mount Airy,
27040,1654,13,13150,Pfafftown,
27041,1343,11,8020,Pilot Mountain,
27042,101,2,720,Pine Hall,
27043,1005,13,6442,Pinnacle,
27045,1623,14,9583,Rural Hall,
27046,283,5,1953,Sandy Ridge,
27047,195,2,1279,Siloam,
27048,1246,18,8902,Stoneville,
27050,599,7,4084,Tobaccoville,
27051,1232,12,8287,Walkertown,
27052,1581,30,10061,Walnut Cove,
27053,424,5,3156,Westfield,
27054,509,9,2608,Woodleaf,
27055,2756,38,14521,Yadkinville,
27101,2836,52,24321,Winston Salem,
27103,4853,51,36071,Winston Salem,
27104,3731,45,29383,Winston Salem,
27105,6247,61,40186,Winston Salem,
27106,6377,68,51378,Winston Salem,
27107,7936,77,52432,Winston Salem,
27127,6019,37,38510,Winston Salem,
27157,94,0,5,Winston Salem,
27203,3906,63,21876,Asheboro,
27205,5702,62,34549,Asheboro,
27207,525,2,3806,Bear Creek,
27208,250,4,1691,Bennett,
27209,914,44,4151,Biscoe,
27212,425,1,1600,Blanch,
27214,1688,17,11747,Browns Summit,
27215,7163,100,44892,Burlington,
27217,7513,121,39111,Burlington,
27229,744,18,4014,Candor,
27231,190,1,2048,Cedar Grove,
27233,524,7,3647,Climax,
27235,648,14,4575,Colfax,
27239,1579,25,9629,Denton,
27242,319,5,2668,Eagle Springs,
27243,484,4,4665,Efland,
27244,3117,30,16259,Elon,
27248,713,8,4835,Franklinville,
27249,1951,22,13355,Gibsonville,
27252,213,3,2264,Goldston,
27253,5553,74,31464,Graham,
27258,1107,11,7740,Haw River,
27260,3456,57,25696,High Point,
27262,3190,73,24764,High Point,
27263,3316,55,22320,High Point,
27265,6849,83,50038,High Point,
27268,342,0,1695,High Point,
27278,2616,25,27181,Hillsborough,
27281,428,4,3710,Jackson Springs,
27282,2147,30,16597,Jamestown,
27283,468,5,2982,Julian,
27284,8427,114,56201,Kernersville,
27288,3638,71,23585,Eden,
27291,203,1,1538,Leasburg,
27292,6674,69,41465,Lexington,
27295,6830,82,39191,Lexington,
27298,1521,16,10440,Liberty,
27299,1060,11,5254,Linwood,
27301,1664,24,10019,Mc Leansville,
27302,4403,29,32302,Mebane,
27305,224,1,1585,Milton,
27306,1070,22,5945,Mount Gilead,
27310,1039,5,8562,Oak Ridge,
27311,488,6,3220,Pelham,
27312,1632,28,22205,Pittsboro,
27313,910,27,7288,Pleasant Garden,
27314,120,1,1138,Prospect Hill,
27315,220,1,2140,Providence,
27316,1077,18,7156,Ramseur,
27317,3016,38,17851,Randleman,
27320,5691,70,38894,Reidsville,
27325,1142,15,7676,Robbins,
27326,580,3,3692,Ruffin,
27330,6419,74,39529,Sanford,
27332,4844,45,33549,Sanford,
27341,833,6,5820,Seagrove,
27343,182,0,1840,Semora,
27344,2862,41,19290,Siler City,
27349,970,7,5850,Snow Camp,
27350,1094,12,7508,Sophia,
27355,382,2,3196,Staley,
27356,511,8,3513,Star,
27357,1472,24,8325,Stokesdale,
27358,1783,10,15960,Summerfield,
27360,7926,108,48331,Thomasville,
27370,2559,48,14622,Trinity,
27371,1291,17,7778,Troy,
27376,1332,24,9884,West End,
27377,1596,12,9597,Whitsett,
27379,854,25,6057,Yanceyville,
27401,2871,36,20221,Greensboro,
27403,2259,25,21278,Greensboro,
27405,7440,71,52510,Greensboro,
27406,8600,141,60755,Greensboro,
27407,6658,86,49837,Greensboro,
27408,1849,9,17406,Greensboro,
27409,2302,21,17953,Greensboro,
27410,6152,62,56968,Greensboro,
27455,3596,75,29197,Greensboro,
27501,3350,30,21338,Angier,
27502,4128,13,43747,Apex,
27503,349,1,7222,Bahama,
27504,3218,35,16320,Benson,
27505,1000,18,7308,Broadway,
27507,226,3,2053,Bullock,
27508,386,1,2340,Bunn,
27509,2178,39,6935,Butner,
27510,1124,8,14543,Carrboro,
27511,3104,29,34041,Cary,
27513,3740,29,49003,Cary,
27514,2581,24,32847,Chapel Hill,
