ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,1232,7,14872,Advance,
27007,212,0,2136,Ararat,
27009,270,1,2937,Belews Creek,
27011,527,7,5411,Boonville,
27012,2681,49,28954,Clemmons,
27013,595,7,6495,Cleveland,
27014,73,1,957,Cooleemee,
27016,146,2,1682,Danbury,
27017,1048,11,9499,Dobson,
27018,684,5,8221,East Bend,
27019,313,1,4234,Germanton,
27020,659,5,6104,Hamptonville,
27021,1658,44,17979,King,
27022,88,2,1512,Lawsonville,
27023,955,3,12775,Lewisville,
27024,271,3,2683,Lowgap,
27025,973,8,11117,Madison,
27027,346,16,4017,Mayodan,
27028,2613,28,28039,Mocksville,
27030,4133,95,37641,Mount Airy,
27040,982,8,13150,Pfafftown,
27041,689,8,8020,Pilot Mountain,
27042,66,2,720,Pine Hall,
27043,488,6,6442,Pinnacle,
27045,972,8,9583,Rural Hall,
27046,147,1,1953,Sandy Ridge,
27047,103,0,1279,Siloam,
27048,657,6,8902,Stoneville,
27050,299,3,4084,Tobaccoville,
27051,672,5,8287,Walkertown,
27052,907,22,10061,Walnut Cove,
27053,184,2,3156,Westfield,
27054,288,4,2608,Woodleaf,
27055,1634,24,14521,Yadkinville,
27101,1736,32,24321,Winston Salem,
27103,2915,39,36071,Winston Salem,
27104,2451,31,29383,Winston Salem,
27105,3812,35,40186,Winston Salem,
27106,4172,50,51378,Winston Salem,
27107,4686,41,52432,Winston Salem,
27127,3744,24,38510,Winston Salem,
27157,45,0,5,Winston Salem,
27203,2738,51,21876,Asheboro,
27205,3656,46,34549,Asheboro,
27207,277,2,3806,Bear Creek,
27208,145,2,1691,Bennett,
27209,694,40,4151,Biscoe,
27212,376,1,1600,Blanch,
27214,985,6,11747,Browns Summit,
27215,4336,70,44892,Burlington,
27217,4995,101,39111,Burlington,
27229,539,17,4014,Candor,
27231,120,0,2048,Cedar Grove,
27233,285,4,3647,Climax,
27235,415,11,4575,Colfax,
27239,818,13,9629,Denton,
27242,180,3,2668,Eagle Springs,
27243,281,2,4665,Efland,
27244,1931,21,16259,Elon,
27248,381,5,4835,Franklinville,
27249,1070,7,13355,Gibsonville,
27252,112,2,2264,Goldston,
27253,3396,45,31464,Graham,
27258,653,8,7740,Haw River,
27260,2097,40,25696,High Point,
27262,2012,60,24764,High Point,
27263,2068,35,22320,High Point,
27265,4215,52,50038,High Point,
27268,306,0,1695,High Point,
27278,1671,19,27181,Hillsborough,
27281,251,0,3710,Jackson Springs,
27282,1375,22,16597,Jamestown,
27283,238,3,2982,Julian,
27284,4929,67,56201,Kernersville,
27288,1771,27,23585,Eden,
27291,125,0,1538,Leasburg,
27292,3618,34,41465,Lexington,
27295,3771,49,39191,Lexington,
27298,802,9,10440,Liberty,
27299,544,4,5254,Linwood,
27301,1006,16,10019,Mc Leansville,
27302,2453,15,32302,Mebane,
27305,154,1,1585,Milton,
27306,672,16,5945,Mount Gilead,
27310,619,3,8562,Oak Ridge,
27311,257,1,3220,Pelham,
27312,944,25,22205,Pittsboro,
27313,504,21,7288,Pleasant Garden,
27314,62,1,1138,Prospect Hill,
27315,118,0,2140,Providence,
27316,697,15,7156,Ramseur,
27317,1779,22,17851,Randleman,
27320,2973,33,38894,Reidsville,
27325,731,5,7676,Robbins,
27326,279,2,3692,Ruffin,
27330,3778,50,39529,Sanford,
27332,2738,26,33549,Sanford,
27341,488,3,5820,Seagrove,
27343,128,0,1840,Semora,
27344,1854,35,19290,Siler City,
27349,496,5,5850,Snow Camp,
27350,601,8,7508,Sophia,
27355,219,2,3196,Staley,
27356,333,8,3513,Star,
27357,862,17,8325,Stokesdale,
27358,1002,6,15960,Summerfield,
27360,4745,60,48331,Thomasville,
27370,1506,29,14622,Trinity,
27371,852,12,7778,Troy,
27376,783,14,9884,West End,
27377,859,7,9597,Whitsett,
27379,567,20,6057,Yanceyville,
27401,1831,24,20221,Greensboro,
27403,1398,17,21278,Greensboro,
27405,4418,44,52510,Greensboro,
27406,5087,105,60755,Greensboro,
27407,4225,60,49837,Greensboro,
27408,1211,6,17406,Greensboro,
27409,1391,14,17953,Greensboro,
27410,3890,41,56968,Greensboro,
27455,2310,62,29197,Greensboro,
27501,1779,17,21338,Angier,
27502,2394,9,43747,Apex,
27503,179,0,7222,Bahama,
27504,1836,20,16320,Benson,
27505,569,7,7308,Broadway,
27507,157,2,2053,Bullock,
27508,294,1,2340,Bunn,
27509,1656,37,6935,Butner,
27510,817,8,14543,Carrboro,
27511,2028,24,34041,Cary,
27513,2324,24,49003,Cary,
27514,1649,24,32847,Chapel Hill,
27516,2177,17,44117,Chapel Hill,
27517,1181,16,28831,Chapel Hill,
27518,1142,16,22765,Cary,
27519,2556,8,59960,Cary,
27520,4466,58,43958,Clayton,
27521,686,9,7149,Coats,
27522,1089,6,13652,Creedmoor,
27523,731,1,12782,Apex,
27524,1393,15,13532,Four Oaks,
27525,1479,3,15534,Franklinton,
27526,3830,49,54027,Fuquay Varina,
27527,2506,8,30234,Clayton,
27529,4778,64,53854,Garner,
27530,3111,74,40212,Goldsboro,
27531,11,0,666,Goldsboro,
27534,2694,71,31819,Goldsboro,
27536,1840,46,16459,Henderson,
27537,2497,36,25321,Henderson,
27539,1450,6,26567,Apex,
27540,2598,7,39075,Holly Springs,
27541,301,1,4044,Hurdle Mills,
27542,854,13,10043,Kenly,
27544,403,4,4291,Kittrell,
27545,3092,38,30327,Knightdale,
27546,2132,74,22436,Lillington,
27549,2267,34,25224,Louisburg,
27551,120,3,2205,Macon,
27553,487,0,2030,Manson,
27556,21,0,298,Middleburg,
27557,759,3,9214,Middlesex,
27559,133,1,2874,Moncure,
27560,1785,12,33691,Morrisville,
27562,245,0,2791,New Hill,
27563,370,6,5312,Norlina,
27565,2442,40,26057,Oxford,
27569,954,6,8984,Princeton,
27571,721,1,7385,Rolesville,
27572,412,3,7316,Rougemont,
27573,1120,51,11561,Roxboro,
27574,1073,9,15232,Roxboro,
27576,1964,22,20197,Selma,
27577,2951,42,25214,Smithfield,
27581,295,2,3956,Stem,
27583,571,6,7012,Timberlake,
27587,6365,48,74087,Wake Forest,
27589,696,7,8312,Warrenton,
27591,2325,24,23448,Wendell,
27592,1361,6,17368,Willow Spring,
27596,1665,5,18655,Youngsville,
27597,2641,20,25494,Zebulon,
27601,881,7,12139,Raleigh,
27603,4631,35,55479,Raleigh,
27604,4239,46,47645,Raleigh,
27605,616,18,5253,Raleigh,
27606,3297,12,47938,Raleigh,
27607,2065,9,30296,Raleigh,
27608,908,3,11603,Raleigh,
27609,3070,26,38631,Raleigh,
27610,8259,74,74203,Raleigh,
27612,2823,37,39208,Raleigh,
27613,2836,12,46521,Raleigh,
27614,2514,21,37689,Raleigh,
27615,3178,49,46038,Raleigh,
27616,5428,30,55260,Raleigh,
27617,1410,4,19511,Raleigh,
27701,2119,15,26489,Durham,
27703,5258,27,61351,Durham,
27704,4012,36,39369,Durham,
27705,3369,74,48078,Durham,
27707,3398,17,47036,Durham,
27708,277,0,4635,Durham,
27709,148,0,4,Durham,
27710,7,0,0,Durham,
27712,1358,28,22055,Durham,
27713,3189,26,53996,Durham,
27801,1982,23,21556,Rocky Mount,
27803,2013,24,22337,Rocky Mount,
27804,3185,82,29160,Rocky Mount,
27805,221,2,3769,Aulander,
27806,161,3,2441,Aurora,
27807,873,10,6940,Bailey,
27808,198,4,2481,Bath,
27809,490,9,5254,Battleboro,
27812,254,1,2951,Bethel,
27813,73,0,687,Black Creek,
27814,120,2,1801,Blounts Creek,
27816,262,3,2634,Castalia,
27817,623,5,7777,Chocowinity,
27818,108,1,1269,Como,
27820,202,4,3292,Conway,
27822,941,12,9119,Elm City,
27823,755,9,7812,Enfield,
27827,21,0,99,Falkland,
27828,817,8,9031,Farmville,
27829,185,1,1872,Fountain,
27830,325,6,4858,Fremont,
27831,332,5,3588,Garysburg,
27832,323,7,2912,Gaston,
27834,5988,31,57505,Greenville,
27837,620,3,6506,Grimesland,
27839,260,4,3702,Halifax,
27840,56,3,535,Hamilton,
27842,78,0,1436,Henrico,
27843,123,1,946,Hobgood,
27844,276,6,3039,Hollister,
27845,203,2,2841,Jackson,
27846,287,3,3069,Jamesville,
27847,55,0,1071,Kelford,
27849,107,2,1483,Lewiston Woodville,
27850,454,6,7413,Littleton,
27851,522,6,5595,Lucama,
27852,248,3,3454,Macclesfield,
27853,33,1,436,Margarettsville,
27855,457,6,6105,Murfreesboro,
27856,2323,30,17301,Nashville,
27857,123,5,1601,Oak City,
27858,5903,18,58170,Greenville,
27860,169,2,2062,Pantego,
27862,44,0,945,Pendleton,
27863,980,19,12670,Pikeville,
27864,519,7,4823,Pinetops,
27865,207,3,2003,Pinetown,
27866,72,1,672,Pleasant Hill,
27869,275,17,2167,Rich Square,
27870,2874,59,26633,Roanoke Rapids,
27871,377,6,4466,Robersonville,
27874,413,11,4766,Scotland Neck,
27876,115,2,1290,Seaboard,
27880,395,0,3280,Sims,
27882,876,10,7927,Spring Hope,
27883,331,3,4361,Stantonsburg,
27884,169,1,1545,Stokes,
27885,303,4,859,Swanquarter,
27886,2140,70,21595,Tarboro,
27888,259,0,2803,Walstonburg,
27889,2865,68,27543,Washington,
27890,242,14,2398,Weldon,
27891,489,7,5011,Whitakers,
27892,1391,22,14363,Williamston,
27893,4686,107,40647,Wilson,
27896,2318,33,21212,Wilson,
27897,125,1,2467,Woodland,
27909,3139,80,40958,Elizabeth City,
27910,1200,49,11609,Ahoskie,
27915,32,0,758,Avon,
27916,49,0,554,Aydlett,
27917,113,6,1084,Barco,
27922,75,4,1107,Cofield,
27924,271,3,3509,Colerain,
27925,310,6,4164,Columbia,
27926,89,1,1965,Corapeake,
27927,24,0,613,Corolla,
27928,136,4,1888,Creswell,
27929,112,1,1949,Currituck,
27932,1250,21,12644,Edenton,
27935,105,3,1674,Eure,
27937,244,1,4253,Gates,
27938,123,7,1430,Gatesville,
27942,54,1,936,Harrellsville,
27944,845,7,12230,Hertford,
27946,75,0,1089,Hobbsville,
27948,702,0,12518,Kill Devil Hills,
