ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,111,3,14872,Advance,
27007,30,0,2136,Ararat,
27009,11,0,2937,Belews Creek,
27011,69,0,5411,Boonville,
27012,401,11,28954,Clemmons,
27013,89,3,6495,Cleveland,
27014,7,0,957,Cooleemee,
27016,20,0,1682,Danbury,
27017,197,1,9499,Dobson,
27018,116,2,8221,East Bend,
27019,35,0,4234,Germanton,
27020,133,2,6104,Hamptonville,
27021,150,1,17979,King,
27022,12,0,1512,Lawsonville,
27023,151,1,12775,Lewisville,
27024,23,1,2683,Lowgap,
27025,237,1,11117,Madison,
27027,44,0,4017,Mayodan,
27028,404,3,28039,Mocksville,
27030,620,11,37641,Mount Airy,
27040,123,1,13150,Pfafftown,
27041,83,0,8020,Pilot Mountain,
27042,10,1,720,Pine Hall,
27043,81,1,6442,Pinnacle,
27045,165,3,9583,Rural Hall,
27046,16,0,1953,Sandy Ridge,
27047,9,0,1279,Siloam,
27048,81,0,8902,Stoneville,
27050,35,0,4084,Tobaccoville,
27051,97,1,8287,Walkertown,
27052,84,0,10061,Walnut Cove,
27053,21,0,3156,Westfield,
27054,43,0,2608,Woodleaf,
27055,302,2,14521,Yadkinville,
27101,301,10,24321,Winston Salem,
27103,597,14,36071,Winston Salem,
27104,419,11,29383,Winston Salem,
27105,1033,9,40186,Winston Salem,
27106,814,7,51378,Winston Salem,
27107,1171,14,52432,Winston Salem,
27127,784,6,38510,Winston Salem,
27157,10,0,5,Winston Salem,
27203,723,18,21876,Asheboro,
27205,630,9,34549,Asheboro,
27207,81,1,3806,Bear Creek,
27208,38,0,1691,Bennett,
27209,310,16,4151,Biscoe,
27212,58,0,1600,Blanch,
27214,123,1,11747,Browns Summit,
27215,773,6,44892,Burlington,
27217,1367,36,39111,Burlington,
27229,212,3,4014,Candor,
27231,17,0,2048,Cedar Grove,
27233,20,0,3647,Climax,
27235,52,0,4575,Colfax,
27239,89,3,9629,Denton,
27242,39,0,2668,Eagle Springs,
27243,63,1,4665,Efland,
27244,145,0,16259,Elon,
27248,58,2,4835,Franklinville,
27249,144,1,13355,Gibsonville,
27252,12,1,2264,Goldston,
27253,840,4,31464,Graham,
27258,142,1,7740,Haw River,
27260,540,13,25696,High Point,
27262,421,5,24764,High Point,
27263,347,4,22320,High Point,
27265,647,21,50038,High Point,
27268,30,0,1695,High Point,
27278,305,1,27181,Hillsborough,
27281,48,0,3710,Jackson Springs,
27282,192,3,16597,Jamestown,
27283,35,1,2982,Julian,
27284,726,7,56201,Kernersville,
27288,301,3,23585,Eden,
27291,4,0,1538,Leasburg,
27292,645,6,41465,Lexington,
27295,518,16,39191,Lexington,
27298,143,0,10440,Liberty,
27299,81,0,5254,Linwood,
27301,102,2,10019,Mc Leansville,
27302,422,0,32302,Mebane,
27305,34,1,1585,Milton,
27306,147,3,5945,Mount Gilead,
27310,73,1,8562,Oak Ridge,
27311,19,0,3220,Pelham,
27312,227,20,22205,Pittsboro,
27313,125,16,7288,Pleasant Garden,
27314,7,0,1138,Prospect Hill,
27315,15,0,2140,Providence,
27316,194,11,7156,Ramseur,
27317,255,4,17851,Randleman,
27320,353,8,38894,Reidsville,
27325,244,2,7676,Robbins,
27326,34,2,3692,Ruffin,
27330,980,9,39529,Sanford,
27332,663,5,33549,Sanford,
27340,,,34,Saxapahaw,Population <500 and Cases <5
27341,73,0,5820,Seagrove,
27343,8,0,1840,Semora,
27344,889,22,19290,Siler City,
27349,59,1,5850,Snow Camp,
27350,75,0,7508,Sophia,
27355,53,0,3196,Staley,
27356,79,1,3513,Star,
27357,82,1,8325,Stokesdale,
27358,174,1,15960,Summerfield,
27360,894,8,48331,Thomasville,
27370,164,1,14622,Trinity,
27371,209,3,7778,Troy,
27376,135,5,9884,West End,
27377,125,0,9597,Whitsett,
27379,74,1,6057,Yanceyville,
27401,328,10,20221,Greensboro,
27403,226,8,21278,Greensboro,
27405,982,17,52510,Greensboro,
27406,908,41,60755,Greensboro,
27407,861,13,49837,Greensboro,
27408,205,0,17406,Greensboro,
27409,241,2,17953,Greensboro,
27410,511,7,56968,Greensboro,
27411,1,0,847,Greensboro,
27412,2,0,1886,Greensboro,
27455,317,9,29197,Greensboro,
27498,,,13,Greensboro,Population <500 and Cases <5
27501,347,2,21338,Angier,
27502,406,3,43747,Apex,
27503,28,0,7222,Bahama,
27504,290,4,16320,Benson,
27505,140,5,7308,Broadway,
27507,28,1,2053,Bullock,
27508,49,0,2340,Bunn,
27509,664,27,6935,Butner,
27510,239,4,14543,Carrboro,
27511,424,3,34041,Cary,
27513,397,2,49003,Cary,
27514,677,18,32847,Chapel Hill,
27516,705,12,44117,Chapel Hill,
27517,331,4,28831,Chapel Hill,
27518,189,1,22765,Cary,
27519,463,4,59960,Cary,
27520,923,26,43958,Clayton,
27521,118,2,7149,Coats,
27522,247,1,13652,Creedmoor,
27523,138,0,12782,Apex,
27524,313,4,13532,Four Oaks,
27525,254,1,15534,Franklinton,
27526,579,13,54027,Fuquay Varina,
27527,400,0,30234,Clayton,
27529,956,20,53854,Garner,
27530,668,21,40212,Goldsboro,
27531,2,0,666,Goldsboro,
27534,588,10,31819,Goldsboro,
27536,457,31,16459,Henderson,
27537,457,11,25321,Henderson,
27539,275,2,26567,Apex,
27540,377,1,39075,Holly Springs,
27541,36,0,4044,Hurdle Mills,
27542,150,3,10043,Kenly,
27544,51,0,4291,Kittrell,
27545,656,22,30327,Knightdale,
27546,369,26,22436,Lillington,
27549,540,27,25224,Louisburg,
27551,20,1,2205,Macon,
27553,26,0,2030,Manson,
27556,6,0,298,Middleburg,
27557,163,0,9214,Middlesex,
27559,31,0,2874,Moncure,
27560,347,1,33691,Morrisville,
27562,29,0,2791,New Hill,
27563,99,1,5312,Norlina,
27565,593,24,26057,Oxford,
27569,173,0,8984,Princeton,
27571,72,0,7385,Rolesville,
27572,60,0,7316,Rougemont,
27573,115,6,11561,Roxboro,
27574,140,0,15232,Roxboro,
27576,593,8,20197,Selma,
27577,676,5,25214,Smithfield,
27581,48,0,3956,Stem,
27583,85,0,7012,Timberlake,
27587,883,30,74087,Wake Forest,
27589,129,4,8312,Warrenton,
27591,429,4,23448,Wendell,
27592,246,1,17368,Willow Spring,
27596,214,1,18655,Youngsville,
27597,418,3,25494,Zebulon,
27599,8,0,0,Chapel Hill,
27601,154,2,12139,Raleigh,
27603,980,5,55479,Raleigh,
27604,1146,19,47645,Raleigh,
27605,98,2,5253,Raleigh,
27606,768,2,47938,Raleigh,
27607,556,1,30296,Raleigh,
27608,150,1,11603,Raleigh,
27609,672,8,38631,Raleigh,
27610,2334,42,74203,Raleigh,
27612,504,6,39208,Raleigh,
27613,482,5,46521,Raleigh,
27614,366,5,37689,Raleigh,
27615,609,18,46038,Raleigh,
27616,1098,6,55260,Raleigh,
27617,219,0,19511,Raleigh,
27701,639,5,26489,Durham,
27703,1570,9,61351,Durham,
27704,1481,17,39369,Durham,
27705,1217,39,48078,Durham,
27706,,,10,Durham,Population <500 and Cases <5
27707,1081,5,47036,Durham,
27708,6,0,4635,Durham,
27709,20,0,4,Durham,
27710,,,0,Durham,Population <500 and Cases <5
27711,,,62,Durham,Population <500 and Cases <5
27712,389,21,22055,Durham,
27713,767,4,53996,Durham,
27801,453,12,21556,Rocky Mount,
27803,363,7,22337,Rocky Mount,
27804,621,15,29160,Rocky Mount,
27805,76,0,3769,Aulander,
27806,16,0,2441,Aurora,
27807,215,3,6940,Bailey,
27808,35,1,2481,Bath,
27809,121,2,5254,Battleboro,
27810,42,0,4224,Belhaven,
27812,43,0,2951,Bethel,
27813,4,0,687,Black Creek,
27814,19,0,1801,Blounts Creek,
27816,49,0,2634,Castalia,
27817,118,0,7777,Chocowinity,
27818,28,0,1269,Como,
27820,39,2,3292,Conway,
27821,,,343,Edward,Population <500 and Cases <5
27822,162,3,9119,Elm City,
27823,154,1,7812,Enfield,
27824,23,0,1540,Engelhard,
27826,33,1,1245,Fairfield,
27827,5,0,99,Falkland,
27828,118,0,9031,Farmville,
27829,21,1,1872,Fountain,
27830,72,1,4858,Fremont,
27831,63,1,3588,Garysburg,
27832,65,0,2912,Gaston,
27834,1306,9,57505,Greenville,
27837,87,1,6506,Grimesland,
27839,36,0,3702,Halifax,
27840,22,2,535,Hamilton,
27841,,,84,Hassell,Population <500 and Cases <5
27842,13,0,1436,Henrico,
27843,18,0,946,Hobgood,
27844,71,0,3039,Hollister,
27845,17,0,2841,Jackson,
27846,44,1,3069,Jamesville,
27847,21,0,1071,Kelford,
27849,30,0,1483,Lewiston Woodville,
27850,56,0,7413,Littleton,
27851,121,0,5595,Lucama,
27852,45,0,3454,Macclesfield,
27853,9,0,436,Margarettsville,
27855,128,1,6105,Murfreesboro,
27856,316,4,17301,Nashville,
27857,42,1,1601,Oak City,
27858,1643,7,58170,Greenville,
27860,43,1,2062,Pantego,
27862,9,0,945,Pendleton,
27863,167,1,12670,Pikeville,
27864,97,1,4823,Pinetops,
27865,22,1,2003,Pinetown,
27866,20,1,672,Pleasant Hill,
27869,80,11,2167,Rich Square,
27870,431,14,26633,Roanoke Rapids,
27871,74,3,4466,Robersonville,
27872,6,0,429,Roxobel,
27874,70,0,4766,Scotland Neck,
27875,7,0,511,Scranton,
27876,27,1,1290,Seaboard,
27880,81,0,3280,Sims,
27881,,,323,Speed,Population <500 and Cases <5
27882,203,3,7927,Spring Hope,
