ZIPCode,Cases,Deaths,TotalPop,Place,Note
27006,2066,18,14872,Advance,
27007,354,3,2136,Ararat,
27009,456,6,2937,Belews Creek,
27011,885,10,5411,Boonville,
27012,4193,65,28954,Clemmons,
27013,1071,13,6495,Cleveland,
27014,178,6,957,Cooleemee,
27016,296,4,1682,Danbury,
27017,1751,23,9499,Dobson,
27018,1154,11,8221,East Bend,
27019,558,4,4234,Germanton,
27020,1125,11,6104,Hamptonville,
27021,2805,59,17979,King,
27022,178,3,1512,Lawsonville,
27023,1590,8,12775,Lewisville,
27024,452,4,2683,Lowgap,
27025,1578,36,11117,Madison,
27027,532,19,4017,Mayodan,
27028,4530,56,28039,Mocksville,
27030,6780,148,37641,Mount Airy,
27040,1599,13,13150,Pfafftown,
27041,1298,11,8020,Pilot Mountain,
27042,97,2,720,Pine Hall,
27043,945,12,6442,Pinnacle,
27045,1558,13,9583,Rural Hall,
27046,256,5,1953,Sandy Ridge,
27047,188,2,1279,Siloam,
27048,1179,16,8902,Stoneville,
27050,573,7,4084,Tobaccoville,
27051,1198,12,8287,Walkertown,
27052,1506,29,10061,Walnut Cove,
27053,391,5,3156,Westfield,
27054,479,9,2608,Woodleaf,
27055,2582,32,14521,Yadkinville,
27101,2737,50,24321,Winston Salem,
27103,4686,50,36071,Winston Salem,
27104,3615,45,29383,Winston Salem,
27105,6097,61,40186,Winston Salem,
27106,6209,67,51378,Winston Salem,
27107,7664,70,52432,Winston Salem,
27127,5839,37,38510,Winston Salem,
27157,83,0,5,Winston Salem,
27203,3833,62,21876,Asheboro,
27205,5544,59,34549,Asheboro,
27207,503,2,3806,Bear Creek,
27208,242,4,1691,Bennett,
27209,909,44,4151,Biscoe,
27212,425,1,1600,Blanch,
27214,1635,17,11747,Browns Summit,
27215,6898,92,44892,Burlington,
27217,7311,118,39111,Burlington,
27229,730,18,4014,Candor,
27231,181,1,2048,Cedar Grove,
27233,506,6,3647,Climax,
27235,628,14,4575,Colfax,
27239,1496,24,9629,Denton,
27242,315,5,2668,Eagle Springs,
27243,472,4,4665,Efland,
27244,3052,29,16259,Elon,
27248,691,8,4835,Franklinville,
27249,1874,21,13355,Gibsonville,
27252,195,3,2264,Goldston,
27253,5341,68,31464,Graham,
27258,1084,10,7740,Haw River,
27260,3383,57,25696,High Point,
27262,3116,73,24764,High Point,
27263,3194,55,22320,High Point,
27265,6621,82,50038,High Point,
27268,340,0,1695,High Point,
27278,2531,24,27181,Hillsborough,
27281,410,4,3710,Jackson Springs,
27282,2076,30,16597,Jamestown,
27283,449,5,2982,Julian,
27284,8117,113,56201,Kernersville,
27288,3464,70,23585,Eden,
27291,195,1,1538,Leasburg,
27292,6462,66,41465,Lexington,
27295,6556,82,39191,Lexington,
27298,1476,16,10440,Liberty,
27299,1024,11,5254,Linwood,
27301,1618,24,10019,Mc Leansville,
27302,4226,28,32302,Mebane,
27305,215,1,1585,Milton,
27306,1041,22,5945,Mount Gilead,
27310,1008,5,8562,Oak Ridge,
27311,475,6,3220,Pelham,
27312,1569,28,22205,Pittsboro,
